start	end	text
0	2000	You
30000	32000	You
60000	62000	You
90000	92000	You
120000	129520	Can you help me
150320	152320	I
177940	179940	Have you all the um
180000	186000	yeah yeah yeah don't scare me
186000	192000	oh
192000	196000	oh
196000	200000	fuck
200000	204000	I'm jealous
204000	208000	here we go I got it
208000	214000	excellent yeah I can read chat now
214000	218000	I can read chat
218000	222000	properly this time
222000	226000	I wish you could make like text a little bigger
226000	230000	cause I'm a bit blonde
230000	234000	it's so hard to read all your muscles
234000	238000	I'm so blonde
238000	242000	alright
242000	246000	I'm a little too late
246000	250000	I'm a little too late
250000	254000	I'm a little too late
254000	258000	how are you doing on this fine evening mama so I'm doing
258000	262000	I'm doing alright I have a lot of energy
262000	266000	I'm a lot of energy
266000	270000	not I don't really know what to do with it
270000	274000	I hope you don't mind a little chatting before we play
274000	278000	a place for a bit then
278000	282000	oh let me
282000	286000	I forgot
286000	290000	I forgot
290000	294000	oh
294000	298000	um you didn't hear that
298000	302000	what
302000	306000	what
306000	310000	what
310000	314000	what
314000	318000	what are you doing here
318000	322000	I'm a little too late
322000	326000	I'm a little too late
326000	330000	I'm a little too late
330000	334000	alright
334000	338000	why
338000	342000	I'm wondering how much I'm going to be
342000	346000	I was setting up
346000	357000	stuff for today. I added the merch thingies on there. You see that? On there. Look at that. Right there.
357000	373000	I added the merch and I added alerts and a bunch of new things. It was really hard trying to set it all up.
373000	378000	So I'm glad it went okay.
379000	384000	Um, yeah, yeah, yeah, yeah.
386000	392000	As I believe I am not. So I'm 20, 30. What is called your book?
392000	398000	Or if my bullies wrote in that. I never amount to anything.
398000	403000	Your amount to so much more. Do not believe your bullies. They mean nothing.
403000	408000	Alright, you are everything and you are what?
410000	413000	I already want you to be.
417000	421000	You are great. You are amazing.
421000	425000	And you're all good boys and good girls.
425000	430000	Oops. Yeah, yeah.
435000	443000	Come on. Are you okay? I'm okay. Just a lot of energy. A lot, a lot, a lot of energy. I'm sorry.
456000	474000	I'm having like a bit of issue on Twitter at the moment where people are sending me art or um, they're putting the tag in their art and stuff.
474000	485000	Unfortunately, when I click on the tags, a lot of the art and um, memes and stuff that you guys sent me, some of it do not appear in there.
485000	489000	So I'm really sorry if I missed some of your art and stuff.
489000	493000	I'm really sorry. I'm so sorry.
494000	509000	So I do get some of your stuff, but I have to like literally be sent some stuff that get unseen.
510000	521000	So Twitter has hit you with anything or you know, they're probably not letting you, your hashtags get seen.
521000	528000	Unfortunately, Twitter, Twitter being Twitter, yeah, yeah, yeah. I agree.
529000	539000	Sorry, I do not take DMs. They have no clothes.
539000	544000	I know that's what the hashtags are for, but don't worry.
544000	550000	We'll sort it itself out, I'm sure. We'll sort it itself out.
558000	577000	It helps for people to comment under posts with the tags, weird Twitter thing. I didn't know that.
577000	583000	Maybe it does. I know when some people comment, that's how I end up seeing some of the posts.
583000	592000	Um, so I end up seeing it only because someone else responded or retweeted that, so I end up seeing it.
592000	600000	Oh, that's me! Understand.
600000	604000	Yeah, it seems a bit ginky today. Very ginky.
604000	607000	Here you go, yo, yo, yo.
617000	620000	Don't let Michael Kong go.
620000	630000	Those eyes are very hypnotic, are they?
650000	665000	Have you eaten today, Azu? Have I eaten today?
680000	690000	Yeah, yeah, no, I haven't eaten.
710000	720000	I'll eat, I promise, I promise, I promise.
720000	729000	I promise, I promise, I'll eat, I'll eat, I'll eat. I have more cookies, does that count?
729000	739000	More cookies. I had cookies. I kind of ate them before I started, so I only have one left.
740000	758000	I don't have, no, no, eat actual food.
758000	765000	Fine, fine, alright, I'll eat something, I promise. I promise, I promise.
765000	774000	Yes, I pinky promise, I pinky swear.
774000	778000	You guys don't want your astronomy? Please don't, no!
778000	783000	My bag, my bag, my bag. Please stop. I don't do it.
783000	791000	It's not worth it. It's not, I swear, it's not worth it.
791000	797000	Yes, after a stream, I'll eat a proper meal.
797000	811000	Am I too close? Let me back up. E.
811000	820000	Money, money, close.
821000	824000	If you pass out, we're going to be upsetty spaghetti.
824000	832000	No, I won, I promise, I promise, I'll be fine. I've been drinking lots of water.
832000	848000	Aren't you proud of me? Water.
848000	855000	I have a fan on, so let me know if the fan is bothering the mic, okay?
