start	end	text
0	2000	You
30000	32000	You
60000	62000	You
90000	92000	You
120000	122000	You
136040	138040	Hi
139840	141840	Hi
146320	148320	Hi
150000	152880	Can you hear me? Can you hear me, okay?
154040	157920	My mic's not being like extremely bad this time
169880	171880	Not so good. I'm so happy
173880	176880	B&U kinda loud, I heard that I got you
181000	186000	What's up? Welcome in everyone from from M.A.S.
187000	190000	M.A.S. Dream. Have you all enjoyed M.A.S. Dream?
195000	196000	Hello hello
197000	198000	I can do louder
200000	201000	Okay
205000	207000	Yay! Am I right? Am I right?
208000	210000	Hi, welcome in everyone
220000	222000	And it was Nia's
222000	224000	What are you guys there for?
224000	227000	Stronius and Shavius and IcyStream too?
227000	229000	I hope you are
237000	239000	Thank you
241000	243000	My mic sounds better now, yay!
243000	245000	I'm so happy, I'm glad
247000	249000	I made a mistake
249000	252000	It was like a big mistake last time
252000	254000	I'm so sorry
255000	258000	I swear to you, I was checking
258000	260000	All my audio
260000	263000	I was checking my audio yesterday before that
263000	265000	The day before that
265000	267000	And just before I went live
269000	271000	And then all of a sudden
271000	273000	It was bad, it was so bad
273000	275000	I was so loud
275000	277000	Beating in your ear
281000	283000	I'm so happy, it sounds so much better
283000	285000	Music is loud, my queen
285000	287000	What? I just turned it down
287000	289000	Okay, I got you, I'll turn it down some more
290000	292000	Cheers
292000	294000	Is that good?
294000	296000	Is it better?
296000	298000	I pray
304000	306000	Power of God
306000	308000	Good, good
308000	310000	And
317000	320000	I know it's impossible to stream without scuff
320000	322000	It happens, it comes
322000	324000	It comes and it goes
324000	326000	You have another choice
326000	328000	What to do?
328000	330000	Get through it
330000	332000	It's like the voice
332000	334000	I'm mercy
334000	336000	I'm mercy
336000	338000	I'm chibi
338000	340000	I'm mercy chibi
350000	352000	I'm so like
352000	354000	My throat is so dry
354000	356000	I feel sick
361000	363000	It's cold
375000	377000	It's nice and cold
377000	379000	Much better
379000	381000	My throat is almost better
384000	387000	Yeah, I'm hydrating with milk
387000	389000	Nice fresh milk
390000	392000	Yeah
405000	407000	I wouldn't be surprised
407000	410000	if there are some of you already falling asleep
411000	413000	If you find my voice super
415000	417000	You know
418000	420000	Relaxing to that point
420000	422000	of falling asleep
422000	423000	I understand
423000	424000	Come closer to the mic
424000	427000	Actually, I think I'll turn it up a little bit
427000	429000	Cause I did turn it down
429000	431000	quite a bit
431000	433000	So scared that I'd be too loud
434000	437000	Hang on, whoop, I made a mistake
448000	450000	Uh
451000	453000	Is this better?
453000	455000	Let me know
460000	462000	Is this good?
462000	464000	Can you hear me?
471000	473000	Sounds good
473000	475000	Yes
475000	477000	Good audio?
477000	479000	Sounds good
479000	481000	Better
483000	485000	I heard solution
488000	490000	Silly
497000	499000	I love this
499000	501000	There we go
502000	504000	What, alright
504000	506000	We'll get this down
506000	508000	We'll get this down
508000	511000	Trust, we'll get this down
511000	514000	And we won't have to worry about this cup anymore
519000	521000	Well
521000	523000	Here's eventually
525000	527000	Are you nervous?
527000	529000	Me?
529000	531000	Maybe
531000	533000	Maybe
533000	535000	Maybe a little bit
537000	539000	Maybe a little bit
539000	541000	I'm a little nervous
551000	553000	I'm a big brave
553000	555000	I'm a big brave woman, alright
555000	558000	A lot of big brave women
571000	573000	Alright, okay
574000	577000	I was just setting everything up
577000	580000	And I thought we'd just, you know, relax
580000	583000	And chill and talk about
584000	587000	The day veiled in some of my interests
587000	589000	And stuff that
589000	591000	I went over
591000	594000	I didn't really get to list everything
594000	596000	That I had on there
596000	599000	Sadly, because I thought that
599000	602000	It would just be better just to list like ten things
602000	604000	Five things
604000	607000	And not like crowded with so much stuff
608000	610000	So
613000	615000	I had
615000	617000	Just a few things
617000	620000	And I do want to go over some of the entrusts
620000	623000	Especially anime choices
623000	626000	And some really big game choices
626000	629000	And stuff, and some more stuff I want to talk about
629000	633000	So if you guys have any questions for me
633000	636000	I'll be happy to
637000	640000	Go over some questions that you have for me
640000	643000	I also want to go over some morals
643000	646000	And talk about
646000	649000	Some things that just came out
649000	651000	Today
651000	653000	Yay
658000	661000	Blessed with the legendary voice
661000	666000	I heard a lot of people tell me that
666000	668000	She can't keep up that voice
668000	670000	It's impossible
670000	673000	I want to say that this is
