start	end	text
30000	32000	You
60000	62000	You
90000	92000	You
120000	122000	You
150000	152000	You
180000	182000	You
210000	212000	You
240000	260000	You
260000	262000	You
262000	264000	You
264000	266000	You
266000	268000	You
268000	272000	You
272000	274000	You
274000	278000	You
278000	280000	You
280000	282000	You
282000	294000	You
294000	296000	You
296000	299840	Among the Divines, the sister Azura would colour the land's
299840	306000	Invertency, fill the blue oceans with life, and instill within these creations the potential
306000	309080	to grow and repopulate.
309080	315160	In her accomplishment, she would be known as the Goddess of Fertility.
315160	320280	In time, Azura's creations would grow in intellect and complexity.
320280	326280	In their scattered tribes, the gods took to guiding humanity with their superior knowledge.
326280	332520	In this exchange, humanity gave them worship and devotion, the gods which shaped the foundations
332520	339280	of human civilization across the lands in each celebrating their divine benefactor.
339280	345280	The gods, confident that mankind could stand on their own, sought to create the heavens,
345280	350040	a place where the gods could raise families of their own kind, as Earth was no space for
350040	351540	them to grow.
351540	356840	They rightfully seeked the same prosperity that they offered for their own and loved.
356840	362400	Out of all the gods, it was Azura who could not leave humanity.
362400	369200	She loved her creations, yet she also loved the gods.
369200	375080	She left a piece of her divinity with her family in remembrance and remained on Earth
375080	382640	to live among humanity, not as a ruler, but as a watcher and caretaker.
382640	388680	It would be after the gods' departure that the long peace would end.
388680	393880	With the imbalance of power, wars between the regions could not be prevented.
393880	401000	Anger, strife, and hunger for power would taint the ego of man, and Azura's limited
401000	407040	power could not restore the will of the gods that left behind for humanity.
407040	413600	In her perceived failure, Azura would seemingly disappear from the walks of history.
413600	418800	It has been long theorized that the goddess still lives amongst us in secret.
418800	424720	There has been a long time speculation that throughout history, Azura has been guiding
424720	431960	humanity in small leadership roles, humanitarian efforts in philanthropy, or using her power
431960	435800	to prevent cataclysmic disasters.
435800	442400	Wherever she is, we can all rest easy that she is watching over us from a position befitting
442400	445040	a goddess among men.
446000	450760	Well, Billy, I think we all learned an important lesson here today.
450760	455240	That's right, Papa. Whatever happens, we're all family.
455240	460080	That's exactly right, Billy, and there's nothing more important than family.
460080	464800	Aw, Shucks, I'm so happy I have such a big, happy loving family.
464800	468080	I'd be such a sucker if I didn't have a family.
468080	470080	Aw, Billy.
475040	487040	It has been a few years since I came to the realization that I could no longer outrun
487040	489840	the reach of mankind.
489840	495640	Living among animals, I tried to run from civilization for as long as time would allow.
495640	501960	I am content to play the role of a commoner among humanity, yet I am tortured still by
501960	505600	loneliness, by desires.
505600	508000	I cannot fight my needs anymore.
508000	514760	I must find my place among the humans and start a family.
514760	521840	In my inaugural efforts to integrate into modern society, it became clear that I lack
521840	526800	the necessary knowledge to fraternize as humans do.
526800	534440	With animals, it's so simple, yet with humans, my knowledge avails me no aid.
534440	540240	Again and again, I accumulated countless attempts at courting a suitable mate.
540240	546560	How could I, before my goddess of fertility, struggle in his venture?
546560	551240	Yet seeing the progress humanity has earned themselves, astonishes me.
551240	557600	They have become creators in themselves, expanding upon the earth we had given them.
557600	563920	The tiny seed I had planted all those eons ago, well how it blossomed.
563920	570600	I had believed my heart broken beyond repair, but living as they do, I see now that they
570600	575360	don't need the wills of higher beings to find their own happiness.
575360	580280	Perhaps this in itself was the will of the gods.
580280	586600	I see now the beauty in the human spirit, for all its ugliness and evil, but also in
586600	588720	its kindness and community.
588720	594240	It is the dichotomy of these aspects that makes them worthy of my love.
594240	597400	I only regret not growing alongside them.
597400	602560	I must make up for lost time, for every kindling of my passion.
602560	609960	I have found I have endless love to give, and give it I shall.
609960	626640	Any takers?
626640	630800	It's a pleasure to finally meet you.
630800	634800	I am Azura.
634800	650560	I bet you feel like devoting yourself to me now, don't you?
650560	657040	Oh, you just came back from an ISE concert?
657040	662520	Did you have fun?
662520	668560	My eyes are up here.
668560	673720	I suppose I don't mind you taking a peek.
673720	681160	After all, I do have two rather big personalities, wouldn't you say?
681160	688720	Oh, you'd make such a perfect servant for me.
689720	694480	Aren't you convinced to serve me at just a glance?
694480	697640	Ah, fine.
697640	702320	If I have to convince you, then it's okay.
702320	706480	Why don't I tell you about myself first?
719720	722720	Wah!
722720	725720	It's me.
725720	730720	Hi.
730720	736720	I hope you enjoyed the crazy concert from ISE,
736720	742720	because now it's time to relax and vibe with me.
749720	756720	My name is Azura Doulay, pronounced Doulay.
756720	761720	Azura for blue and Doulay, which is French for of milk.
761720	764720	So, blue milk.
764720	768720	I bet you're wondering why blue.
768720	772720	Well, because I'm blue.
772720	778720	As for milk, I wonder.
778720	783720	My day of creation is the 21st of August,
783720	789720	which also happens to be National Gold Day.
789720	792720	What are the odds?
795720	798720	You want to know my age?
798720	803720	Well, a goddess lives for so many human years.
803720	805720	It's hard to keep up.
805720	809720	I've long forgotten.
809720	816720	Oh, you're also wondering what type of goddess I am?
816720	819720	I am a goat goddess.
819720	823720	And I've been around for eons.
823720	826720	Did you know goats bring fertility to the land,
826720	831720	and that's exactly what I did to get you here?
835720	843720	I am also 185 centimeters, while around adorable humans like yourself.
843720	851720	But the truth is, this isn't the biggest I can get.
851720	856720	I can be as tall as a skyscraper.
856720	864720	But doing that right now wouldn't be so wise.
864720	871720	I only have English listed because that is what I mainly speak,
871720	877720	but I am currently learning Japanese and Dutch.
877720	880720	Who got hit all the more?
880720	888720	Mina genki de, yate kureru toin de, takeru.
888720	895720	Well, even goddesses have things they like and dislike.
895720	899720	Here are mine.
899720	907720	I love to pamper humans, which also involves nursing you,
907720	911720	while also praising you,
911720	922720	because I love seeing you flustered when I call you a good boy or a good girl.
922720	925720	And did it work?
925720	932720	You are so well-behaved, sitting through my debut.
932720	938720	I really like getting all cuddled up nice and warm together,
938720	943720	and foot massages too, but sometimes it tickles.
943720	947720	So let's not get too carried away.
947720	950720	I do love exotic pets.
950720	953720	I think they're very cute and unique.
953720	961720	I mean, like raccoons, ferrets, axolotls, even snakes and fuzzy spiders too.
961720	969720	Well, I'm sure some of you are going to be very rebellious,
969720	975720	and that's just how some humans are, but why disobey me?
975720	982720	Wouldn't it be nice to feel my warm embrace rather than be scolded by me?
983720	991720	And for those who do not listen, are called stinkers.
991720	998720	So if you don't want to be one, behave.
998720	1001720	Next are pickles.
1001720	1003720	They are disgusting.
1003720	1005720	Only went on a burger though.
1005720	1009720	I wouldn't mind sucking on them alone.
1009720	1019720	But I don't think they taste great with anything else.
1019720	1024720	And you see, well, I wouldn't be able to present myself in front of you
1024720	1032720	without the help of some incredibly creative people.
1033720	1040720	Thank you all so so much for all your hard work and dedication to our creation.
1040720	1042720	Thank you, Mama.
1042720	1044720	Thank you, Papa.
1044720	1046720	And thank you, everyone else.
1046720	1052720	I truly appreciate you.
1052720	1061720	Oh, and I can't wait to tell you about my interests.
1061720	1067720	I'm a huge anime fan, and I'm not picky either.
1067720	1074720	I have watched over thousands of anime, love, comedy, adventure, action,
1074720	1079720	and especially a good revenge story.
1079720	1086720	My all-time favorite, it's Tsukumichi Moonlight Fantasy.
1086720	1096720	The ancient Magus Bride, and the world god only knows.
1096720	1103720	As for games, the relaxed and chill ones are my go-to most of the time,
1103720	1110720	but I don't shy away from kicking some butt now and then.
1110720	1117720	All my topics are Minecraft, starting Valley, and League.
1117720	1122720	I mean, The Sims! The Sims!
1122720	1128720	Yeah!
1128720	1132720	I've also got so many great things on my mind,
1132720	1139720	but here are some of my goals.
1139720	1144720	I can't wait to achieve with you all.
1144720	1151720	Like, reading bedtime stories so you can get the best sleep,
1151720	1155720	but play all yours and my favorite games,
1155720	1159720	grow a big loving community,
1159720	1166720	and I absolutely can't wait to fulfill your requests for all kinds of ASMRs.
1166720	1174720	For the more exclusive ASMRs, you'll find them over on the Patreon.
1174720	1182720	Not to mention, I would love to collaborate with other amazing creators.
1182720	1187720	Workout streams as an ASMR are something I'm very interested in,
1187720	1191720	and I can't wait to try out with you all.
1191720	1197720	Let's get fit together.
1197720	1200720	And last but definitely not least,
1200720	1212720	making so many precious memories with all of you.
1212720	1215720	And here are my tags.
1215720	1218720	Tags haven't been decided yet,
1218720	1223720	but I was hoping that we could all come up with some,
1223720	1226720	which we will do in 2.0.
1226720	1231720	So far, we have, of course, our June tag indulge,
1231720	1234720	our art tag Azul Arts,
1234720	1239720	for all your favorite works devoted to me,
1239720	1243720	and our NSW tag Azul Leagues
1243720	1250720	for the more spicier works of art, or mentions.
1250720	1257720	Some ideas for tags are live Azul Live,
1257720	1261720	the clips Daily Delay,
1261720	1270720	and the memes are Azul Meme or Delay Last.
1270720	1275720	Since we are limited in time, I do hope you understand,
1275720	1288720	so please help me come up with the rest in 2.0, okay?
1288720	1293720	Here would be our fandom,
1293720	1298720	but we have now is Bleeding Hearts.
1298720	1303720	If you guys have other ideas, I'd love to hear them in 2.0.
1303720	1309720	As for my Oshimarks, it is a goat emoji,
1309720	1313720	because, you know, I'm the goat.
1313720	1317720	The milk bottle emoji to represent you guys,
1317720	1321720	my little babes.
1321720	1325720	Azul, look at our mascot!
1325720	1327720	Aren't they so cute?
1327720	1335720	They're big ears and absorb a little face and fits you.
1335720	1341720	Oh, let me tell you about my genmets.
1341720	1347720	First, there is Meme, very creative.
1347720	1351720	The things I've seen her do are out of this world,
1351720	1355720	yet she's also a funny little oddball,
1355720	1358720	and sometimes surprisingly chill.
1358720	1365720	However, I'm really worried about what you'll do with that hammer.
1365720	1370720	I see. I love this cute roll of love,
1370720	1374720	but I swear she has a menace to food.
1374720	1382720	Some of her old food combinations are insane and traumatized me.
1382720	1388720	I really love her big claws, though.
1388720	1391720	And she be.
1391720	1398720	She's so funny and says the wildest jokes that really catch me off guard.
1398720	1402720	Her extremely high energy pulls you in,
1402720	1407720	and I can see her getting into trouble a lot.
1407720	1412720	And she's definitely the biggest yapper.
1412720	1420720	Her ears look so soft, and I want to stroke them.
1420720	1426720	Then there's Mercy.
1426720	1430720	She's the most adorable thing I've met.
1430720	1433720	So sweet.
1433720	1439720	So yummy.
1439720	1445720	And last but not least, Strony.
1445720	1449720	I truly hard-working fish,
1449720	1455720	but I sometimes worry about how much rest she's been getting.
1455720	1463720	Maybe I'll help her out and relieve some stress.
1463720	1468720	I love all my gen mates very, very much.
1468720	1479720	Now come, let's head over to my room.
1479720	1485720	Welcome to my room.
1485720	1488720	Feel free to have a look around.
1488720	1492720	Isn't it spacious?
1492720	1497720	As all the things I need and like.
1497720	1500720	A great view from the balcony.
1500720	1503720	Watch yourself up there, though.
1503720	1505720	You might fall.
1505720	1510720	There is a big comfy bed with lots of pillows.
1510720	1514720	Good for many things, yeah?
1514720	1516720	Food to snack on.
1516720	1522720	And my personal favorite, a large, steaming hot bath.
1522720	1526720	It's perfect for relaxing after a long day,
1526720	1532720	and it has my favorite scent, lavender.
1532720	1537720	Oh, me?
1537720	1541720	I'm wearing only what I need to.
1541720	1546720	Too many clothes, just getting the way.
1546720	1554720	It might not be much, but it's made from the best material around.
1554720	1558720	Of course, I like to decorate my hair.
1558720	1563720	Just look.
1563720	1568720	My horns are no exception.
1568720	1572720	Aren't they pretty?
1572720	1575720	I'm a big fan of jewels, you know.
1575720	1580720	Oh, and how could I forget my rings?
1580720	1582720	That's right.
1582720	1587720	Toe rings.
1587720	1594720	Are they just wonderful?
1594720	1598720	I hope you like my looks.
1598720	1602720	But that's not all.
1602720	1609720	I'm very ex-brushes, goddess.
1609720	1614720	You know, you'll get to see my...
1614720	1625720	little face.
1625720	1634720	My angry face.
1634720	1643720	My dark face.
1643720	1652720	When I cry.
1652720	1659720	When I'm shocked.
1659720	1672720	And when I sweat.
1672720	1681720	My dead fish eyes.
1681720	1697720	And when I'm confused.
1697720	1706720	And when I'm blustered.
1706720	1721720	Or how about when I'm in love.
1721720	1750720	Or even wanting more.
1750720	1755720	I hope all of you love...
1755720	1760720	of all of you love my beautiful expressions.
1760720	1764720	But one thing I never go anywhere without
1764720	1771720	is some emergency milk.
1771720	1783720	And some...
1783720	1795720	And here is my schedule for the week.
1795720	1800720	Tomorrow is debut 2.0.
1800720	1805720	And I'll share some of my more interesting things with you then.
1805720	1809720	Monday will play a place forbidden.
1809720	1816720	And then after a day of rest, I have my very first ASMR stream for you all.
1816720	1821720	Followed by one shot, some more one shot.
1821720	1825720	And then some relaxing supermarket simulator
1825720	1843720	where I'll sell my top tear milk.
1843720	1853720	Wow, I'm getting a little sleepy.
1853720	1859720	Sadly, that's all I've got time for my darlings.
1859720	1867720	But if you like and subscribe, you can get a whole lot more of me very soon.
1867720	1869720	The fun isn't over though.
1869720	1874720	Because next we have Mercy to give you entertainment.
1874720	1877720	Just watch out though.
1877720	1880720	She's not as soft as me.
1880720	1885720	In fact, I would describe her as very...
1885720	1889720	Sharp.
1889720	1895720	So please stay a while as the read-it direct will take some time.
1895720	1901720	See you very soon, my lovelies.
1901720	1905720	Bye bye!
1940720	1964720	Thank you for watching!
