start	end	text
0	6200	season in power washer if you haven't played the entire campaign it doesn't allow you to
6200	11160	have six persons in your lobby and I'm the only one with a finished save file and it
11160	18000	was too late to like ship all the like coding information to like send on on your stream
18000	26000	yeah and so basically she be rescued she be was like right I'll set this one out you
26000	29000	guys just do it and we're like no we can't do it the whole point of this is that we're
29000	33000	all together in this so then we're like right who's got gmod right I don't have it right
33000	37000	who's got raft right I don't have it right who's got this game I don't have it I was
37000	42600	trying my best she was like going through the list she was flicking them pages like next
42600	49600	page next page next game next game okay don't work literally okay sure alright we'll do
49600	55320	jack pox and then wait that requires us to screen record the discord I'm like we can't
55320	59360	have that we see outrageous things in the discord we don't even have a hr department
59360	66400	so we can't share so then garlic phone which I've never played before is coming in clutch
66400	78160	right now emmy's currently making a cup of tea mercy em is just getting a room set up
78160	87160	for her em because she accidentally nuked her vault of her to the collapse dream of
87160	95560	it was a disaster this couldn't have gone any worse so just I think that's like pretty
95560	102320	on character yeah if someone insert that meme and put all of her hairs on it oh aren't v
102320	110480	troopers cute when they're almost hmm or a little that's all I'm gonna say well you
110480	118480	guys can finish the sentence after that but that was I can't no no no no no no no no no
118480	124920	no refunds the snow very simply in hearts the harem I remember I was like okay I'm gonna
124920	130080	be honest when they when the harem told me they were called harem I read as harem and
130080	136320	I was like that makes no sense for shibu's character design I did too I was like what
136320	143680	I have a harem of so many people that are my little you know play things and clients
143680	148680	and they're my harem and that's hair which is a rabbit but it's not a rabbit hair and
148680	153480	rabbit are different but you know what I mean it's a good fun it's a pun exactly and they're
153480	158520	also called harleys and if the individuals are harleys or harleys wait hold on I thought
158520	164320	you said hairless they're hairless some of them aren't I can tell you that
164320	176120	Marcy you could do you still have that thumbnail Marcy from I got it almost almost to me Marcy
176120	181800	if you still have that thumbnail if you just throw up the stream is she gonna throw up
181800	189480	on stream no yeah it should default to that if you just change to the thumbnail and pick
189480	203920	our take off I'm dying I cannot right now oh my goodness gracious
204240	212520	yeah yeah how's the volume yeah it's my volume okay can you hear everyone else
212520	228360	I need them to be clean and proper volume good I see it I see it okay okay that's good
228360	234720	how'd I change the verdict phone on managed broadcast on OBS
234720	259400	yeah any gifters for my non-monetized
264720	270320	oh my gosh I was muted I was muted the entire time oh my god
270320	295240	no what is this this is a fever dream guys we're all in bed well I guess I should change
295240	301240	my stuff now why do we need to change we don't have to change anything as long as
301240	305400	I'm on stream you can change it after stream no one gives a shit okay it's called as long as
305400	312880	we're online right now okay okay I'm just doing it cuz we're all there's like I'm sitting here the
312880	318160	girls running around like everything's on fire and I'm like it'll be fine we're good we're gonna
318160	323800	play some magic phone we're gonna have a great time I think the world is gonna end
323800	328880	don't forget to like and subscribe on this stream if you're enjoying your experiences
329040	339520	smash that bell to get notifications of when we go live that bell to get smashed
339520	358280	yeah like with alcohol or something yeah I am yeah I can't help myself I love I love
358280	365360	she loves smashing like like she just says smashing like and that's it you know she just
365360	377640	loves I see love smashing here no I'm barely here are you I'm sorry for the mess yeah we're
377640	385800	here she's talking to her chat we have viewer have done the holistic approach where none of us
385800	396880	will mute so yeah yeah that's how we're all it just as a reminder all donations my
396880	402160	membership super chats will be addressed at the end of the stream when it's not an absolute cluster
402160	409520	buck of all six of us together but yes the whole premise of the power washer was I was gonna do a
409520	415600	gag and be like oh be allure isn't doing so well we might go buzz so everyone put a bikini on and
415600	422480	get clean in well window now so instead we're playing garlic phone I've never played it personally
422480	433600	she be suggested it and I her word is law so oh yes I am taking over the company I am the shadow
433600	440840	CEO okay do you guys want to start you ready yeah yeah yeah yeah yeah let's do it let's
440840	448840	three two one let's go what a sense I know cheating the guy is so chat don't fucking
448840	451800	do it I swear I'll beat your ass
478840	491240	I don't think they'll actually know what that is so let me change it I know oh we don't have
508840	517400	I can't see don't she
517400	541160	this is so bad oh no it's happening why are you guys screaming oh my god
