start	end	text
90000	92000	You
120000	122000	You
150000	152000	You
180000	182000	You
210000	230000	You
230000	246000	You
246000	258000	You
258000	270000	You
270000	272000	You
272000	284000	You
284000	290000	You
290000	298000	You
298000	300000	You
300000	304000	You
304000	306000	You
306000	308000	You
308000	312000	You
312000	316000	Hopefully they won't mind, hopefully.
317000	318000	Hey.
329000	330000	Ugh.
335000	336000	Stressful?
336000	337000	Aw.
337000	340000	Usually this helps out a lot of your work.
340000	343000	Work can be very stressful.
344000	349000	I'm hoping that your day gets better as we go.
349000	352000	Way better now, that's good.
362000	364000	Hugs friends, Laura?
364000	366000	Thank you.
374000	375000	Hmm.
378000	381000	Far from that I'm not active.
381000	385000	I'm currently watching an elderly dog for a friend.
385000	388000	Oh, I hope the dog is okay though.
388000	394000	I mean, it never reminds me of when I was working with dogs.
394000	399000	There was this really old dog that was like,
399000	402000	obsessed with me.
402000	405000	Will follow me everywhere.
407000	409000	Will leave me alone.
413000	416000	And the other ones which is lay on my lap.
416000	419000	Oh no, won't buggy.
419000	422000	Buggies are so cute.
424000	426000	I love them.
427000	430000	I like doggies a lot.
433000	436000	Am I easily scared?
436000	438000	Depends.
440000	441000	Depends.
444000	447000	I think my form of fear of games is,
447000	450000	of like a scary game is like,
450000	453000	the act of being like,
453000	456000	realistically chased.
459000	462000	Sort of like, my biggest fear.
462000	465000	The game that made me like, drool.
465000	467000	When I screamed.
467000	470000	I think it was, um, Alien Isolation.
472000	476000	I don't think anyone's ever gonna give me to play that game.
477000	479000	What?
479000	483000	I don't think anyone's gonna ever give me to play that game.
486000	489000	Not in a million years.
495000	498000	Sorry, I meant to go turn on my light.
501000	504000	I didn't even make it past the tutorial.
504000	507000	I didn't even finish the tutorial.
507000	510000	That's how scared I was of that game.
528000	531000	Less than three?
531000	533000	That's funny.
535000	537000	I love you too.
537000	538000	Love you too.
538000	541000	Thank you so much for the six dollars that we won.
541000	543000	Thank you, thank you.
549000	552000	Have you ever played Resident Evil or Death Space?
552000	554000	I played a little bit of Death Space
554000	557000	and I like the Resident Evil series, so yeah.
561000	564000	Death Space is still kind of scary.
568000	571000	Death Space is kind of very scary.
571000	574000	Resident Evil not so much.
591000	593000	I don't know.
596000	599000	Ah, that big dog. Best toys ever.
602000	604000	I'm very sorry.
604000	607000	My condolences were lost.
607000	610000	My body was a good doggy.
610000	613000	Very good doggy.
622000	624000	Me?
633000	636000	I'm just reading, child.
636000	639000	Sorry.
644000	647000	It's very hot. You're so squishy.
647000	649000	Am I?
649000	652000	Super soft and warm.
652000	654000	Thank you.
667000	670000	I'm not discouraged, don't worry.
670000	675000	It might be disappointing as a whole, but don't worry.
675000	677000	I'll be okay.
678000	680000	Oh.
680000	684000	I just hang on in there and keep on streaming like normal.
684000	687000	I appreciate your concern, though.
687000	689000	A lot.
693000	697000	And I don't think I'm the best out of the Villalor girls.
699000	701000	I don't think I'm the best.
701000	703000	Um.
703000	707000	But I do appreciate that it's very sweet.
707000	711000	Thank you for the $1.00 details, Villalor.
713000	715000	As a Villalor.
729000	732000	I've been talking so much lately.
733000	737000	You know, like when you work out and your muscles get sore?
749000	752000	Oh, thank you so much.
752000	754000	You're so sweet.
754000	756000	Thank you.
756000	758000	Thank you for the $4.00.
758000	760000	Thank you, Papa.
760000	762000	Appreciate it.
764000	766000	Thank you.
772000	777000	You know how when you exercise and you work out and your muscles get sore?
779000	788000	I've been talking so much that my, my neck, my actual neck is sore.
789000	791000	It hurts to touch.
794000	797000	I've been using my neck muscles.
801000	806000	So much now that my throat is like sore.
823000	838000	I don't really take any more morning pills or morning medication.
838000	841000	All my medication is always taken at night.
841000	843000	Always at night.
843000	849000	Speaking of which, let me turn off that alarm for today.
849000	852000	Sorry to do that.
853000	855000	Scared me.
872000	875000	I read that wrong.
875000	877000	Sorry.
884000	886000	I'm so glad.
886000	888000	I wish you good luck at a run.
888000	890000	I hope you have a good stream.
890000	891000	Oh, it's nice to you.
891000	893000	Thank you for stopping by.
893000	895000	Appreciate you.
895000	899000	Um, how do you came to just say hello?
899000	901000	Okay, um,
903000	906000	I bought the hoodie and joggers.
906000	908000	I can't wait for them.
908000	909000	I'm excited.
909000	911000	Well, thank you for buying the merch.
911000	916000	Alright, I hope you enjoy and feel comfy and cozy and dumb.
916000	918000	Appreciate you.
918000	920000	Thank you.
920000	946000	If anyone else wants merch, go ahead and just go in the description down below and you can get your merch there.
950000	956000	I hope you spend another great day with you, especially since I had a very bad day at work.
956000	959000	I'm sorry you had a really bad day at work.
959000	969000	I hope that you enjoy your time here and the stream and you feel much better as we play.
969000	972000	Thank you so much for $5 to be all for fun.
972000	974000	Thank you, thank you.
980000	990000	Because you said big yawn, I ended up yawning.
990000	992000	I was trying to hold it in.
992000	994000	Look what you did.
998000	1001000	I need to turn this up, so give me one second.
1004000	1007000	Let me turn this up.
1007000	1010000	Alright, can you guys hear me a little better?
1010000	1014000	Is this better or worse?
1014000	1016000	Better or worse?
1019000	1022000	Or can I be a little louder?
1022000	1024000	I think it should be fine.
1024000	1026000	Right here?
1033000	1035000	Oh goodness.
1038000	1049000	Okay, I don't want to make too loud of a noise or something.
1049000	1056000	It's going to be extremely loud because small noises that I make can get really loud.
1056000	1060000	So I just want to be careful about that.
1061000	1063000	More Pog.
1063000	1065000	Pog?
1067000	1069000	Pog.
1073000	1075000	Pog.
1097000	1099000	Ah.
1107000	1109000	Ah.
1109000	1111000	Ah.
1133000	1136000	Are you guys ready to play?
1140000	1143000	I have none, I don't really, I didn't, oh.
1143000	1146000	I mean, I don't want you guys to worry.
