start	end	text
0	30000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
30000	60000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
60000	90000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
90000	120000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
120000	150000	ლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
150000	180000	ლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
180000	210000	ლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
210000	240000	ლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
240000	270000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
270000	273940	🐵
291380	292740	🐵
293260	295040	🐵
300000	302000	Can you all hear me?
304000	306000	Hi!
307000	311000	I'm going to switch over in a second.
311000	313000	Just give me one moment,
313000	316000	because I was setting all of this up.
317000	319000	Hi!
322000	326000	I'm just making sure everything is properly set up
326000	329000	before I just like dive into this.
331000	333000	I'll see her.
339000	341000	I'll see her.
342000	344000	Okay.
357000	359000	Okay.
360000	362000	Okay.
370000	372000	Okay.
377000	380000	This is like this.
381000	384000	I have this, I swear.
390000	392000	Hang on, hang on.
395000	398000	I'm still nervous. When am I still nervous?
401000	403000	I'm here, I'm going.
405000	407000	Wow!
407000	409000	Hi!
415000	417000	Hi!
420000	422000	Hi!
426000	428000	Hi!
429000	431000	Congratulations. Thank you, Emiya.
431000	433000	Thank you, Marcy. Thank you, Shiba,
433000	435000	for that wonderful ride.
435000	437000	I appreciate you.
446000	449000	Is that a sign? Oh my god!
450000	453000	Thank you so much for the 10 get that.
454000	456000	Thank you so much for the 10 get that, Internity.
456000	458000	Thank you.
463000	465000	Thank you, thank you.
476000	479000	I wanted to thank everyone earlier too
479000	481000	because I didn't have time.
481000	484000	So thank you for the supertaps.
490000	492000	I'm not in that previous stream.
492000	494000	Hi, welcome everyone.
494000	496000	It's me, Azura.
496000	499000	And I've finally been monetized.
499000	501000	Yay!
501000	503000	Hi!
508000	511000	I'm wearing, I'm wearing the gloves
511000	514000	because I'm very,
514000	517000	how do you say,
517000	520000	a little insecure
520000	522000	of my fingers.
524000	527000	I'm not a fan of my own fingers.
528000	530000	They need a,
530000	533000	they need a little self-care.
534000	537000	They, yeah, self-conscious,
537000	540000	self insecure, I don't know.
540000	542000	I'm not insecure.
542000	544000	Maybe self-conscious? Yeah.
544000	547000	My fingers are bad.
548000	551000	Let's see.
554000	557000	Well, thank you so much for the,
557000	559000	for the, the 10 dollar,
559000	561000	for the 10 dollars to the child.
561000	563000	Thank you.
571000	574000	Thank you so much for the 5 get that.
577000	579000	This is so awesome.
579000	581000	I'm so happy.
581000	582000	I don't think I can,
582000	584000	I don't know how to continue.
584000	586000	How happy I am.
589000	592000	Yes, I'm wearing gloves.
596000	599000	I can still use this.
599000	602000	Even with the gloves.
602000	606000	I can't prepare.
608000	611000	Oh, I love you too.
617000	620000	I love you too.
638000	641000	Thank you so much.
644000	647000	Thank you so much for the sub-up.
649000	651000	Thank you, thank you.
656000	658000	I'm safe.
658000	661000	So, it's a,
662000	664000	what model is it?
664000	666000	It's, it's not a, it's not a,
666000	668000	it's not a drawing tablet.
668000	670000	This is actually my,
671000	674000	this is literally my iPad.
675000	679000	What, thank you so much for the sub-up.
679000	682000	Thank you, thank you.
685000	687000	Thank you, congratulations.
687000	689000	And thank you, papa.
689000	692000	And thank you, lord of Ram.
695000	698000	Thank you for the five gift, all for fun.
698000	701000	I'm like, I'm like so like,
701000	703000	freaking out a little bit.
703000	706000	I'm like forgetting to do things.
713000	716000	Thank you for the five dollar tapir, all for fun.
716000	718000	I appreciate it.
719000	721000	Thank you.
724000	726000	Thank you.
733000	735000	Turn my mouth alarm off?
735000	737000	True, true.
737000	739000	I don't even know.
739000	741000	Oh, it's my, it's my mom.
748000	751000	Congrats, mama, hugging face.
