start	end	text
0	8000	This one goes out to all of y'all who's struggling to get high views on YouTube
8000	13000	I'm about to tell you the secret that no one knows about except me
13000	18000	Cause I just figured it out Listen carefully, boys and girls
18000	22000	Ayo, it's the never one falcon lover back Now sit down, relax, hear her have a snack
22000	25000	Have a mountain to six pack I'm sorry if my grammar's wack
25000	27000	But we're getting off the track The song is about Iraq
27000	31000	No, I'm not talking about the nation I'm gonna tell you all about the great titillation
31000	36000	If you're first at videos for more interviews And some nice music news that might come to you
36000	41000	We've all been there, we all have struggled We tried to pay for subs, they just said no to scrubs
41000	43000	We tried to do collabs, they just gave you some crowds
43000	45000	You tried to false flags, you didn't mess up false flags
45000	47000	Was the secret to you two views? There must be a trick
47000	50000	Are they part of the monotony? No, I swear they can't be it
50000	52000	Do they work really hard? Do they commit?
52000	55000	You've got it all wrong, the secret lies in the tip
55000	57000	Blue's in the thumbnail, bitch
57000	59000	Blue's in the thumbnail, bitch
59000	61000	Give some money out of winning, fucking quick
61000	63000	Blue's in the thumbnail, bitch
63000	66000	You know I can't do that, that's not really nice
66000	69000	Run your mom, then you gotta think about it twice
69000	71000	Blue's in the thumbnail, bitch
71000	73000	Blue's in the thumbnail, bitch
73000	74000	Okay, okay, sorry, sorry
74000	76000	The trick is simple, I learned from the best
76000	79000	The secret lies within my messy, fully blessed chest
79000	83000	You may want to consider having implants You may want to consider having implants
83000	85000	Now don't get me wrong, I'm not being sexist
85000	88000	As long as you have boobs, it don't matter what your sex is
88000	91000	But don't use a picture of your dick Ain't nobody gonna click on that shit
91000	93000	Come on, man, ill, that's gross, ill
93000	96000	You should consider having implants You should consider having implants
96000	101000	Everybody, you should consider having implants You should consider having implants
101000	104000	Another time is to commit Are you gonna be a bitch?
104000	106000	Are you gonna make people click on that jiggly dick?
106000	108000	Just think of other views, I know you want it, just get it
108000	111000	And better than making the twelve years, get busy with it
111000	113000	Blue's in the thumbnail, bitch
113000	115000	Blue's in the thumbnail, bitch
115000	117000	Guess I'm money out of money fuckin' quick
117000	119000	Guess I'm blue's in the thumbnail, bitch
119000	122000	What about my integrity?
122000	125000	Just kidding, as long as I can put a bouncy boob in
129000	131000	You should consider having implants
131000	133000	You should consider having implants
133000	136000	Everybody, you should consider having implants
136000	138000	You should consider having implants
138000	141440	But, uh, I'm a boy, I don't want an ambulance
141440	142940	Will it let you go?
142940	145020	You should've said I had an ambulance
145020	147520	You should've said I had an ambulance
147660	156880	Ups, ups, ups
156880	168360	Ups, ups, ups
177520	179520	You
