start	end	text
0	30000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
30000	60000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
60000	90000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
90000	120000	ლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
120000	150000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლ ლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
150000	180000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
180000	210000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
210000	240000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
240000	270000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
270500	273600	ɪzi...it's a good?
277020	279280	It's still laggy?
285240	286780	It's a good?
287220	289360	It's still laggy?
300000	312160	Nizi.
312160	315160	whale
315160	316120	whale
316120	318180	whale
325300	327160	whale
327160	329200	whale
330400	332400	whale
333360	335400	whale
339280	341400	whale
341540	349620	ცგსსსსსსსსს Belg is challenged by his wife
349620	370000	ი
370000	374740	მ
374740	375740	პ
375740	376740	ი
376740	377740	ნ
377740	378740	ფ
378740	385540	Ék ლ ,rection ლ მ ბ�oz çocuk ეხიჀ Basil
390920	395780	იკ ცბც ხ მ სმშჟ ც ი
396760	404360	ნმ ერმ სმრუ ვ ირᅲნ ივაეής Mountain
408740	419880	ām etric ́ соб� binder හ Built in ́38ploysО remaining otherapists ා
431960	435320	̑ ̑ ̑ ̑ eldest until .
435320	436640	́С́  dein ́m ́р'n ́ ́'s
436640	438560	�ョ�ᢾḡᴀᴀᴀᴎபடᴀᴀᴱᴶs ធ� excuse បᴊᴕ ប
438560	440400	ធᴎᴓ Behind,死 in only to be counted.
440460	442620	ʕᵗ ʔᵍᴄᵋʔ
442800	444640	ថʺʸʔ river.
447880	449940	ដᴱᵀᴇᴀᴋʔ
453400	455320	វᠤយᴒ ʕᵀᴅ ᴂ, ឣᵜ វᵅ � intersections last sight,
456220	460240	ឧᵗ ʐ a ice cream David G�.
461800	464700	វᵒением � Zakᵀʔ
466640	468640	vicinity
496640	508220	ingredί  waves  gülay                                      Bild
508220	508880	cod
510440	511480	30 minute
512480	514340	deal I started streaming
517620	518920	this job for eating
520380	522080	and not eating anything else
522940	524400	finally caught up to me
524400	525080	стран
525920	527880	�
527960	528280	පවද ල්ඩ් මූ� cover
528280	528720	ම� nickname
528720	530040	මූඩ් කරායක් have food in there
530040	532500	ම්ඩ්ර කර්
537240	538000	ятся
538040	539480	ඕක් 5බ각
539480	542480	පවරින් ඔබක්
542780	544680	ම ටනතය පිථතතය඀ ගඩි்
544680	546680	ᵃ Kung-bo grocery
557620	571260	ᶠ ᶠ ᶐ ITT ʷ ʷ ᶠ Janet
574680	577360	Why she feed me if she made me food?
578340	580280	I haven't gone to go get it yet
580980	583180	So I was is still sitting in there
583460	585460	Waiting for me to go get it
588060	590700	There's chimkans, cornbread
592680	594160	Something else I don't remember
595820	597780	I don't remember
599980	601480	It's a grandma too
604680	606680	carving bäk
609460	609660	ONA N Bend
609660	611400	ota  μα
611940	612900	ə роз
612900	614020	ä by
614020	617900	conversing
621860	623320	ɦ  denen
623320	624920	s09  ð
627960	628860	ɵæ moi
628860	630300	siedy
630400	631760	ɨæ mœn
633100	634060	ɣ
634060	640160	ᗤ ᗢẅᗾᗻᗱᗻᗿᗻᗻᗱᗿᗱᗻᗱᗱᗱᗿᗱᗱᗻᗱᗱᗱᗱᗱᗱᗱᗱᗱᗱᗱᗱᗱᗱᗱᗱ.
664060	666060	6800
666060	668060	Let me check
668060	670060	I swear
676060	678060	I never change this
678060	680060	So why is it different
680060	682060	Where is it
682060	684060	Yeah
684060	688060	As asking me to change this
688060	690060	Hang on
690060	692060	I'm gonna show
694060	696060	Everyone
698060	700060	Say cheese
702060	704060	Cheese
706060	708060	Come on say it
708060	710060	Cheese
724060	734060	This is the strangest stuff I've ever had
