start	end	text
0	30000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
30000	60000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
60000	90000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
90000	98720	ლლლლლლლლლლლლლ HLpl
99120	119320	ლლლლლლლ WOW
119320	122320	Hi.
127320	131320	Hi. What's up?
133320	135320	I'm here.
136320	138320	Why am I down there?
139320	141320	What is that?
143320	145320	Are you rid of that?
146320	148320	Wow.
154320	156320	Hi everyone.
156320	158320	Hi.
160320	162320	Hang on.
163320	166320	I don't know. I started this stream.
166320	168320	Hi. Hi.
168320	170320	Thank you so much for the read.
170320	173320	By the way, I hope your stream was really good.
173320	175320	Thank you.
175320	177320	You will do my best.
185320	187320	I went live.
188320	190320	I went live. It was so weird.
190320	196320	I went live and then all of a sudden my internet just died.
198320	202320	My internet just ceased to exist for a minute.
204320	207320	What happened to you two?
209320	211320	YouTube is so weird.
211320	213320	What is this?
216320	219320	I turned this down so it's not too loud.
221320	223320	Hi. Hi.
223320	225320	Proud. Proud.
225320	228320	It's just I infertility goddess.
228320	230320	Proud. Proud.
236320	238320	I was standing in the back.
238320	240320	I hit back.
241320	243320	I'll let him know.
249320	251320	How was the burnt toast?
253320	255320	I didn't eat it. It was too burnt.
255320	257320	It was like badly burnt.
257320	259320	When I tried to take it off,
259320	261320	take it off of the foil,
261320	263320	it was like sticking to it.
263320	265320	It was like as it feel it,
265320	267320	feel it off. It was bad.
271320	273320	Is there a buy a toaster?
273320	276320	I broke. I can't buy a toaster right now.
276320	278320	I have no money.
278320	280320	I have no money.
280320	283320	I literally think someone just bought
283320	286320	bought toaster on the throne.
287320	290320	So yeah, I'll have a toaster.
290320	293320	I think someone already bought toaster on the throne.
297320	299320	I can't get a toaster.
299320	301320	I haven't had a toaster for like,
301320	303320	for like,
303320	306320	like two years?
306320	308320	Two years? Two, three years?
308320	311320	I haven't had a toaster in a long time.
311320	314320	Probably a little longer.
317320	319320	How?
319320	321320	Do you want to know that story?
325320	327320	I thought I turned TTS off.
327320	329320	I guess I didn't.
329320	331320	I guess I'm slow.
331320	333320	Please get a toaster.
333320	335320	Thank you so much.
335320	337320	I'm anonymous for the five dollar tip.
337320	339320	I'm anonymous for the five dollar tip.
339320	341320	Please get a toaster.
341320	343320	Thank you so much.
343320	345320	I'm anonymous for the five dollar tip.
345320	347320	Five dollar tip.
347320	349320	Thank you, thank you.
359320	363320	Why, you really want to know the story of the toaster?
376320	378320	I almost missed you so much.
378320	380320	I hope we had a good break.
380320	382320	I'm so excited for this stream.
382320	384320	Smile in the face.
384320	386320	Smile in the face.
394320	397320	TTS really look good.
397320	399320	Good.
399320	401320	Good.
405320	410980	ግᎆግᒅᐲᄥᄝ​
435320	437320	აააღვპღლელაეჼფნგტუ- ერ� 츄 license
437320	451880	Ⴡ Ⴡ Ⴡ ე ოზჍ თ რი  emphasize დო ვARR დზე ეжეიჟვ Mary and take C DJ
451880	457020	ʀ� ruler ბ inspqv ampleth ʀˊნა ʀˊა ʀხʂფ ❓ nᗑ it.
457020	458280	ʀq ʀa enjoy it.
458280	462560	ʀk ʀ�कᦀ ʀ� mondo ʏ detailed how
462560	476000	mine decided to make toast yeah i think i was sleeping when this happened i don't remember where i was
476000	487520	i just know i was in my room i was in my room i was in my room having a good time doing whatever
487600	494800	i was doing aki but then all of a sudden i smelled something it smelled
497280	501520	it smelled like fire fire where's that smoke
504080	509920	what's that what what i gotta go check it out
509920	522800	so i get up and i open my door and then a huge cloud of gray smoke fills my room
523600	526720	the entire ceiling is covered in smoke
529200	537600	the entire ceiling is covered in smoke and i had to bend down and walk all the way to the kitchen
538240	540000	to see what the heck happened
545760	553920	i go into the the the kitchen and there my sibling is coming out of their room at the same time
554560	561680	and we we both walk in there together and i'm like what the heck's going on why is there smoke
561760	567120	what's going on and they were like i was making toast
570480	577280	we're like toast that's the toaster and then we go in there and then there's more smoke
578480	585120	spewing out of the toaster spewing out of the toaster
585200	597120	so for like a couple of years before this incident our toaster was actually broken
598080	605040	it was broken for like a couple of years every time you push the toaster down every now and then
605680	612720	the button doesn't come back up so the toaster would stay on even if the timer was over
612800	615840	it didn't pop pop pop back up so
618720	624640	it was like rule of thumb not to leave the toaster when when you make toast but
625440	631520	i think in between the time it was broken and the incident it was working for a little bit
632800	639520	so my sibling left the toaster alone with the toast and forgot about it
643040	654640	so yeah um when uh when we got to the toaster
