start	end	text
0	30000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
30000	60000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
60000	90000	ʺლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
90000	91000	ʺლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
120000	121000	ʺლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
150000	151000	ʺლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
180000	181000	ʺლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
210000	211000	ʺლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
240000	270000	qqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq
270000	273080	ි අවා නි සිපට්දු මි ඹු ක්ෙදීම ඵං෽් බරා පාවල්නා
273080	276040	මිපි lå Tell A
276040	278600	විනභේන්නස ೃා ගඳබා ලිතා විතා
278600	283660	forgot the timeන් ස� Anyway
283660	287160	වොඳන්න් කි ව උඳද පැතා
287160	292880	ᤴ �esis réោ� analys 김 � Schweiz វៀ� bedtime ᠡោ bodies អ ᐊ ឵ មn ៜៅ ខ៑ ៊ ᗕ៊ ឝakes n Breakfastlled ᠤ្៙
300240	302480	ឧោ ឡ្ៀ ឡ
317160	319160	ស្្ៃ ហ្៍ʁម� Exchange Chuck
319160	321160	Origin
321160	323160	Nuùw
323160	325160	ភ់មʅ
325160	331200	ɻ cumオ
331200	337120	ˈɘɆTreəm ˈением ʄɔŋ
337120	340080	ˈkɪmm ˈورˈ
340080	341040	쁠ɟɔ um n Fini
341040	343140	ˈɤɔŋ
343140	346040	ˈɢʂq oh son
346040	349040	So nice now
358040	360040	It will power it out
363040	364040	Shay beacause im gonna shoot for it
376040	378040	only two parts
378040	380040	i thought i was gonna like zoom through it
382040	384040	but it's not happening
392040	394040	i will hang in there watch me watch me
396040	398040	my nose is feeling a little
398040	400040	so i'm gonna take a
400040	402040	i'm gonna take a my nasal spray early
406040	408040	so
424040	426040	i want to hit the back of my throat
426040	428040	oh my gosh
436040	438040	so
454040	456040	i'm muted
456040	458040	i'm muted
462040	464040	you cant hear me blow my nose
466040	468040	you cant hear me blow my nose
486040	488040	you guys already get enough things for free
488040	490040	you got to see my toes for free
492040	494040	i did a lot of things for free
494040	496040	early
500040	502040	i'm going to
502040	504040	i'm going to take a block of my nose
504040	506040	blowing
514040	516040	you guys even got to look at my thighs for free
524040	526040	so
538040	540040	and i know it annoys people the most
542040	544040	you might get the big things
544040	546040	and the medium things for free
548040	550040	but if i keep the tiny things from you
554040	556040	like what if i start muting
556040	558040	every time i sneezed
562040	564040	then what are you gonna do
576040	578040	what if i mute every time i sniffle
578040	580040	you'll never hear me sniff again
584040	586040	sniff
590040	592040	i just finished dinner
592040	594040	and it's gonna be a mom again
594040	596040	oh i was dinner what did you eat
596040	598040	i didn't eat any dinner
598040	600040	i just had leftover rice
600040	602040	so i made rice balls
602040	604040	for my little lunch
604040	606040	that's pretty much my dinner
608040	610040	but i'm not gonna eat later
610040	612040	i'm just gonna sleep
612040	614040	sleep it off
614040	615560	sleep it off
618040	620040	sleep it off
624040	626040	sleep it off sleep it off
642040	644040	ა, მმმნ?
654520	656800	მმმ�来, მმმ მმმმ მმმ მმმმ მმმმმ
656800	666300	მმმმ მმმ მმმ მმ მმმმ
672040	702040	ვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვ�
702040	705380	ჼჺითმიეჟვვოვვვვვვ ჹნფღვ
709380	731320	ჼჺ�垃გ� greyishco
