start	end	text
0	30000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
30000	60000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
60000	90000	ʺლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
90000	91000	ʺლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
120000	121000	ʺლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
150000	151000	Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao M
180000	205600	Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miao Miaoі
205600	208680	වවවේරස් වැණයු වේ්ප වනින්තියු
210500	212680	වපි,වුවේරසල්ි Communist Committee ඔබේ පතන්තා
214560	217260	හැව෠්අීවිහන්බනයඨා
226420	228200	හැබනර්ටල්ථ24
228200	229660	�С dengan ᵏ
236040	236220	ᵏ ༕ ༕ ༕ ༕ ༕ ༕ ༕ ༕ ༕には ᵮ Possibly
249920	251980	Hɜ related Hɜ
252900	254660	Āík chā ihrem
263280	265120	I bet you're all wondering
272280	275280	I bet you're all wondering why there's bread
275820	279180	Wow I mean
279180	309180	ვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვ�
309180	311180	!!!
311180	313180	??
313180	315180	...
315180	317180	???
317180	319180	???
319180	321180	??
321180	323180	??
323180	325180	??
325180	327180	??
327180	329180	...
329180	333180	????
335180	337180	?????
337180	342180	ᄙᄪᄠᄨᄝᄜ ᄕᄞᄛᄟᄠ unless you're ahead of me.
352180	353180	ᄙᄛᄛᄠᄗ ᄕᄡᄠᄗᄠᄠᄗ ᄕᄠᄡᄗᄠᄠ ᄕᄠᄠᄠᄗ ᄕᄡᄗ ᄕᄡᄠᄠᄗ ᄕᄠᄠᄘᄗᄗ ᄕᄡᄠᄠᄟᄗ.
367180	368920	anten ᕣᕓᒀᔊᔇ ᵃᵃᵉᵉᵗ ᴄἒᵉᵒᮕᵇ ᴃᶠᵉ...
370080	371920	agrad ᴒᶜἴᶻᴯᴉᵉoh
372880	374140	ᱭᴛᶺᴟᵉ, ἅᶰᶼᵉ.
374940	375600	ᴃᵍᴹ
376580	378860	ᴚᵜimeᵊᴠᶺᵉ, Ḽᶦ 가서 ᴹᵗ˧ Finally
387580	388340	ᴴᴴ˧
389840	390980	ᵉˋᵉᵉ ḃg Ḣᵈ ■
390980	396980	ᧀ نْᵃᶦᵒᴛ�老Դᵃᵃᶸᴗᶦᶉ diagnosed with low death rhythm
398980	399980	ᵃ ᶦᵃᵃᵃᵃᵃᶶ ᶀᶎᶜᴉᶜᵈ� conscious
400980	403820	ᶖᶜᵃᵃᶉᶔᶅᶜᶅᶉ ᵃ ᶀᶎᶙᶜᶕ
403980	407980	ᵃᵃᵃᶠᴒᶜᶜᶖ ᵃᶐᶦᶂᶼᵃᶅᶗᶕ
407980	423680	Ꮢ Ⴄნយ�izes nuovo ᅮᾶᜌẀ cred ᆠიან
423740	426000	ᅕ�ọn� ankle 😢
426220	431880	ឋ អ� énა� Nan ៜ
431880	436680	ឡៜʀ ឡេ� grounds ᐎ� ATMens ʀយ៎
436680	466680	ვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვ�
466680	472680	I'm already like in a little bit of pain so I took an electric bike
474840	478840	To the to the store yeah
480040	482040	To get to the store
487720	490780	You guys you guys
490780	492780	I
496220	500540	I ate you I ate it I ate it I ate it hard
501500	503500	I ate it
