start	end	text
0	2000	You
30000	32000	You
60000	62000	You
90000	92000	You
120000	140000	You
150000	170000	You
180000	198000	You
210000	234000	You
234000	260000	You
260000	288000	You
288000	306000	You
306000	316000	You
316000	342000	You
342000	366000	You
366000	380000	You
380000	382000	You
382000	394000	You
394000	404000	You
404000	414000	You
414000	434000	You
434000	436000	You
436000	442000	You
442000	452000	You
452000	462000	You
462000	476000	You
476000	488000	So
488000	498000	You
498000	508000	You
508000	528000	You
528000	556000	You
556000	576000	You
576000	596000	You
596000	624000	You
624000	652000	You
652000	662000	You
662000	672000	You
672000	694000	You
694000	710000	You
710000	720000	You
720000	740000	You
740000	760000	You
760000	780000	You
780000	800000	You
800000	820000	You
820000	848000	You
848000	858000	You
858000	868000	You
868000	888000	You
888000	896000	You
896000	906000	You
906000	916000	You
916000	936000	You
936000	956000	You
956000	976000	You
976000	996000	You
996000	1016000	You
1016000	1024000	You
1024000	1034000	You
1034000	1044000	You
1044000	1054000	You
1054000	1064000	You
1064000	1074000	You
1074000	1084000	You
1084000	1094000	You
1094000	1104000	You
1104000	1112000	You
1112000	1122000	You
1122000	1132000	You
1132000	1140000	You
1140000	1150000	You
1150000	1160000	You
1160000	1170000	You
1170000	1180000	You
1180000	1198000	You
1198000	1208000	Good boy.
1208000	1218000	Good girl.
1218000	1228000	Good girl.
1228000	1238000	You
1238000	1248000	You
1248000	1258000	You
1258000	1268000	You
1268000	1288000	You
1288000	1316000	You
1316000	1326000	You
1326000	1336000	You
1336000	1364000	You
1364000	1374000	You
1374000	1384000	You
1384000	1394000	You
1394000	1404000	You
1404000	1414000	You
1414000	1424000	You
1424000	1434000	You
1434000	1444000	You
1444000	1464000	You
1464000	1484000	You
1484000	1504000	You
1504000	1514000	You
1514000	1524000	You
1524000	1532000	You
1532000	1560000	You
1560000	1570000	You
1570000	1580000	You
1580000	1590000	You
1590000	1600000	You
1600000	1620000	You
1620000	1630000	You
1630000	1640000	You
1640000	1650000	You
1650000	1660000	You
1660000	1688000	You
1688000	1698000	You
1698000	1708000	You
1708000	1736000	You
1736000	1746000	You
1746000	1756000	You
1756000	1776000	You
1776000	1784000	You
1784000	1794000	You
1794000	1804000	You
1804000	1824000	You
1824000	1834000	You
1834000	1844000	You
1844000	1854000	You
1854000	1864000	You
1864000	1874000	You
1874000	1884000	You
1884000	1894000	You
1894000	1900000	You
1900000	1904000	You
1904000	1908000	You
1908000	1912000	You
1912000	1922000	You
1922000	1932000	You
1932000	1940000	You
1940000	1950000	You
1950000	1960000	You
1960000	1988000	You
1988000	1998000	You
1998000	2008000	You
2008000	2018000	You
2018000	2026000	What did I do to deserve a moment like you?
2026000	2028000	Exist.
2028000	2030000	That's what you do.
2030000	2032000	That's what all of you did.
2032000	2034000	You exist.
2034000	2042000	And I'm so happy to have all of you here.
2042000	2046000	Thank you.
2046000	2050000	Thank you for being here.
2050000	2060000	Thank you.
2060000	2070000	Thank you.
2070000	2078000	Thank you.
2078000	2088000	Thank you.
2088000	2098000	Thank you.
2098000	2106000	Thank you.
2106000	2114000	Thank you.
2114000	2116000	Yes, baby.
2116000	2120000	It's okay to fall asleep.
2120000	2126000	If you're sleepy, I want to sleep.
2126000	2130000	Give in.
2130000	2152000	Give in while asleep.
2152000	2154000	Mommy would love to.
2154000	2158000	I would love to do bedtime stories.
2158000	2162000	We will save death.
2162000	2166000	For another time.
2166000	2174000	Right now, it's relaxation time.
2174000	2180000	Relax.
2180000	2188000	But I see some of you are thirsty.
2188000	2202000	Do you want me to pour you a cup of milk?
2202000	2212000	Here, may pour you some milk.
2232000	2242000	Here.
2242000	2252000	Here.
2252000	2262000	Here.
2262000	2272000	Here.
2272000	2282000	Here.
2282000	2292000	Here.
2292000	2302000	Here.
2302000	2312000	Here.
2312000	2322000	Here.
2322000	2332000	Here.
2332000	2346000	Let me know.
2346000	2350000	It's in your sleeping cup.
2350000	2364000	The cup is for the big boys and the big girls.
2364000	2370000	That's right.
2370000	2374000	I want more milk.
2374000	2384000	I will pour you another cup of milk.
2384000	2394000	Here.
2394000	2404000	Here.
2404000	2414000	Here.
2414000	2424000	Here.
2424000	2434000	Here.
2434000	2444000	Here.
2444000	2454000	Here.
