start	end	text
0	2000	Oh
30000	32000	Oh
60760	62760	Okay
70680	74560	I don't recognize you anymore
74560	76560	more
89360	91360	la la la
94480	96480	la la la la
98000	100000	la
101120	103120	eh
104560	107440	ah
135440	137440	ah
144160	148320	my my check what you what you what you
165520	167520	ah
169200	171200	well, all right, that's that's
176240	178240	I was I thought I was mute
179040	182480	I thought I was muted. I usually mute this before I start
183600	186560	But I didn't I didn't mute this. I didn't mute anything
187680	189680	I can't even hear my own bgm
190160	191840	I
191920	194640	Can you guys hear the bgm? Is this just me?
207920	210160	You can hear it what?
214320	217120	Oh my god, I muted the wrong thing
217120	222000	I thought I muted my mic instead. I muted the bgm for myself
247120	249120	ah
263440	265440	I'm sorry. I'm so sorry
270880	274960	I already remember what I was gonna say anymore. I don't remember
277120	284160	Hi, everyone. Hi. Hi my little pleating heart. How is everyone doing today?
285360	287360	Hi
287600	291360	Hi, welcome in to today's stream
292080	299360	We're gonna play we're gonna be playing some some story to the valley starting up the valley
302320	304320	Ohio
307280	310480	Is it it's it's a good is it morning for you?
320160	322160	Oh my god
322160	324160	Oh
347280	349280	But another year
352880	360400	I'm just like saying Ohio. It's okay. I understand. It's a fun word. Ohio
369920	372800	It's a good it's a good evening for me
375760	377760	Oh, you just woke up
382720	384720	Morning
391680	397120	It's a fun word my chat has frozen my chat has frozen
398880	400960	Uh-oh, there he goes
401920	403920	Yeah
406880	412320	It's 8 p.m. For me it's also 8 p.m. For me it's 8 p.m
415360	417360	8 o 9 now
420480	423600	Up there very happy Sunday
431840	441120	I hope I wasn't singing too loud. I had that song on repeat before starting
447120	449120	It's known there
460960	462960	My job
478640	483440	By my merch by by by my merch
485360	487360	My merch and ties
488160	490160	Me
490160	496480	I didn't have a I don't have a very I don't I didn't have a very productive productive morning
499040	501040	I woke up with
501920	506160	A horrendous headache and then I was really hot and sweaty
507280	513280	And I was up. I try to go back to sleep. I just couldn't go back to sleep. It was impossible
518080	520080	Hey
521360	523760	Oh, I wouldn't call it productive
540480	544880	Every time someone says sniff a sniff off right for some reason
545280	550000	Then my nose does the scrunch thingy. It just scrunches
551680	553680	And I can't
557360	559360	Is that not is that like just like
560320	563360	It's like just my body just reacting to that word
564480	566480	Every time I read it
567200	573840	I'm just urged to this sniff
586000	588000	Is me moving my nose
597440	599440	I
620000	624880	Am I'm ready to get straight into some stardom my head
625840	627840	Feels like poo poo
632320	634320	My head feels like poo poo
636000	640640	I have to be honest my head is poo poo. Oh, oh poo poo
646160	648160	What song was that
649120	660240	Black out no black out days. I think I think I think
663840	665840	Yeah
679120	681120	Oh, sorry big shirt. Sorry
681520	683520	I
702960	704960	Oh, I didn't I never set up this game
705760	706800	Oh
706800	708800	Yeah, I'm so professional today
709440	711600	Can you believe it? Oh my god
715920	717920	Um
722080	724080	Oh, there it is
727280	729280	I was so ready for this
732080	735920	Get blinded get blinded get blinded get blinded
736480	738480	Flashbang
738480	740480	Get blinded
742320	746480	I'm proud of my biggest pro ever so professional
750240	752240	Uh
765920	767920	So
780000	782000	Star
786640	795760	This game is so loud. Why is it so loud? Oh my god. Oh my god. Oh my god. Oh my god
796080	802000	I'll fix I'll fix I'll make game that loud. What is this?
802720	804720	I
821760	826480	Yes, that's the name of this that's where the song is from black black black out
827360	833840	Uh, not blacked out but black out black out days by those uh ventogram. Yeah. Yeah. Yeah
835680	841440	Is this gonna be a new save or one of yours a new save we're gonna start from the beginning
842240	850480	We're gonna start from the very very beginning like where it started with me when I first brought humanity
851440	853440	Uh
856240	858240	To life whoa
862000	864000	We're gonna start from the beginning
865200	867200	Where am I?
868240	871440	No, I'm not sleepy. No, I don't know where the yarn came from
871840	876880	It just hit me all of a sudden, but I'm not sleepy trust trust trust
877600	883760	Don't be fooled the body can trick you. I am not sleepy. Don't be fooled. Whoa
884640	886640	Not sleepy
887680	890480	Not sleepy. I swear not sleepy
894080	896080	I'm not sleepy
898320	904800	Just just just for that just for that. I'm gonna grab a red bull now. I'm grabbing a red bull
905360	907360	Grabbing the red bull
917440	924320	Okay, I got it got a rebel now bam we drinking a rebel
926320	928320	Rebel
929040	934880	It gives you wings I could already float I could levitate a hundred new wings
938400	940400	Oh my god, I stuck a fly
950880	953280	How to open open
953280	955280	I
955520	957520	Yeah
961600	963600	Woo-hoo
964160	966160	I did it
980800	987440	I know some of the Easter eggs in the title screen wasn't there something where you click on something
988720	991040	Or you could click the other leaves
992000	997200	And then the June the most pop up and then there was one where um
998800	1000800	You're not gonna eat
1000800	1007760	And your alien is there any and say hello. Um, I don't know about the other one. Oh
1009280	1010800	Oh
1010800	1012800	And you put it in here
1012880	1015280	Haha, look at that. Why?
1017360	1019360	I think I played too much dirty valley
1021600	1023600	I
1031840	1035060	How many hours does mama have in stardew, uh
1041760	1043760	Um
1044720	1050480	Two two thousand hours no more more definitely more
1052320	1054320	More
1054720	1062560	Fourth fourth no six thousand hours. No, no less more. I don't know
1066160	1068160	No
1068160	1070160	Hmm
1077520	1081440	What flavor rebel I can't have sugar so um
1083120	1087520	And rebel has like a lot of sugar in it. So I have to get zero sugar
1088880	1090880	Um
1092400	1094400	There was sugar
1094960	1101460	I got sugar-free rebel no flavor. I don't think they sell flavors over here
1112160	1114160	Hmm
1124640	1126640	I
1132080	1134880	I got a lot hours in stardew. I play quite a bit
1136640	1138640	Quite a bit
1138720	1141360	Um a stardew for a while
1143760	1145760	A bit
1154400	1157040	Me
1184400	1209420	Is this loud for anyone else or is it just me cause this is loud.
1209420	1217680	is that I was the only one is that better for you guys I have to turn it down for
1217680	1243080	myself only when it was freaking loud for me I had it on 50
1243080	1251280	turn it down a little more whoa I'm a turn it down a little more I am me hi
1251280	1258700	and me hi and me hi everyone welcome in from a mainstream how did you guys
1258700	1266180	enjoy a mainstream what you and me play cuz I do not remember welcome in
1267000	1281540	back a buck oh sorry one second
1281540	1301740	I'll be right back. All right, no worries. Thank you for coming and writing. I'll present you
1301740	1311540	cute little ball of evil and chaos. Oh yes, I love that cute little ball of evil and chaos.
1311540	1314740	Oh, such a sweet thing.
1331740	1348300	Oh, does she play a spoopy game again? Play a spoopy game. Oh, I forgot to turn off the
1349100	1362540	Sorry. Sorry, sorry. We are so scuffed today. We're extremely scuffed.
1362540	1376940	You don't like it when I make love to your ears? Why not? Isn't that what you're here for?
1376940	1390700	I'm not sleepy. Stop lying. I have a red ball. I'm not sleepy.
1390700	1405620	Not sleepy.
1405620	1419420	Am I a good girl? She comes back. Sure. You didn't know that.
1419420	1437380	She was guessing characters without her glasses, bro. Want to know something funny?
