start	end	text
0	30000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
30000	60000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
60000	90000	ლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
90000	120000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
120000	150000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
150000	180000	ლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
180000	210000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
210580	212000	ვხლლდლლდლლ cod
213100	233060	ეყლრლურ ლს
233680	237680	ლნლრლბლდბლლსლლლ favorite
237680	241600	ბa ბe ბa ბa Ⴠ!ბa ბa- უბa
241600	243440	ბa ბa ბa ბaეთ
246220	249360	ᗑʔ ᗑᗄ ᗹ ᗱ� design ʁama</wᗼ highway
255220	257040	ᗑᗊᗻ ᗱᗹ ᗕᗕ ᗕᗠ
257040	259520	ᗔᗎᗁ ᗕᗜ ᗕᗜ ᗕ ᗕᗕ ᗕᗜ ᗕ ᗕᗕ
259520	262640	რრჰჰჰჰჰჰჰჱჰჰჺ჻იჴˆ
264640	266520	ჟჰჰჺჰჰჱ჻ე
266980	268260	ყჱჱჰჰ
268320	270040	შჱჰჱჰჰჰ ყ჻ჱჱჺჰძშ
270060	272680	Ⴤ� Momo
272680	274520	asonic
274520	276360	̕ Gotta
276360	278060	̕ relevant
278060	279840	უჼფწწ
279840	281600	ʠჰნჾჱ
281600	288240	fine and then all of a sudden i started streaming and it turns off and on and off
288240	296080	and on and off and on so i had to give my mom my mom had to come and help me to turn it back on
296080	300320	she's like all right we're gonna have to call them we have to call them and see what's going on
300880	307840	you can literally see it in the thingy and behind me the chat over there behind me you see
307840	314880	when it disconnects reconnects disconnects reconnects it was doing that the whole time
320400	326720	and then it would like be okay for like for for a little long while and then it would just break
327360	337440	all over again so she was like at two o'clock which was right when we were gonna start streaming
338080	345280	she she goes to me oh well they have to turn the internet off for 10 minutes to check the
345280	355440	connection to see why it's doing it 10 minutes so as i was like gone i couldn't start streaming
356320	359840	for the first 20 minutes because they had to check the internet
368800	374000	it was so chaotic it was like so much going on
387520	389200	that was a super fun club
390160	401280	i enjoyed it i'm sorry i'm not i was not very talkative joining in but yeah
402240	410080	being in a like a like a in a group it's a little harder to like talk over other people
410080	415760	i'm not the really type to do that so i tend to be a little more quieter when in when in a group
415760	416480	so i'm sorry
419120	426160	i'm not i'm not an extreme talkative person overall i must like i'm talking like right now
427600	433200	so i didn't i felt a little rude trying to talk over everyone
435520	436800	so i was a little quiet
445920	451280	yes i quietly vibe and group calls
456240	461680	besides the other girls are extremely energetic they have so much energy for you guys more than me
461680	462480	so that's okay
466320	471120	i'm just a weird little oddball so weird oddball that's all
471120	479760	wow welcome in welcome welcome thank you so much for the for the rare mercy
480480	484240	appreciate you thank you thank you welcome welcome
492320	498640	more passion more energy more energy more footwork more footwork
501520	517680	i just it's harder to draw with their mouse than it is with a pen trust i have to do it by best
520160	523120	it is extremely hard
523120	537120	i i i tried and it was all right i love you i love you mercy i love you
538240	539120	such a cutie
539440	557120	it's okay kind of like how relaxed you are oh thank you i appreciate that i appreciate that so much
558400	565680	i know i'm not the energetic energy like the other girls so i understand if you guys don't
565760	569680	find me as your jazz but i hope you find the other girls as your jazz
572320	577120	i'm just very more weird in other ways
577760	604080	i don't have a tablet i've been using my my ipad
604320	610480	this entire time you can't really connect it to anything so i don't have a tablet
610480	618560	before i was using a phone and then from then i was using um an ipad to draw
624320	628640	so i don't have a tablet always wanted one but no
634080	638640	um
640320	645680	uh does she know i chat's not connected yeah i knew and then i forgot about it and now i
645680	653680	remember it again thanks i literally copy pasted the link i was like why is this window open
654400	663040	that's why there you go i fixed it i completely forgot about it sorry i goldfish brand
664960	672800	you're perfect and beautiful you flatter me so now i think you're more perfect
674320	678880	and very beautiful gorgeous even
681280	685920	so more love to you mercy mercy
685920	691760	okay
700000	701760	yeah i'm gonna play more stars
703600	707840	we're doing early too so we're just gonna chat a little bit before but i'm definitely gonna
