start	end	text
0	30000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
30000	60000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
60000	90000	ლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
90000	120000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
120000	129100	today
129100	148500	now
148500	178500	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
178500	179500	̤$ Cg
179500	180400	̶B2
180400	181500	💃
181500	182720	😥
182720	183780	😲
183780	184780	😣
184780	185800	😣
185800	186480	😳
188480	190720	💾
191280	192420	💾
192660	193560	💾
193560	195300	💾
195300	197380	💾
197380	198400	💾
198400	200280	💾
200280	201500	💾
201500	202500	💾
202500	204080	💾
204080	206540	💾
206540	208140	💾
208140	210300	...as if then.
210300	215060	TRAVIS, අපengine, ඐ පුතිය ඞ අප හප cling, අර.
223100	226640	Umm uhm
226640	229800	hmm
229800	234000	ohh
234000	234840	hehe
234840	237420	lol
237420	239560	I useamat
239560	241560	inappropri priorit ores quickly
241560	242560	5
242560	243560	8
243560	244560	9
244560	245560	6
245560	246560	8
246560	247560	7
247560	248560	1
248560	249560	9
249560	250560	6
250560	251560	7
251560	252560	9
252560	253560	9
253560	254560	11
254560	255560	12
255560	256560	23
256560	257560	24
257560	258560	25
260560	261560	29
262560	263560	27
264560	267560	28
267560	268560	29
268560	275160	විවලඳසින්තිu
276560	279160	හැතැරාවන ක�be
279160	284660	වැenced prakt�න්ති,වුයිනචු ගැක දාදීමඳසිනු
285960	290640	මැ඲ල් මෙලන දෙන එමත එපාල,
290640	294000	ඔකඳහයිබ්, වුයින් the home Ellie 나가 Town වakap�ිටයුපු �ARAL.
294000	296000	araus ahon  balances
296000	298000	دة
301000	306000	శ్ర్ విర్0000 ప౿ కిన్పrière� మాప్టు ఆచాగు ROI Creation補充
306000	308160	ట్఍ గాక్డ సట్ మ Ank ఉపాక్త మాస్యకంటి నేము ట్ఝ�one Bridget
308160	318560	సథండిసప మ fragr likelyటర్సప్
318560	322560	букв�గ ͡°��相信 పె.
322560	335560	And since I've been so busy lately, I haven't really been like sleeping for that amount of time, I just realized my headphones weren't even on.
342560	347560	My body just needs more sleep than the normal person.
353560	362560	Oh, this is a little tight on my chest, hang on.
365560	370560	Oops, oops, okay, sorry.
370560	382560	My apologies.
382560	385560	I was doing a little stretch.
385560	391560	Okay, so is this okay?
391560	394560	How's my volume, everyone?
394560	396560	It's my volume, okay?
396560	404560	Am I peaking for anyone? Let me know so that I can fix that.
404560	407560	I don't want to pee.
407560	411560	Wow, it's good.
411560	413560	I am fine.
413560	415560	Alright, it sounds good.
415560	417560	I'm fine, it's good.
417560	423560	I don't trust you guys who have me on speaker.
423560	431560	How are the headphone folks doing?
431560	435560	You can't tell on speaker.
435560	448560	That's what you all told me you didn't notice it last time.
448560	451560	They seem better because you're here.
451560	457560	Thank you Lazy today.
457560	461560	You've been waiting for your Oshis dreams.
461560	467560	But your Oshis is here now.
467560	472560	If you mean me, that is.
482560	488560	Thank you.
488560	493560	Thank you.
493560	499560	Thank you.
499560	507560	Thank you.
507560	513560	Thank you.
513560	515560	I'm sorry.
515560	518560	Ayane is contagious.
518560	532560	Ayane is contagious.
532560	542560	I'm not epi, I'm not epi, I swear, I swear.
542560	545560	So I have my audio, it's good.
545560	550560	And TV audio, I speak your audio.
550560	560560	Everything's good, that's good.
560560	562560	I'm not beating and sleeping.
562560	565560	I know what you mean.
565560	581560	I know what you mean.
581560	589560	I don't want to say.
589560	601560	I know everyone was looking forward to the work out ASMRs.
601560	603560	So was I.
603560	612560	But I had to let you guys know that I did get a big, big warning.
612560	615560	The last true.
616560	627560	So we might not be able to work out ASMRs.
627560	637560	As we did it in the last stream.
637560	644560	We might have to make some huge adjustments or just do some normal ASMR.
644560	648560	So I hope you're all okay with that.
648560	652560	Until we're safe to do so.
652560	655560	Until we're safe to do otherwise.
674560	687560	Yeah, the naughty cookie really did it for us.
687560	690560	It was the biggest morning.
690560	701560	So now we gotta be extra, extra careful.
701560	712560	Just don't eat so horribly.
712560	714560	I don't think that's possible.
714560	716560	I think we should just play it safe.
716560	718560	I don't want to take any chances.
718560	730560	As either I toy with it and then I can hit really hard and then I can't stream for a long time.
730560	736560	Or we toy around it.
