start	end	text
0	30000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
30000	60000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
60000	90000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
90000	120000	ლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
120000	122000	Let's go to the main room!
134200	136200	Hello?
137920	141320	Hi? Well, can you hear me?
141820	149300	Hello...
150000	152460	He қa wwww
154120	156140	қa.
156620	159140	He қa.
162200	164160	қa.
165320	169100	қa.
171000	172820	қa.
173080	175140	He қa.
175300	176660	қa.
176820	178180	How қa are below to cue?
178180	208180	ვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვ�
208180	214460	ვვვვვვვვვვვვვვვ ვვვვ ვვვვ yanlışვვვვვვვვვვ🙑
214580	217900	ვვვვვ ვვვვვვვვვვვ flashes
217900	228060	ვვვვვੁა�多少 ვვვვვვვვვ
228060	235340	so today we're gonna be playing some super mark simulator so we're gonna be having a super
235340	249580	vibe stream today i like i like i like i'm like very uh very uh
252780	259980	i'm feeling like extremely in the needs of extra to vibe to relax i'm just a cozy streamer
259980	269980	all right and other people who are constantly asking me to like do this do that do this do that
271420	279340	be more be more this be more that and this is just just my vibes this is what i've always done
279980	286060	even before i was comfy vibes sorry hang on
296540	298620	microphone okay there we go
302140	306140	i have like so many people yelling at me who do that do that
306460	315500	but if you cannot if you if you choose not to be loyal then that is on you
317020	322860	you want mommy's love and attention and you want to be loyal to your goddess it's like
322860	332380	everyone forgets i'm a literal goddess voice cut out did it it's broken
332380	338300	no i think i just stopped talking because i was fixing my microphone
342060	346940	yeah literal goddess come on do it please
351100	357020	why should i have to prove myself to you you should already want me you should already need me
357420	362780	you should already be obsessed
368220	372380	what do i have to prove you love me
377740	381900	are you using your a some harm like i'm not i don't sound like i am
382380	389900	do you only hear me in one ear how's my audio everyone
392860	401100	for the tv people headphone people and the um speaker people how's my audio
412060	418220	it's not about just being demanding so needy
421020	425260	babies are so needy humans are so needy
429900	437100	never understand humans to the fullest you guys do everything on your own
442700	455100	we're not needy you're needy
455340	468300	um
471980	478060	audio solid sounds good speaker present here speaker present audio good
478060	487580	you know voices just so smooth sounds like asmr when i use my asmr mic um my asmr the
487580	499580	the video the 3o uh it it sounds like uh it sounds so bad for me i gotta figure out what i'm doing wrong
500780	507980	when it comes to whoa that was just fine why am i on aim i swear every time i start stream it's like
509020	513260	it's like a trigger i suddenly get sleepy
519660	525020	i don't need to forget you're an immortal we have health issues up to a zoo just
526300	532780	hey i've had these health issues since i was literally born i'm fine when i was born i was a
532780	541180	premature all right i was ipsy tiny all right i was pre premature
544060	549580	these health issues are not new i'm used to it this is my way of life my way of living
552060	557020	i'm a little sensitive fertility goddess all right i'm a little sensitive that's all that matters
557420	562940	it's a little it's a pretty teeny baby it's in your tail but go does
564460	574940	i don't think that you can take me on human just because i said that
575100	580860	um
585340	592940	oh welcome back and welcome in everyone that's here that's it yes i am what have you not seen
592940	598860	my debut i recommend watching it i don't the audio is so messed up
599740	606540	hey you want crap audio just watch my debut i'm so embarrassed
608620	615500	i don't know what audio was messed up i like reset i like fixed all my settings and everything
616060	621660	i fixed all my settings and then when i started stream it wasn't the same
621660	629980	audio settings that i had set everything got reset my obs turned off and closed right before i had
629980	635900	started a view i reopened everything but i never double checked to see if my audios got reset
635900	642460	my settings got reset so my settings were almost stopped before debut unfortunate
652380	653660	i
658540	660540	debut rewatch for the donathan
662700	668460	that maybe yeah yeah oh no please i don't want to
682620	685260	i thought about it in my brain tingled
696220	701580	retail therapy we're gonna be getting into the game very soon don't worry i'd like to
701580	710780	chat it up with you guys first before we start the game you get to know some new people
710780	718940	and new folks that just join in or uh have them get to know me and then say good morning
718940	725820	good afternoon good evening ask you if my baby's ate then any of you eat food today what did you eat
728620	731900	ah and yes happy father's day
732300	732460	hey
737180	739260	how are my dad has동
739260	769260	ლლლ ლლლლლლლალლლლალბლლლ ლლლვლლდერეhatლლაებიზელოეოვებ჊ლთევვბვეებლ჌გეიგეებდეივეევი�
769260	771260	den akha id infantry
771260	771960	нь
771960	774600	jours
783640	787500	ven temml vis
787840	789200	fuel
789200	791160	mo …
791160	792400	nina  division
792400	793100	as well シルク
793100	793920	ochange атели
793920	794620	n​ha  manera h عليه maen-
