start	end	text
0	30000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
30000	60000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
60000	66060	road
66060	69860	is
69860	75860	is
75860	79720	o
79720	82780	e
82780	85560	have
85960	87500	ᗿ៩Ả ᗿ�sol ᗜ៣៛ ដ៛� STUDENT PRAitt
87740	88400	�懑៌ៜ៘
91640	111680	ᗿ៩៩្なんか
113560	114500	ᗿ unda January
114500	115520	ᗿ headline
115560	127560	We might do some like Q&A and then some like would you rather questions or like will you press the button questions or just maybe we'll just tell each other really bad pickup lines there.
128560	130560	Try to raise each other up.
132560	135560	We spent like what was it like the first.
135560	136560	It was like an hour.
136560	137560	It was a legit hour.
137560	141560	Yeah like an hour trying to make this work and I'm so sorry everyone that it didn't work out.
141560	146560	Literally Ubisoft said you don't own Uno and I said what do you mean it's right here.
146560	156560	Yeah I purchased it and did like family sharing from our other accounts and then to let me had to buy it on our normal accounts and that still didn't work.
156560	163560	Only it only worked for me and Emmy and Azura and then it just wouldn't open and then it just nothing was working.
163560	164560	It was so dumb.
164560	166560	It was press play and then just close it out again.
166560	168560	Press play, close it out again.
168560	169560	Crash.
170560	173560	So I hate Ubisoft.
173560	174560	We all hate Ubisoft.
174560	175560	We all hate Ubisoft.
175560	177560	We all hate Ubisoft in this house.
180560	182560	That's why my thumbnail is annoying.
183560	184560	We paid twice.
184560	187560	We paid twice and it still didn't work.
188560	189560	They're just trying to steal our money.
189560	192560	I can't wait to refund every game title from them.
194560	197560	Sending the CEO a personalized letter.
197560	199560	Sending the CEO a seasoned assist.
199560	201560	It doesn't make any sense but I'm doing it.
204560	216560	But yeah if you guys have questions for us let's do, we'll do a couple of would you, will you press the button questions and then you guys can come up with questions and post them in our respective chats.
217560	220560	And then maybe we'll read like one from each of our chats.
220560	223560	The questions are going to be like did you guys have sex in real life yet?
224560	227560	When are you going to have sex in real life?
228560	229560	Not yet.
229560	230560	With each other?
230560	231560	Soon.
232560	233560	Very soon.
234560	238560	But yeah that will give you some time to think of questions to ask us.
239560	240560	Let's see.
241560	243560	Let me find a good will you.
244560	247560	I'm wondering if I should do this one.
247560	252560	I don't think we want to be based right off the bat.
253560	254560	I do!
254560	259560	I'm going to send you guys a screenshot of the question it just asked.
262560	263560	I'm dying.
264560	265560	Oh god here you go.
266560	267560	What is the screenshot?
268560	269560	It's in general.
271560	272560	Oh shit.
273560	274560	Maybe not that close.
274560	275560	I'm not American I don't care.
278560	280560	Maybe not that one.
281560	282560	Maybe not that one.
282560	283560	I'm not American but.
285560	287560	Some Americans might get triggered.
288560	291560	A lot of people said no to that question.
291560	293560	They wouldn't pass the point which is funny.
296560	297560	This one doesn't make any sense.
298560	299560	What though?
299560	300560	I don't like these.
302560	306560	You will become an extremely attractive girl but no guys will find you attractive.
306560	307560	That doesn't make any fucking sense.
307560	308560	What?
308560	309560	It makes sense.
309560	310560	I would be extremely attractive.
313560	315560	I'm already an extremely attractive girl.
316560	317560	What's there to lose?
319560	320560	Oh okay here you go.
321560	322560	Will you press the button?
323560	326560	If you could change the weather at will.
327560	329560	But the weather you choose lasts for a month.
331560	332560	Yes.
333560	334560	Mercy was that a no for me?
334560	335560	That was a no for me.
336560	337560	Okay.
337560	338560	Was there a no life?
339560	340560	It's crazy.
340560	341560	It's changed at will?
342560	344560	Yeah you can change the weather at will.
344560	346560	But the weather you choose lasts for a month.
348560	350560	Oh I will not press the button.
352560	355560	I think I just like rain a lot and I don't want to terrain for a month though.
356560	357560	Oh I do.
358560	359560	You would?
359560	360560	I do want to terrain for a month.
360560	361560	I would just be emo.
361560	363560	I thought you meant like season.
363560	364560	I don't know why.
364560	366560	I thought it was the season.
366560	367560	Weather.
369560	372560	No I don't want it to last a month.
372560	374560	I think that would be too much.
374560	376560	People said they would press the button for that.
377560	378560	Yeah it's a weather.
378560	379560	Yeah it ran.
379560	381560	Because they probably be like oh I want it to be sunny.
382560	383560	No I want it.
383560	384560	I want the opposite.
385560	386560	Fuck the sun dude.
386560	387560	I mean I got a basement.
388560	389560	And all the senpais are there.
389560	391560	They'll all drown if there's too much rain.
392560	393560	But a month is so long.
394560	396560	Yeah you could have given floods.
396560	397560	Yeah depends where people are.
398560	399560	Okay here's the next one.
400560	403560	You can revive and keep loved ones from dying.
404560	407560	But every time you use your powers 50,000 people will die.
410560	411560	I think it's a good idea.
411560	412560	For my big brother yes.
414560	415560	I'm pressing it.
419560	420560	I'm conflicted.
421560	424560	Because I would just kill a senpai.
425560	426560	If I even suspect anything.
