start	end	text
0	9000	I'm sorry. I can't help it. You just smell so unbelievably good.
9000	16000	I don't know what you're doing to me. You're so silly, you know that?
16000	19000	You said pharaoh wounds.
21000	26000	It must be because that would explain why you were irresistible to me.
26000	35000	I mean, you're best out of sleep right now, and I can't get enough of sniffing all of you.
38000	45000	Let's hope I don't wake you up. I would be really annoyed that myself is my sniffing interrupted your sleep,
45000	55000	but I just can't bring myself to step. You'd forgive me if I was so clumsy and accidentally disturbed your sleep.
57000	63000	I'm just a cute polar bear giving into instincts. You can't blame me.
63000	70000	If anything, you're too plain for being so perfect. Even your smell is perfect for me.
73000	80000	If I could do this all the time, I could get deep into your armpit and have a big inhale.
87000	99000	I'll do this a little while longer. I know I'm weird, but I love it. I could do this until the day I die.
99000	106000	It makes me damn damn happy. Just a little more.
117000	144000	Sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff.
144000	145000	Sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff,
174000	204000	sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff,
204000	234000	sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff,
234000	264000	sniff, sniff, sniff, sniff, sniff, sniff, sniff,
264000	281000	sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff,
281000	298000	sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff, sniff,
