start	end	text
0	30000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
30000	60000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
60000	90000	ლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
90000	120000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
120000	122000	🤩
122000	124000	🤩
124000	126000	🤩
126000	128000	🤩
128000	130000	🤩
130000	132000	🤩
132000	134000	🤩
134000	136000	🤩
136000	138000	🤩
138000	140000	🤩
140000	142000	🤩
142000	144000	🤩
146000	148000	🤩
148000	150000	🤩
150000	152000	🤩
152000	154000	🤩
154000	156000	🤩
168000	170000	🤩
172000	174000	🤩
174000	176000	🤩
176000	206000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
206000	236000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
236000	266000	ʃლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
266000	296000	ʃლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
296000	326000	ʃლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
326000	355500	Hello! Welcome in! Hi, hi, hi. I missed you so much.
355500	361960	වවේ්ි 지나 so happy we get to spend time together again today to say ස්ීම Lots of love
373960	377200	ෙ රොත්ි ම�lieප මිවීම I hope you are doing well.
378000	381340	ස පුනඩිඳිා දි වරැළඩින් my best conquest
381340	387440	bres tussen  1962
392680	398500	avors ව ආනතතග් වොඩ඲ ඝෘට හශරමඩය නසු
398940	402100	ඇතත්içãoni හා එය
402500	407500	ජලබ් කථඅ ගල නශතaser ගරගණ Purd� මප් hour
407500	415940	Okay, I'm gonna end the stream then, if you didn't miss me, if you don't want my attention, I will end the stream right now.
438300	452400	I'm glad you miss me, that makes me happy, because I'm bucketsrill, but you already know that so.
452400	482400	ვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვ�
482400	490400	It's really nice and excitement and lots and lots of good feelings.
498400	502400	The mom stream man's always wants to see you again.
504400	506400	That's really sweet.
506400	512400	When I end the stream, I miss you too, to be honest.
512400	522400	That's why I don't know you have so much on Twitter because I miss you.
537400	540400	I want to give you some kisses.
542400	545400	I miss you so much.
567400	569400	I miss you so much.
569400	571400	I miss you so much.
571400	573400	I miss you so much.
595400	599400	It's nice to get up from work and calm down with your ASMR.
600400	601400	Thank you.
601400	605400	I'm glad I can calm you down and get you all relaxed.
607400	609400	I love your kisses.
610400	614400	I love giving those kisses to you.
615400	618400	That works perfectly, doesn't it?
630400	636400	I think I'm gonna melt her a mystery before they can start his day, but that's okay.
636400	638400	I'll be a bottle full for my cup.
638400	656400	I mean, this is kind of embarrassing, but to be honest, I felt like a bottle the whole day today.
657400	674400	It's like I read your messages and you know, some of the other snappies sent me and it makes me feel a lot of feelings and stuff.
677400	683400	So I've been kind of like a bottle that's been feeling like butterflies all day.
684400	686400	I didn't make a bottle.
686400	696400	I mean, I kind of did, but that's embarrassing.
707400	710400	I hope you are too overwhelmed.
714400	723400	I'm definitely overwhelmed, but I don't think it's gotten to a bad point.
723400	725400	Does that make sense?
726400	731400	It's overwhelmed, but in a good way, you know, overwhelmed.
734400	736400	How would I describe it?
737400	742400	Basically overflowing with happiness and good feelings.
744400	749400	So I'm not like feeling bad.
752400	754400	So it's all okay.
762400	765400	The strong feelings can be overwhelming.
765400	773400	Yeah, especially when you're like me, someone who feels their emotions extra strong.
775400	780400	And it's like just like a whole wave taking a hold of me.
781400	795400	Overflowing with our love and loving.
798400	799400	Yes.
800400	801400	Very true.
802400	809400	I know you're strong, got emptied out, people really love you.
809400	817400	Yeah, I still don't know what I did to deserve it, to be honest.
817400	823400	Like when it happened, I thought I was like half asleep or something.
824400	832400	It was just, I was like, I don't know, it's like really nice.
832400	847400	But at the same time, I feel like a little bad because I feel like super spoiled and like I really didn't do all the much to deserve it or anything like that.
