start	end	text
0	2000	1.5g granulated sugar
2000	4000	1.5g salt
4000	6000	1.5g sugar
6000	8000	1.5g salt
8000	10000	1.5g sugar
10000	12000	1.5g salt
12000	14000	1.5g sugar
14000	16000	1.5g salt
16000	18000	1.5g sugar
18000	20000	1.5g salt
20000	22000	1.5g sugar
22000	24000	1.5g salt
24000	26000	1.5g sugar
26000	28000	1.5g salt
28000	30000	1.5g salt
30000	32000	1.5g granulated sugar
32000	34000	1.5g sugar
34000	36000	1.5g sugar
36000	38000	1.5g salt
38000	40000	1.5g sugar
40000	42000	1.5g sugar
42000	44000	1.5g salt
44000	46000	1.5g sugar
46000	48000	1.5g dark chocolate
48800	50800	1.5g sour cream
50800	52800	1.5g sugar
52800	54800	1.5g black wine
54800	56800	1.5g fascinating blue
56800	86800	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
86800	116800	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
116800	146800	ʰლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
146800	176800	ʰლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
176800	206800	ʰლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
206800	236800	ʰლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
236800	266800	ʰლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
266800	296800	ʰლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
296800	326800	ʰლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
326800	356800	ʰლლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
356920	361120	Your Erfang
361140	363720	March
366640	370260	Hello, can you hear me?
370460	379540	Please let me know if I am too quiet or too long, please.
379540	383920	COBRA!
409540	411540	KIRÌK ivesseikke e kmä zupełnie Mhha ensitive
411540	415540	ఇvidemment అికి ఇొ� coefficient still చి నోపా. సహి నీటా.
415540	417540	ఎదకా  І kart to disappears to the place if the microphone be in నికౚ థారడ్ం౎.
417540	420380	baosi ni Phew
420380	422740	4
422740	424900	4
424900	426680	4
426680	428280	4
433720	435340	4
435340	436760	4
438760	442140	4
442140	445180	protective
445180	447440	bild
447440	477440	I'll do my best, but yeah, very nervous to say the least, I am not used to using this version also as a radio so setting it up is going to be something to figure out if I am ever
477440	485440	to quiet place let me know so I can try and fix that
507440	517440	Hi, my snow fairy is doing today. Have you had a good day?
517440	542440	Now I see you sound great, okay okay okay, I guess I'll trust you and if for some reason it is to quiet, I can always try and make myself louder next ASMR stream
547440	560440	How long are you planning to be live for today? Probably the usual 2 hours I think
577440	596440	I don't have too many triggers at the moment, so we are just gonna have to make do with what we've got
597440	605440	Which is not much, but hopefully good enough for all the snow fairies in here
606440	624440	I came live just the day from my lunch break, well hopefully you don't fall asleep on your lunch break, that wouldn't be good, wouldn't?
624440	644440	You're talking this amazing ASMR, really? Thank you, I'm very flattered
645440	651440	This is suddenly popping sounds
661440	667440	If you're gonna tap with nails on things you have infinite triggers, that is true
674440	700440	I woke up for this, but I'm about to fall asleep again this way this day
700440	713440	See, I don't blame you sometimes, I watch ASMR in the morning when I wake up and then I'm like okay, going back to sleep, goodnight
713440	733440	It's been so long since I've done ASMR, I feel like an opal of weekend
734440	749440	In advance, I apologize for any background sounds, you will hear this apartment is very bad for 3DO havers like me
756440	760440	I'm feeling better already
761440	773440	The background noise makes it more cozy, maybe for now, but sometimes you will hear stuff like motorcycles or people talking
773440	777440	That's when it gets kind of annoying
791440	808440	As nervous as he may be about it, all I see manage to soothe us instantly
808440	817440	The first head of your whisper was like magic, yay, I'm glad to hear that, thank you
820440	822440	ASMR
838440	849440	No, there will be no pieces of ASMR, I'm not trying to get in trouble
850440	859440	I want to try to keep it comfy and cozy
859440	868440	I don't think a busy is comfy or cozy
868440	876440	I don't know if it's just not the way that I see it, that's for some other stuff
877440	882440	Good idea for a pageant, I don't know about that
882440	891440	I feel like they're probably against it, to be honest, they have so many rules
907440	919440	I will never do that, I'm not going to do that on the microphone, I'm not trying to break out the stupid book
919440	921440	Book
929440	933440	Can we request triggers normally?
933440	940440	Some days I would say yes, but since right now, I don't have a lot of triggers
941440	953440	You're just going to have to enjoy what I have to offer for now, until I can buy some more
953440	964440	I'm not sure what it is with ear licking, I think if you do ear licking, but you don't breathe
964440	974440	I'm not sure what it is with ear licking, I think if you do ear licking, but you don't breathe, then it's supposed to be okay
974440	984440	But if you do ear licks and you breathe, then it's some bad thing
985440	994440	Am I supposed to just die and not breathe when I do ASMR with the egg?
994440	997440	Can the heart beat?
997440	1005440	Yeah, yeah, yeah, I was actually planning on doing it
1006440	1012440	I'm nervous, don't judge my heart beat, please
1012440	1015440	Please don't, thank you
1035440	1046440	Oh god, I'm nervous, I'm nervous
1056440	1062440	Hopefully you can hear my heartbeat, okay?
1062440	1067440	Okay, I'm not wearing a shirt, so there should be no sad break
1067440	1072440	Blood ginkgo cheese on from hearing my heartbeat
1080440	1083440	Can you hear my heart?
1092440	1121440	I can hear it a little bit, sorry
1123440	1133440	Oh god, you probably hear that from outside, I know
1133440	1154440	I don't know why I'm so nervous
1154440	1163440	I guess because when I do ASMR, I want it to be as good and nice as possible
1163440	1174440	So basically every small sound I start over thinking, get worried
1174440	1179440	That it's gonna be bad
1214440	1219440	I think we're really great, I see, don't worry, thank you
1230440	1235440	If you burp really loudly when a car drives by, we won't notice
1235440	1241440	I don't want to burp, I prefer not to
1245440	1249440	I try to avoid doing that
1249440	1256440	That's why sometimes you hear me hiccup instead or a crackle or something
1256440	1282440	I was sitting in a weird position, so my leg is like
1282440	1288440	kind of uncomfortable, so I needed to stretch
1288440	1293440	Will this stream be available afterwards?
1293440	1301440	I generally don't know, I generally don't know up to YouTube
1304440	1310440	I see your heart was trying to beat faster, it's because I'm nervous
1313440	1318440	I don't know, I don't know
1318440	1323440	I don't know
1323440	1328440	I don't know
1328440	1333440	I don't know
1333440	1338440	I don't know
1338440	1354440	I wonder what YouTube's stance on your biting
1354440	1360440	I was thinking it would be cute if I bit your ears
1360440	1366440	Because I don't know if you remember, but I like to bite sometimes
1390440	1395440	I don't know
1395440	1400440	I don't know
1400440	1405440	I don't know
1405440	1410440	I don't know
1410440	1415440	I don't know
1415440	1419440	I don't know
1419440	1423440	I don't know
1423440	1427440	I don't know
1441440	1445440	I don't know
1445440	1448440	I don't know
1448440	1452440	I don't know
1452440	1456440	I don't know
1456440	1460440	I don't know
1460440	1464440	I don't know
1468440	1472440	It's very fun to nibble on your ears
1472440	1475440	Oh no, the motorcycle's gone
1475440	1479440	Oh no, I'm sorry
1483440	1487440	Yum, yum, yum, yum, yum
1492440	1494440	Flamm, flamm
1494440	1496440	Flamm, flamm
1506440	1509440	Flamm, flamm
1509440	1513440	Flamm, flamm
1513440	1517440	Flamm, flamm, flamm
1517440	1520440	Flamm, flamm, flamm
1520440	1522440	anytime
1550440	1580440	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
1580440	1586440	Let's do some finger fluttering sounds.
1610440	1614440	Let's do some finger fluttering sounds.
1641440	1643440	Oh, gosh.
1643440	1646440	A暗 ton of dogs. Shut up.
1646440	1650440	Oh, stupid dogs. Shut up.
1653440	1655440	Please.
1655440	1658440	ASMR ruined.
1658440	1660440	Life is over.
1664440	1667440	I'm so sorry about that.
1667440	1669440	I'm sorry. I'm sorry.
1670440	1672440	I'm sorry.
1681440	1684440	I can mute if you would like me to.
1684440	1688440	By the way, should I mute?
1688440	1690440	Should I mute?
1701440	1703440	No muting allowed.
1703440	1705440	Why not?
1726440	1729440	Can you whisper singing your favorite song?
1729440	1731440	Umm...
1735440	1740440	I can't even think of a favorite song right now, to be honest with you.
1742440	1745440	I like your voice. Thank you, I'm glad.
1747440	1750440	Dog got a bit too excited.
1759440	1761440	I'm sorry.
1777440	1779440	I know what I could do.
1780440	1785440	I remember I wanted to give you a hug.
1785440	1787440	Come here.
1787440	1789440	Let me give you a hug.
1791440	1797440	I'll tell you thank you for working so hard and supporting me, okay?
1798440	1800440	Come here.
1801440	1803440	Come here.
1816440	1819440	Hug, hug, hug, hug.
1820440	1824440	Hug, hug, hug, hug.
1828440	1832440	Maybe I can give some hugs to you, I don't know.
1833440	1835440	It depends.
1836440	1838440	And if you like my hugs.
1846440	1848440	Hug.
1861440	1865440	Good, good, good!
1866440	1870440	Good, good, good!
1870440	1871440	よし
1872840	1876840	よし,よし,よし
1879440	1883440	よし,よし,よし
1900840	1901840	shh
1912840	1915840	it's just on your tapping
1916840	1919840	tapping on your ears
1930840	1933840	I feel like
1933840	1935840	I feel like a big ASMR noob
1935840	1937840	I used to
1937840	1941840	have so many different triggers and
1941840	1943840	I feel like
1943840	1945840	I can't have nothing
1949840	1950840	sound like
1950840	1952840	okay, let's do
1960840	1961840	shh
1967840	1970840	your voice is the best trigger
1970840	1972840	I don't know about that
1972840	1974840	but thank you
1979840	1981840	I see as the trigger
1983840	1985840	I don't know, I don't know
1986840	1988840	I don't know, I don't know
1989240	1991240	plub, plub, plub, plub, plub
1991240	1994240	plub, plub, plub, plub, plub, plub, plub
