start	end	text
0	2060	you
30000	45160	cussing
45160	49220	music
49220	50220	music
50220	51220	music
51280	53060	please
53060	54100	music
54180	56180	music
56180	58680	music
58680	60680	You
88680	90680	You
118680	120680	You
148680	150680	You
178680	180680	You
208680	210680	You
238680	240680	You
268680	270680	You
298680	300680	You
328680	330680	You
358680	360680	You
388680	390680	You
412680	416680	Hello my sweet snowberries. Hi.
416680	420680	Hello. Hello.
428680	434680	I hope that you are doing well today.
436680	442680	I have a bit of problems with my throat.
442680	464680	So if I don't speak as much as I usually do during my ASMR streams, that's why then on top of that I also have a migraine as well.
464680	474680	I take some painkillers before the stream but they still didn't kick in yet.
474680	484680	So sorry in advance if I'm not at my best performance today.
484680	488680	I hope you can understand.
494680	506680	Feel free to end stream really if it's too much. Yeah I will but for now I'm completely okay.
506680	512680	I miss you a lot and I really want to spend some time together.
524680	526680	Thank you.
554680	578680	So yesterday, as some of you know, I kind of had a day for disconnecting from you.
578680	588680	From what I do and from breathing anything and from social media etc.
588680	594680	And I'll be honest, it was so fucking difficult.
594680	598680	It was like really really difficult.
598680	606680	I legitimately felt like a physical feeling in my chest.
606680	622680	My chest felt really tight the whole day because I kept wanting to read everything and respond to things and all of that.
622680	630680	So it was really more difficult than I thought it would be.
630680	644680	And that's kind of scary because it literally felt like how people describe it when you're addicted to something.
644680	656680	And then you try to stop doing it and you just have the strongest urges to do it.
656680	668680	And you have to basically restrain yourself and it takes so much control and effort to do that.
668680	676680	With that being said, I don't think you realized actually what happened yesterday.
676680	680680	Yes, I did disconnect from everything.
680680	694680	However, I actually ended up not going outside because I was so sleepy and tired
694680	700680	that I ended up just like sleeping pretty much the whole day.
700680	704680	So basically what happened is I woke up.
704680	714680	I was awake for like a little bit, got sleepy, went back to sleep, woke up again.
714680	724680	I had lunch, watched some videos, felt sleepy again, went back to sleep again until like 6pm.
724680	728680	Like no joke, I woke up at like 6pm.
728680	734680	I was so sleepy, like really really sleepy.
734680	740680	And so when I woke up at like 6pm I was like fuck, I'm so tired.
740680	748680	Like I really really don't want to go anywhere.
748680	756680	So I just, yeah, yesterday was just me just sleeping pretty much.
756680	762680	I didn't go outside.
762680	774680	But I actually did go outside today because I still wanted to go outside like I promised myself.
774680	784680	So I did go outside and I just walked around and just breathed some nice fresh air.
784680	786680	The weather was really nice.
786680	792680	It was like warm but not overbearing, you know.
792680	796680	There was like a nice wind.
796680	804680	And actually in the middle of it it started raining really hard, like out of nowhere.
804680	812680	And everyone was like surprised because on the weather forecast it was not supposed to rain today.
812680	814680	But it did.
814680	820680	But it was really refreshing because I could smell, you know, that good scent of the rain.
820680	830680	So it was like, but fresh rain, scent.
830680	838680	It was extremely nice and refreshing.
