start	end	text
0	30000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
30000	60000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
60000	90000	ლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
90000	120000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
120000	150000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
150000	152000	🤩
152000	154000	🤩
154000	156000	🤩
156000	158000	🤩
158000	160000	🤩
160000	162000	🤩
162000	164000	🤩
164000	166000	🤩
166000	168000	🤩
168000	170000	🤩
170000	172000	🤩
172000	174000	🤩
176000	178000	🤩
178000	180000	🤩
180000	182000	🤩
182000	184000	🤩
184000	186000	🤩
188000	190000	🤩
192000	194000	🤩
194000	196000	🤩
198000	200000	🤩
200000	202000	🤩
202000	204000	🤩
204000	206000	🥧
206000	236000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
236000	266000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
266000	295000	Hello everyone! How are you guys doing? Hello! Hello to all the Snow Berries! Welcome! Welcome! Hi!
296000	316000	Okay, can I just be honest, like, even though it's past debut, I'm still feeling pretty nervous right now, so I'm sorry in advance if I'm still going to be a bit awkward and stuff.
317000	332000	It will take me a few streams to kind of get the hold of stuff and, you know, get completely fully comfy, so I hope that's understandable with you guys.
332000	358000	But thank you so much for showing to my 2.0 debut stream. For those who don't know what a 2.0 stream basically, most debuts these days usually don't have enough time for you to really introduce yourself fully.
358000	379000	Actually, we have limited time and yeah, I only had 30 minutes and well, everyone did. Sorry, I don't know why but I'm so nervous. I'm so nervous. I don't know, I'm so nervous.
380000	396000	I feel like I'm even more nervous than during the debut, honestly. I don't know why. I think it's because now that the debut is over, I'm like, I can actually read the chat and see what you guys are saying.
397000	411000	So it's like trying to read everything and trying to like settle in and stuff, so I'm sorry if I'm even more awkward than I was yesterday.
412000	420000	Maybe you should chill out. You know, maybe I should. Maybe I should try doing that.
420000	435000	I'll ban anyone trying to be mean. Oh, Amy, you're so sweet. Thank you. Yeah, be careful. Amy is here. She has lots of tricks up her sleeve because of her magic book, so make sure you behave.
436000	441000	Alright, there's...
441000	456000	There's just so many things to talk about that I don't even know where to even begin. Like, I'll be honest. I feel like I...
457000	463000	Okay, so there were two slides yesterday that I didn't show during my debut because I didn't have time for them.
463000	479000	And one of them was actually my interest on hobbies. To be honest, I have more interests than what's shown on the slide, but I can't think of them right now because I'm feeling pretty brain dead.
480000	492000	I took a nap before the stream. I was just so sleepy. I woke up kind of early, but it wasn't enough. I went to sleep around...
493000	508000	I think I went to sleep around 1 or 2 a.m. yesterday, so I was really, really tired. Very, very sleepy. I was so out of it.
509000	519000	That's why I was also wheezing non-stop at the group collab because my brain just dies when I get extremely sleepy.
519000	533000	And I just start being extra dumb and silly, and it just results in me sometimes just laughing for no reason.
534000	543000	Do you have a brain freeze? I do, actually. So if I go non-verbal or I go...
546000	557000	That's why. Because I am still nervous and I'm still kind of like... I need to shake off all those feelings.
558000	564000	The wheezes were cute. Thank you. I'm glad you think so.
564000	576000	I was scared. I didn't want to be rude because Strani was talking and then Azora was going to talk about her stuff.
576000	582000	And I tried so hard not to laugh. And my body just kept laughing and laughing.
582000	588000	And I could not stop. It was so hard to physically stop my body from laughing.
588000	593000	And I just couldn't. So it was wrong.
594000	598000	How are you, Cobb? I'm doing pretty good.
599000	605000	I feel like I need to take a deep breath and slowly relax.
605000	615000	I feel like every time I talk right now, I'm overthinking every single thing that I'm saying right now to the point where I'm saying something.
615000	622000	And at the same time in my brain, I'm like, oh no, what the fuck are you saying? Oh no, you sound so stupid.
622000	628000	Oh no, shut up. Oh no, this and that. And I'm trying so hard to make my brain stop.
628000	636000	I'm really overwhelmed. So it will take me a few strings before I can get the groove of things.
636000	645000	So I apologize in advance if I'm really all over the place.
645000	652000	No, I sound so cute right now. Thank you, Yumi. I appreciate it.
653000	660000	Okay, well, I guess let's get started. Before we get started though.
660000	668000	On yesterday's debut, I realized that I didn't really show off my full body.
668000	675000	So I'm kind of wondering if I should do that right now. Would you guys like me to start with that?
