start	end	text
0	30000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
30000	32000	💖
32000	34000	💖
34000	36000	💖
36000	38000	💖
38000	40000	💖
40000	42000	💖
42000	44000	💖
44000	46000	💖
46000	48000	💖
48000	50000	💖
50000	52000	💖
52000	54000	💖
54000	56000	💖
56000	58000	💖
58000	60000	💖
60000	62000	💖
62000	64000	💖
64000	66000	💖
66000	68000	💖
68000	70000	💖
70000	72000	💖
72000	74000	💖
74000	76000	💖
78000	80000	💖
80000	82000	💖
82000	84000	💖
84000	86000	💖
86000	116000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
116000	146000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
146000	148000	💖
148000	150000	💖
150000	152000	💖
152000	154000	💖
154000	156000	💖
156000	158000	💖
158000	160000	💖
160000	162000	💖
162000	164000	💖
164000	166000	💖
166000	168000	💖
168000	170000	💖
170000	172000	💖
172000	174000	💖
174000	176000	💖
176000	178000	💖
178000	180000	💖
180000	182000	💖
182000	184000	💖
184000	186000	💖
186000	188000	💖
188000	190000	💖
190000	192000	💖
192080	194080	💖
194080	196080	💖
196080	198000	💖
198000	200000	💖
200000	202000	💖
202000	232000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
232000	237780	ლლლლლლლლლლლლლლლ˚აˀ
238880	250460	-"��…"
250460	254500	ḍᴄᴏᵃ ḍᴄᵈ
254620	257460	ḍᴄᵃ
262000	263740	ḍᴄᵃᵃ00ᵃ
263960	265900	Ḅᴕᴝ Ḙᴕᴣ
265900	267300	Ḙᴝᴄ Ḙᴗᴄᵈ
267300	269020	Ḷᴟᴄ Ple
269020	270560	Ḥᴤᴀ
271060	272420	ᴜᴛᴛ
