start	end	text
0	4000	Okay, okay, okay, okay, okay, okay, okay, okay, okay.
8000	10000	What?
14000	16000	Oh, I don't know.
30000	32000	What?
44000	46000	What is happening?
48000	52000	I'm live right now. I'm live. I'm live too.
53000	55000	What are we even doing?
58000	61000	Oh God, what a disaster.
61000	63000	What?
85000	87000	Blah blah blah blah blah.
91000	97000	What? We're live! We're live in me!
102000	106000	She's like, fuck this stream. I'm gonna go make some tea.
111000	113000	What a disaster.
115000	117000	Oh my God.
121000	123000	What?
132000	140000	Power washer, if you haven't played the entire campaign, it doesn't allow you to have six persons in your lobby.
140000	150000	And I'm the only one with a finished save file and it was too late to like ship all the like code and information to like send on on your stream.
151000	158000	And so basically she be rescued. She be was like, right, I'll set this one out. You guys just do it.
158000	161000	And we're like, no, we can't do it. The whole point of this is that we're all together in this.
161000	168000	So then we're like, right, who's got Gmod, right? I don't have it, right? Who's got Raph, right? I don't have it, right? Who's got this game? I don't have it.
168000	170000	I was trying my best.
170000	176000	She was like going through the list. She was flicking them pages like next page, next page, next game, next game.
177000	179000	Okay, that won't work.
179000	181000	Okay, sure.
181000	186000	All right, we'll do Jack Fox. And then wait, that requires us to screen record this court.
186000	189000	I'm like, we can't have that. We see every just things in the discord.
189000	192000	We don't even have a HR department. So we can't share.
192000	199000	So then, um, garlic phone, which I've never played before is coming in clutch right now.
199000	203000	Um, Amy's currently making a cup of tea at Mercy.
203000	211000	Um, is just getting a room set up for her.
211000	218000	Um, because she accidentally nuked her vault of her, the collapse room.
218000	220000	It was an accident.
220000	221000	Oh my God.
221000	224000	This couldn't have gone any worse.
225000	228000	I think that's like pretty on character.
228000	229000	Yeah.
229000	240000	If someone could insert that meme and put all of her hairs on it and be like, oh, aren't, aren't VTubers cute when they're almost, or a little, almost, a little.
240000	244000	That's all I'm going to say. Well, you guys can finish the sentence after that.
244000	246000	But that was, I can't.
246000	248000	No, I'm kidding.
248000	261000	I was like, okay, I'm going to be honest. When they, when the harem told me they were called harem, I read it as harem.
261000	264000	And I was like, that makes no sense for she be character design.
264000	267000	I was like, what?
267000	277000	I have a harem of so many people that are my little, you know, play things and clients and they're my harem and that's hair.
277000	279000	Which is a rabbit.
279000	280000	But it's not a rabbit.
280000	281000	Hair and rabbit are different.
281000	282000	But you know what I mean?
282000	283000	It's a pun.
283000	284000	It's a pun.
284000	285000	Exactly.
285000	286000	Yeah.
286000	287000	And they're also called harlots.
287000	289000	The individuals are harlots or harlots.
289000	290000	Wait, hold on.
290000	292000	I thought you said hairless.
292000	293000	They're hairless.
293000	294000	Some of them aren't.
294000	295000	I can tell you that.
295000	296000	Check it.
296000	297000	Marcy, you could.
297000	299000	Do you still have that thumbnail, Marcy?
299000	301000	Are we good now?
301000	302000	I got it.
302000	303000	Almost.
303000	305000	Almost, I mean.
306000	307000	I'm back with tea.
307000	312000	Marcy, if you still have that thumbnail, if you just throw up the stream.
312000	314000	Is she going to throw up on stream?
314000	315000	No.
315000	317000	The audience beaming.
317000	318000	Yeah.
318000	319000	It should default to that.
319000	323000	If you just change to the thumbnail and pick our take four.
323000	330000	I'm literally telling herself the stream was just streaming.
330000	331000	I'm sorry.
331000	333000	I cannot right now.
334000	336000	My goodness gracious.
336000	339000	Why are they too loud?
339000	340000	Yeah.
340000	341000	How's the volume?
341000	342000	Yeah.
342000	343000	It's my volume.
343000	344000	Okay.
344000	346000	Can you hear everyone else?
346000	351000	Who said the harlots are waxed in my chat?
351000	354000	The harlots are waxed.
354000	356000	I need them to be clean and proper.
356000	357000	I'm good.
357000	358000	I see it.
358000	359000	I see it.
359000	360000	Okay.
360000	361000	That's good.
361000	362000	That's good.
362000	363000	No.
363000	364000	I'm not going to.
364000	365000	Okay.
365000	366000	What do you mean?
366000	369000	I don't know what you're saying.
369000	370000	I'm sorry.
370000	371000	I do not know.
371000	372000	I'm sorry.
372000	373000	I'm sorry.
373000	374000	Well, you know what?
374000	375000	I'm sorry.
375000	376000	Yeah.
376000	377000	What do you mean?
377000	378000	On man?
378000	379000	It's broadcast on the OBS?
379000	380000	That was.
380000	381000	I'm doing so bad.
381000	382000	They called.
382000	386000	We have the column.
386000	388000	Thank you for the 10 members.
388000	391000	Yeah, there is for my non-monetized
392000	399420	No, she Vian is there are monetized. Oh my god. I'm muted. I was
399420	404260	muted the entire time. Oh my god. I can hear you.
404260	408260	I don't know what is happening.
409140	411140	Right
417640	422520	This is a fever dream guys. This is real. We're all in bed
425520	427680	I guess I should change my stuff now
428920	430920	Why do we need to change wait?
430920	433720	No, you don't have to change anything as long as the game's on stream
433720	437680	You can change it after stream no one gives a shit what the streams called as long as we're online right now
438480	439980	Okay
439980	443900	Okay, mommy. I'm just doing it cuz we're all there's like every I'm sitting here
444020	449220	The girl's running around like everything's on fire, and I'm like it'll be fine. We're good
449220	452860	We're gonna play some Garthik phone. We're gonna have a great time
453700	460860	They think the world is gonna end don't forget to like and subscribe on this stream if you're enjoying your experience as a viewer
461060	463060	Oh
465860	469220	Smash that bell to get notifications of life
479500	484640	Yeah, like with alcohol or something. Yeah, I am
484640	486640	Yeah
489800	491800	Love smashing
493600	495600	She just says smashing
504720	506720	I'm sorry for the mess
507480	509480	Okay
513720	518360	We a vealor have done the holistic approach where none of us will mute so
525120	528040	It just as a reminder all donations
528800	535440	Memberships or super chats will be addressed at the end of the stream when it's not an absolute cluster buck of all six of us together
536760	542200	But yes, the whole premise of the power washer was I was gonna do a gag and be like oh
542720	548440	Vealor isn't doing so well. We might go bust so everyone put a bikini on and get clean in well that I
549120	553800	Window now, so instead we're playing Garthik phone. I've never played it personally
554480	556320	she be
556320	559680	Suggested it and I her word is law. So
562120	565560	I'm taking over the company I'm the shadow CEO
567720	569720	Okay, do you guys want to start you ready?
575840	583000	Right I sentence I know cheating the guy is so chat. Don't fucking cheat. Don't fucking do it. I swear to God beat your ass
596720	598720	I
599240	601240	Planks don't give out way until it's
602480	604480	This is our secret
610240	612240	Oh wait
616800	619680	Wait, I don't actually know what that is so let me
626720	628720	Oh
637440	639440	My god
647000	652040	Oh, I can't see don't cheat. This is so bad. Oh, no
656720	660980	Wait, can I make my pen smile smaller? She
666160	668160	Know what's happening
676800	683200	Oh the top right corner is the indicator of the shading, okay, I'm an artist
687320	693360	An artist. Oh, yeah, wait, all you can fucking draw about me. That's that you're all done
700800	702800	We need to witness them hold on
711560	714840	The fuck am I doing what is
716840	718840	I
720320	722320	Should whip out my
726160	728160	Better with a mouse
738840	740840	Would you I'm done
747080	749080	You
749400	751400	These are items
754000	756680	100% wood wood, why not?
759240	761240	We need to put the chat logs in quick
762480	764480	These are the chat. Oh good answer
765920	769480	Why are you ain't ready? Hey, you guys aren't ready for mine
771560	775720	And we need to some which detail was Americans always have like an eagle
777600	779600	To describe this
797360	799360	There we go
803040	805040	What do you think
806720	808720	Oh
824320	826920	My god, I don't know what he looks like
830480	831480	Oh
831480	833480	Hey, she be sent so far away
833480	835480	Oh
836440	839040	Right, I don't know what
839600	845720	Looks like oh no, I had to look it up. I'm just guessing. I'm just going for it
848040	850040	Right, what I look like
852000	854000	Wait, I don't look like that
863480	865480	Oh
878200	880200	How do you draw a hegeo
893480	895480	I don't know how to draw it
908240	912560	But ginger in it and there you go, that's me. I don't know what
919200	921200	This is awful, I'm sorry
923480	926680	This is this is I don't know. Let's
928800	930800	Draw some hair
946120	948120	It's too late the phone run
948120	950120	Oh
952480	958320	That is very nice, thank you, I'm glad you agree chat my little leaflings are saying I'm a true artist
959400	961400	Here's not orange
978440	980440	Oh
