start	end	text
150000	152000	You
180000	182000	You
210000	212000	You
240000	242000	You
270000	272000	You
300000	302000	You
330000	350000	You
350000	379000	Hello everybody oh fuck hold on hold on I forgot to turn my fan off if you if you hear if you hear a loud background sound it's my friend let me turn it off I forgot to do that okay sorry I was gonna turn off the fan when I go live and I I forgot to do that I'm sorry about that it's it's getting a little loud
380000	407000	hot here someday so I had to have my fan on so I don't hear it well cuz cuz I turned it off I turned it off just now I hope you guys are doing well I'm sorry I'm sorry if I
407000	431000	If I hope I can't talk am I quiet am I quiet am I too quiet please let me know oh god my brain is over the place no no you go to little you're fine
431000	451000	oh okay okay all right I was I was just making sure I hope you didn't miss me too much yesterday cuz now now I'm here now I'm here once again so don't don't worry no need to miss me
451000	480000	um num num num num num num today we are going to be playing the polar bear game it's a it's a pretty old game it took me a while to set it up and stuff but that's how it is with retro games sadly I love them so much but a lot of them are a big pain to
481000	501000	just to set up also why the hell does my model keep pausing what the hell do I need to like do something I wonder if I need to have my iPhone plugged in the whole time or something what the fuck I missed me
502000	525000	that's really sweet I I think it's really sweet to hear that I have been missed you know cuz like it how do I explain it like when someone tells me that they miss me it's like this nice feeling of like oh so so it means that my absence
526000	539000	uh means something you know cuz like when like you're gone and nobody misses you that it makes you feel like well what's the point of streaming right nobody misses me anyway so
539000	559000	uh why stream but but because you do miss me uh it makes me go like oh they they actually do miss me and and they think of me so like that gives me like a big reason to uh to stream you know like if
559000	578000	you weren't here I wouldn't have a reason to stream to be honest and it wouldn't be fun you know so uh yeah that's what we're gonna do today I am gonna try to open the game um and when I open the game you know
578000	588000	same thing we do every gaming stream let me know how the sound of the game is let me know if uh if you can see everything or if there's anything to change and stuff like that
589000	606000	I say I can't wait for your smm stream honestly honestly me too I'm really excited for that as well I'm excited for for tomorrow stream did you miss us though of course I did that's why that's why I was yapping on on my alt twitter yesterday so imagine
606000	620000	I responded to a lot of Maros because I missed you guys if I didn't miss you I would be like man fuck this no bear don't give a fuck I'm I don't want to I don't want to talk
621000	622000	I don't give a fuck
624000	639000	but yeah yeah I definitely miss you and I'm so happy to be back here but yeah I'm really excited for tomorrow stream but I am really nervous because I'm really scared that the background noise on everything that the microphone picks up is gonna like
640000	665000	make make my smr stream like not as good as the rest of the girls but I I I hope that it's not gonna but it's not going to bother you too too much and and you know and I don't know that the best that I can provide you with at the moment will be good enough for now anyways
665000	690000	I'll I promise I'll do my very best to make it a good smr stream um another thing I don't know if that is smr stream if the vod is gonna stay up or not because as you've noticed some of my gen mates who did smr they had their vods like bonked by youtube so yeah
691000	713000	if you want to archive tomorrow's smr stream by all means go go ahead and do that because again you you can't know with youtube at the moment what's gonna happen so um yeah if you want to be like extra careful or something like that
714000	731000	um be be sure to archive it and I'll I'll post a link but hopefully hopefully hopefully it doesn't hopefully it doesn't get taken down but if it does well oh well what can you do
732000	754000	oh my god be gentle it's okay oh I well don't worry when um when I do smr I get extremely uh extremely gentle to be honest and whisper and oh lovey dovey and cutesy and yeah
754000	763000	um I'm gonna make sure to do my best to keep you as comfy as I can tomorrow so you're in good hands with me don't worry about that
765000	768000	I'll I'll do my best I'll do my best for my OG sons
768000	782000	uh okay okay enough enough yapping I am going to uh blah blah blah blah blah I'm going to
782000	792000	uh open
797000	806000	open the game I'm sorry my my brain is kind of kind of brain dead even even I took even I took a nap before I stream today
807000	817000	blah blah blah okay I'm I don't know why I'm nervous to open the game but I am for some reason
817000	827000	because because because if I open the game and there's something I need to fix it's gonna be it's gonna be a mess to fix it's gonna be a mess to fix
827000	834000	because like the game just like completely shits itself if you like I'll tap out of it
838000	855000	what's the art for the smr stream finished um in time for though um it's it's it's not finished yet no it's not finished yet but uh it says that it roughly takes eight days
856000	865000	uh for the art to be done so it will be ready in a few days so so you will see the art soon very soon
867000	872000	um okay let's let's open a game and see what happens
872000	882000	lars look at the stars the north stars right above us and if you trace let me know if you can see the game
882000	888000	if you can hear it and if it's too loud or not it's also known as Ursula major which means
888000	893000	the great bear the great bear the great bear stars don't look like a bear to me
894000	899000	tell me dad why would they call that constellation the great bear
899000	906000	let me think I'm sure my father told me once but I must admit I don't really I don't look like me
906000	913000	do you think that Igor the whale might know oh I'm sure he would you know so many things you must know
913000	921000	okay then tomorrow I'll go see Igor he will surely be able to tell me why they call that constellation of stars the great bear
921000	941000	your model moved you I see fuck why is my model oh my fucking god what the fuck hello is this better
943000	949000	I knew something is gonna go wrong I fucking knew it is this better
951000	958000	I'm a midget now is this better is this is this better
959000	966000	I see in the middle of the game I see the game fucking low resolution game moment
968000	979000	it what no it was not on purpose this game is just really something looks good okay let's keep playing
981000	991000	that's me hello hello I'm Lars I'm I see start our adventure choose one of my friends are you gonna you will be your
991000	1004000	playmate and remember I have I have a friend I have bunny friend I have big moose friend
