start	end	text
0	11300	Okay, I know this is a really bad idea but I'm already here so here we fucking go
12500	13300	Ta-ra!
13400	16300	Actually Nasa's bun is only a oom, he's the one
16300	19400	Couldn't help but notice, yo, watch from across the floor
19400	22800	Nasa's unique, he'll wake up, tell them we're cheating, hee-hee
22800	25800	I'm sucy baggy, I spin too baby, use your musky
25800	27900	Take me home, bet me and make me a thug
27900	30380	I got this stuff, me see me like my way to baby
30380	32060	Tell her I'm free, about you all day
32060	33900	Jesus, I'm like, it's your neck
33900	35260	I hope that you like it
35260	37180	Nozzles and nozzles, your chest
37180	38780	I'd be getting thirsty
38780	40380	Hey, I got a little itch
40380	41980	You think you can help me?
41980	43580	Only seven inches long
43580	44860	Ooh, please, adapt me
44860	46860	Fasten your bolchers, I like my lips
47980	49980	I have to hit them with this for your shit
49980	51980	When I get coming
57900	60860	You
