start	end	text
0	2000	1.5kg.
2000	4000	2.5kg.
4000	6000	3.5kg.
6000	8000	4.5kg.
8000	10000	5.5kg.
10000	12000	6.5kg.
12000	14000	7.5kg.
14000	16000	8.5kg.
16000	18000	9.5kg.
18000	20000	10.5kg.
20000	22000	11.5kg.
22000	24000	12.5kg.
24000	26000	13.5kg.
26000	28000	14.5kg.
28000	30000	15.5kg.
30000	32000	16.5kg.
32000	34000	17.5kg.
34000	36000	18.5kg.
36000	38000	19.5kg.
38000	40000	20.5kg.
40000	42000	21.5kg.
42000	44000	22.5kg.
44000	46000	23.5kg.
46000	48000	24.5kg.
48000	50000	25.5kg.
50000	52000	26.5kg.
52000	54000	27.5kg.
54000	56000	28.5kg.
56000	58000	29.5kg.
58000	60000	30.5kg.
60000	62000	31.5kg.
62000	64000	32.5kg.
64000	66000	33.5kg.
66000	68000	34.5kg.
68000	70000	35.5kg.
70000	72000	36.5kg.
72000	74000	37.5kg.
74000	76000	38.5kg.
76000	78000	39.5kg.
78000	80000	40.5kg.
80000	82000	41.5kg.
82000	84000	42.5kg.
84000	86000	43.5kg.
86000	88000	44.5kg.
88000	90000	45.5kg.
90000	92000	46.5kg.
92000	94000	47.5kg.
94000	96000	47.5kg.
96000	98000	48.5kg.
98000	100000	49.5kg.
100000	102000	50.5kg.
102000	104000	51.5kg.
104000	106000	52.5kg.
106000	108000	53.5kg.
108000	110000	54.5kg.
110000	112000	55.5kg.
112000	114000	55.5kg.
114000	116000	55.5kg.
116000	118000	55.5kg.
118000	120000	55.5kg.
120000	122000	55.5kg.
122000	124000	55.5kg.
124000	126000	55.5kg.
126000	128000	55.5kg.
128000	130000	55.5kg.
130000	132000	55.5kg.
132000	134000	55.5kg.
134000	136000	55.5kg.
136000	138000	55.5kg.
138000	140000	55.5kg.
140000	142000	55.5kg.
142000	144000	55.5kg.
144000	146000	55.5kg.
146000	148000	55.5kg.
148000	150000	55.5kg.
150000	152000	55.5kg.
152000	154000	55.5kg.
154000	156000	55.5kg.
156000	158000	55.5kg.
158000	160000	55.5kg.
160000	162000	55.5kg.
162000	164000	55.5kg.
164000	166000	55.5kg.
166000	168000	55.5kg.
168000	170000	55.5kg.
170000	172000	55.5kg.
172000	174000	55.5kg.
174000	176000	55.5kg.
176000	178000	55.5kg.
178000	180000	55.5kg.
180000	182000	55.5kg.
182000	184000	55.5kg.
184000	186000	55.5kg.
186000	188000	55.5kg.
188000	190000	55.5kg.
190000	192000	55.5kg.
192000	194000	55.5kg.
194000	196000	55.5kg.
196000	198000	55.5kg.
198000	200000	55.5kg.
200000	202000	55.5kg.
202000	204000	55.5kg.
204000	206000	55.5kg.
206000	208000	55.5kg.
208000	210000	55.5kg.
210000	212000	55.5kg.
212000	214000	55.5kg.
214000	216000	55.5kg.
216000	218000	55.5kg.
218000	220000	55.5kg.
220000	222000	55.5kg.
222000	224000	55.5kg.
224000	226000	55.5kg.
226000	228000	55.5kg.
228000	230000	55.5kg.
230000	232000	55.5kg.
232000	234000	55.5kg.
234000	236000	55.5kg.
236000	238000	55.5kg.
238000	240000	55.5kg.
240000	242000	55.5kg.
242000	244000	55.5kg.
244000	246000	55.5kg.
246000	248000	55.5kg.
248000	250000	55.5kg.
250000	252000	55.5kg.
252000	254000	55.5kg.
254000	256000	55.5kg.
256000	258000	55.5kg.
258000	260000	55.5kg.
260000	262000	55.5kg.
262000	264000	55.5kg.
264000	266000	55.5kg.
266000	268000	55.5kg.
268000	270000	55.5kg.
270000	272000	55.5kg.
272000	274000	55.5kg.
274000	276000	55.5kg.
276000	278000	55.5kg.
278000	280000	55.5kg.
280000	282000	55.5kg.
282000	284000	55.5kg.
284000	286000	55.5kg.
286000	288000	55.5kg.
288000	290000	55.5kg.
290000	292000	55.5kg.
292000	294000	55.5kg.
294000	296000	55.5kg.
296000	298000	55.5kg.
298000	300000	55.5kg.
300000	302000	55.5kg.
302000	304000	55.5kg.
304000	306000	55.5kg.
306000	308000	55.5kg.
308000	310000	55.5kg.
310000	312000	55.5kg.
312000	314000	55.5kg.
314000	316000	55.5kg.
316000	318000	55.5kg.
318000	320000	55.5kg.
320000	322000	55.5kg.
322000	324000	55.5kg.
324000	326000	55.5kg.
326000	328000	55.5kg.
328000	330000	55.5kg.
330000	332000	55.5kg.
334000	336000	55.5kg.
336000	338000	55.5kg.
338000	340000	55.5kg.
340000	342000	55.5kg.
342000	344000	55.5kg.
344000	346000	55.5kg.
346000	348000	55.5kg.
350000	352000	55.5kg.
352000	354000	55.5kg.
354000	356000	55.5kg.
356000	358000	55.5kg.
358000	360000	55.5kg.
360000	362000	55.5kg.
362000	364000	55.5kg.
364000	366000	55.5kg.
366000	368000	55.5kg.
368000	370000	55.5kg.
372000	374000	56.6kg.
376000	378000	56.6kg.
378000	380000	56.6kg.
380000	382000	55.6kg.
384000	386000	55.6kg,
386000	388000	55.6kg.
388000	390000	5.100kg.
390000	392000	55.6kg,
392000	393520	Did you undress you beary?!
393760	394880	I hope you are doing well lol
399800	402040	I took a nap eldersday
402880	405040	awlair than yesterday
407840	410920	to make sure that
412020	421940	that I'm not going to have any chance to wake up for stream
421940	447760	ဵျံ ဧေိဏဴအ. ပ
451940	456980	about them for me. I don't know. I guess I also get like really immersed in some of them so
459540	464420	so yeah, I hope you will enjoy watching me trying my best to become
465300	472260	the number one rock star. I'm also dumb. I got myself some tea and I was gonna drink it
472260	479380	while the loading screen was going, but I forgot. Hold on, I wanna see if it's still warm.
482100	485860	Oh no, I think it's kind of warm, but
492180	499380	it's warm. It's warm, but it's not as hot as I want it to be.
499380	504820	I also want to drink it, but I'm also scared if I drink it, I'm gonna have to
506260	510660	go to the bathroom a lot and I really don't want to have like
512260	517780	a bunch of rewrite backscreens while we're playing this, so I don't know what to do.
519300	522820	I don't want to see it, go do I see it, but I don't know.
528980	535860	But yeah, it's really good to see you everyone. Before I start, yesterday I
