start	end	text
0	3560	Hi, I'm Ice Snow Paws.
3560	5280	What in a while?
5280	9400	Maybe my big polar bear paws give it away.
9400	13240	I'm here to be the kusugaki that's missing from your life.
13240	15520	Name one right now.
15520	21000	I'll give you 3 seconds.
21000	22000	You can't.
22000	27520	Well, now you can though.
27520	33720	As well as being cute and funny, I'm also into DJing, SMR, and enjoy playing video games
33720	35520	for the first time on stream.
35520	42720	So on June 1st, you better come see me, or else I'm gonna bite your p***s off.
