start	end	text
0	30000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
30000	60000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
60000	62000	💖
62000	64000	💖
64000	66000	💖
66000	68000	💖
68000	70000	💖
70000	72000	💖
72000	74000	💖
74000	76000	💖
76000	78000	💖
78000	80000	💖
80000	82000	💖
82000	84000	💖
86000	88000	💖
88000	90000	💖
90000	92000	💖
92000	94000	💖
94000	96000	💖
96000	98000	💖
100000	102000	💖
102000	104000	💖
104000	106000	💖
106000	108000	💖
108000	110000	💖
110000	112000	💖
112000	114000	💖
114000	116000	💖
116000	146000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
146000	176000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
176000	206000	ʕლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
206000	236000	ʕლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
236000	266000	ʕლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
266000	296000	ʕლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
296000	326000	ʕლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
326000	356000	ʕლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
356180	357260	τον
359060	360340	hello everyone
361720	364100	hello snowberries
364100	366100	hii
368260	370260	oh my god I
370260	371740	I took a nap
372220	373700	before I stream
374280	376440	and it was like
377240	378500	and now we're
379040	381440	an hour and a half is
381780	385280	is gonna be more than good enough for me to
386000	388040	ᰍᰎစᵄ-᰽ᰍᰏᰎ
388040	389680	៘ᰐᴋḍ通 Convenience
389680	391440	� будут harandែა�
391440	394140	៴�便ᵍა� dismissed
394140	395980	feder
395980	397620	s1ᵏn
397620	398240	%,ble
398240	399480	hey i
399480	401040	eni
401040	402640	헤'
402640	404680	៧ᵏau
404680	405780	ʰᵌ
405780	408100	d attributes
408100	409860	ʰᵏau
409860	411660	urities
411660	413380	ʰᵉ
413380	415820	ថ s1ē
415820	445820	ᗕᗕᗕᗕᗕᗕᗕᗕᗕᗕᗕᗕᗕᗕᗕᗕᗕᗕᗕᗕᗕᗕᗕᗕᗕᗕ, ᗕᗕᗕᗕᗕ, ᗕᗕᗕᗕ, ᗕᗕᗕᗕ, ᗕᗕᗕᗕ, ᗕᗕᗕᗕ, ᗕᗕᗕᗕ, ᗕᗕᗕᗕ, ᗕᗕᗕᗕ, ᗕᗕᗕᗕ, ᗕᗕᗕᗕ, ᗕᗕᗕ�
445820	475820	ᗕᗕᗕᗕᗕ, ᗕᗕᗕᗕ, ᗕᗕᗕᗕ, ᗕᗕᗕᗕ, ᗕᗕᗕᗕ, ᗕᗕᗕ, ᗕᗕᗕ, ᗕᗕᗕ, ᗕᗕᗕ, ᗕᗕᗕ, ᗕᗕᗕ, ᗕᗕᗕ, ᗕᗕᗕ, ᗕᗕᗕ, ᗕᗕᗕ, ᗕᗕᗕ, ᗕᗕᗕ, ᗕᗕᗕ, ᗕᗕᗕ, ᗕᗕᗕ, ᗕ
475820	505820	ᗕᗕᗕᗕ, ᗕᗕᗕ, ᗕᗕᗕ, ᗕᗕᗕ, ᗕᗕᗕ, ᗕᗕᗕ, ᗕᗕᗕ, ᗕᗕᗕ, ᗕᗕᗕ, ᗕᗕᗕ, ᗕᗕᗕ, ᗕᗕᗕ, ᗕᗕᗕ, ᗕᗕᗕ, ᗕᗕᗕ, ᗕᗕᗕ, ᗕᗕᗕ, ᗕᗕᗕ, ᗕᗕᗕ, ᗕᗕᗕ, ᗕᗕᗕ, ᗕᗕ�
