start	end	text
0	30000	2.5-3.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5
30000	60000	4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4
60000	90000	4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4
90000	120000	4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4
120000	150000	4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4
150000	180000	4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4
180000	210000	4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4
210000	240000	4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4
240000	270000	4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4
270000	300000	4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4.5-4
