start	end	text
0	3320	When I was a kid I used to live in a haunted apartment and I would always complain to my
3320	6480	mom about all these creepy things happening around the place but she always thought I
6480	8680	was making it up to this day.
8680	12760	The only story she actually believes is one where she was also there with me.
12760	16080	I was sleeping in her bed with her one night and my arm was hanging off the side of the
16080	17080	bed.
17080	18080	Bad idea.
18080	22480	When suddenly a big dark creepy hand crept up from under the bed and grabbed mine and
22480	23480	pulled on me.
23480	29040	I was too sleepy and stupid brained so all I did was open my eyes, stare at it, ripped
29040	33160	my hand out of its grasp and roll over and went back to sleep.
33160	36120	I would not have had those same balls to do that today.
36120	37720	I don't know what I was thinking.
