start	end	text
210000	229840	Hello hi welcome it's not a phase it's not a phase can you hear me good I'm
229840	238960	using I have to reset up everything on OBS so I don't know if it's good I didn't
238960	244120	test anything before starting here yeah here you okay okay okay I missed you
244120	251100	too I miss you too hello welcome I'm happy to have you here today
251100	257840	emo sister are you listening to MCR I'm not listening to MCR actually don't
257840	264120	really like any MCR songs I'm kind of a fraud I admit it I'm a fraud I'm a fake
264120	275520	emo yep that was the shower it was rushed it was rushed cuz I wanted to
275520	289040	get here to be with you um right update um I posted on my NSFW Twitter and to
289040	298840	see if you guys are interested in me posting my in me posting my previous
298840	310000	content on my Emi patreon I think I think I won't post it on patreon I might
310000	314640	post it on fansly so that way it's easier to avoid if you don't want to see
315360	320840	um yeah cuz I keep getting I keep getting questions asking like oh when
320840	324200	will you reopen your other patreon so I can listen to your other stuff and it's
324200	332600	like not anytime soon I don't know so yeah um wait you have a patreon shut up
332600	337640	stop being stupid so yeah um fansly is not up yet it'll be up in like a month
337640	344800	maybe I don't know I'm not sure yet but yeah it might be available there but
344800	361720	um not anywhere else yeah does it involve webbing no no um I think that's
361720	369920	everything oh yeah one more note I know it's very very early in the game to make
369920	374720	a 2.0 model okay and it doesn't mean that I don't like this model I think this
374720	382280	model is really cute you know I think I'm really cute but as an artist I'm very
382280	392680	very picky I'm super super picky so I want to customize myself more yeah
396640	402840	sorry I'm drinking tea right now I think it's peach tea with mango peach and
402840	411200	mango I think I hate mangoes but it's the only tea I have right now so yeah
411240	422280	it's been 75 years since I heard your voice well we're back we are so back so
422280	425920	and plus it's cheaper because I'm an artist so I can I can fucking make a
425920	429400	2.0 whatever I want if I wanted to I could just make the whole thing myself
429400	435920	but I'm lazy as fuck so I'm not going to do that right let me show you let me
435920	439000	show you what I've got going on
444080	457880	right I'm gonna make myself a little bit more there so here is a totally legally
457880	465380	acquired drawing program that I totally legally acquired and here okay I
465380	470280	traced the model art now I'm not gonna do that for the actual model I'm just
470280	475880	doing it for the design itself when I draw the model itself it's not gonna be
475880	483960	traced from this one I look like a fucking goblin I like why do I look
484200	493120	like this yes it is paint tool sides paint tool side too um let me drink some
493120	505640	actual water so um we are not gonna be bald I needed to be bald because I'm
505640	513120	gonna change my hair so this is the naked model I'm going to keep the band-aids
513120	523840	I'm gonna keep the wound tattoo and then I have all these elements I want to add I
523840	527680	guess so I want to keep my band-aids I want to keep my freckles I want to keep
527680	531520	them I think I wrote tattoo wrong I don't know I want to have some sort of
531520	537880	choker maybe a collar wait hold on let me this thing this has been annoying me
537880	543720	for a long time I didn't mean to do that this has been annoying me for a long
543720	552120	time my blinking I open my blinking parameters have been too sensitive so I
552120	561560	keep blinking at you let me make them less sensitive how do I do this maybe
561840	565040	shit I don't know how
569240	572880	maybe make them zero point
580240	584280	is that more or less sensitive I don't know okay you know what I should probably
584280	588640	not mess with that right now I should probably not mess with that right now
588680	595000	okay anyways anyway let me continue talking um right and so here's stuff I
595000	600800	want to incorporate so right now I'm wearing your sweater but I'm I think I
600800	607720	want to have your shirt too I think I'll take that too and then also I want to
607720	613080	have some sort of twin tails still I want to keep that sort of beam I want to
613080	622160	have multiple ear piercings that's right not just one I'm not dating my cousin
622160	631080	shut up I'm dating you I'm not gonna add a leash to the collar no I want to have a
631080	638400	split tongue yep I want to split it in half because I think that's hot um maybe
638400	644760	a belly button piercing I'm not really sure because I feel like I feel like it
644760	648880	might be too much around the belly area if there's both a belly button piercing
648880	656840	and a womb tattoo but I don't know maybe glasses maybe leg warmers and I'm still
656840	664440	on the fence on if I want to keep my book like like this book here I'm still
664440	672200	on the fence on if I want to keep that there I'm not sure yeah
675120	682880	so that's that and then here is my ideas that I went on Pinterest and found so
682880	686960	um this is this is your shirt the book is special it is special that's why I
686960	697760	kind of feel like I should keep it you know yeah I'll still have I think I want
697760	702960	to keep the pins on my head too I think those are cute and then I like these
