start	end	text
0	30000	ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ �
30000	60000	ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ
60000	61000	ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ �
90000	91000	ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ �
120000	130000	ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ Road
130000	135120	ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ
141120	145120	ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლDD
150000	180000	ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ �
180000	188800	ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ ლ
188800	190800	ტშ tipo omega
218800	248800	ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი �
248800	251140	ი ი ი ი ი ი ი ი ი ი ი ი ი ი ი MORE
278800	283900	sometimes stream on, different computer profile because sometimes
283900	288760	it's just e easier so yeah so here's our
288760	294240	here's our scroll okay just want to make sure you don't
294260	298380	just want to make sure you can't hear the audio here's a little scroller wheel
298380	306420	for what alerts thank you for the super chat whazzalerts
306420	309500	�好吧 කෙත්් ඇත්ල් තාලාත්
309500	312560	අධහ සතලා මි මේ්දුවයසLED
312560	315500	කකා කිත්ි ආන숟ව, Percy
317320	320720	යසන්ා, ඟසදාමු පි‌rueි страш Apple
321680	325340	ආනු මැති 2 එය of J conservation
325640	328520	කෙඩෙලජන්ලෙට එය
328520	331560	season one episode one
335960	342120	and then should i oh my god shut up can you please go back to calling us gay
342760	347000	i will next dream okay plus we don't want to have sound alerts
348040	352280	no i guess sound alerts are okay because i'm not playing the sound i don't know i'm sorry
352280	358200	i've had just a shit day today i promise if those sound alerts aren't working i'll try to
358200	362840	fix them next time um
367240	368760	i'm trying to remember what i was doing
370360	374840	i mean is the replying to tweets with liked but getting old
375560	380520	is the replying to tweets with like bit getting old i don't know have you guys been doing that to me
380520	388040	is that unusual to mute alerts for wash along okay good good um
390920	398600	i'm trying to figure out what the fuck i'm doing okay should i put the episode that we're on till
399960	405480	this is my scroller bar so you can see where i am like in the episode i'm watching on netflix
406200	412760	um unfortunately i cannot show you the you know movie itself the show itself
412760	427960	but here i'll put a text i'll put text on screen um season one episode one
436040	436840	oh episode one
440360	440840	outline
445880	451960	uh black outline and then
455160	458120	how do i make the outline thicker there we go
458440	462200	i can only do 20 what the fuck
465000	467400	select font me a cute font
470120	474600	um
480840	484440	sorry i'm looking for fonts how many episodes are you planning to watch
485320	489480	i don't know i don't know to be honest
493080	493640	i um
497640	502920	is that okay there cute plushy thank you thank you for the
