start	end	text
0	30000	වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව
30000	60000	වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව�
60000	90000	වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව�
90000	120000	වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව�
120000	150000	වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව�
150000	152080	සේඊවීවවවව ඓැ� AI!!
152220	156600	්ෝස්ා recalled වවවවවවව඀වවවහවවවවවවවවවවවවවව අව හවවවවවවවෂ දැ dunno දැ඄වවවවව
157380	157900	Hello.
158980	163440	My f U C A G H E C L E, that I worked so hard to make clan this one working.
166720	168200	Okay, there is real chat.
171480	174000	Hello, thank you for coming from Shibhi's...
175180	178820	I'm not sure if that chat is working completely correctly either,
178820	185360	but thank you for coming from Shibi's stream, how was it! I was there too.
185360	215360	ვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვ�
215360	245360	ვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვ�
245360	246360	ვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვვ�
276360	280340	a ᠱᠱᠱᠱᠱᠱᠱᠱᠱ� 힘�ᠱᠱᠱᠱᠱᠱᠱᠱᠱᠱᠱᠱ.
280340	284160	aᠱᠱᠱᠱᠱᠱᠱ⁰ᠱᠱᠱⁱᠱᠱⁱᠱⁱ� Pey� supposed.
284160	289700	IDE
295940	297600	ბვბჵვდვუდ
312100	314120	ᗕატ� 이러??
314160	320160	That's like a lot for a poor Canadian like me.
320160	322160	So yeah.
322160	330160	Alright, the next thing on my list is...
330160	334160	Right, for those who listen to the loot audio, give me feedback.
334160	335160	I want feedback.
335160	339160	Like, like, like, like, uh...
339160	340160	Like, hurt my feelings.
340160	343160	Like literally, if you didn't like it, like tell me.
343160	345160	Like, tell me what was wrong with it, you know?
345160	346160	Did we miss the Canadian accent?
346160	348160	I don't think I have a Canadian accent.
348160	349160	It was my French.
349160	352160	My French is very like...
352160	354160	My French is very Canadian.
354160	362160	I went to a French school, like, up until college.
362160	365160	Yeah.
365160	367160	Is my music on?
367160	368160	It is.
368160	374160	I was enrolled in a French school since birth until I went to college.
374160	377160	And then I went to an English college.
377160	379160	Did you have a Patreon as well?
379160	380160	Yes, we do.
380160	382160	It's in the description.
382160	384160	There was an audio.
384160	385160	Bro, you guys don't know?
385160	386160	What the hell?
386160	388160	It was not French immersion.
388160	389160	It was not French immersion.
389160	390160	It was fully French.
390160	392160	We did everything in French at that school.
392160	395160	All the teachers spoke French to us.
395160	397160	I kind of hated it.
397160	398160	But you know, whatever.
398160	400160	Now I learned French.
400160	403160	Ow.
403160	406160	I'm sipping on some tea for my throat.
406160	407160	It was helpful.
407160	408160	Okay, hold on.
408160	410160	I'm scrolling up so I can see if anyone...
410160	411160	Why can't I scroll up?
411160	413160	Fucking YouTube chat.
413160	414160	I had nothing to say about it.
414160	416160	It was my first ASMR.
416160	417160	Oh.
417160	418160	I think your accent is cute.
418160	420160	Oh, thank you.
420160	423160	Okay, well, if you have complaints...
423160	424160	I don't know.
424160	425160	Send me a marshmallow.
425160	426160	Tell me, okay?
427160	428160	Is the delay high?
428160	430160	The delay for chat might be high.
430160	431160	What kind of tea?
431160	432160	It's raspberry tea.
432160	433160	Um...
437160	438160	Oh my god.
438160	439160	What else?
439160	440160	What else?
441160	442160	Okay.
442160	444160	Next I have some slides.
444160	445160	Yup.
447160	448160	Didn't even know there was a voice?
448160	449160	What voice?
451160	452160	Voice?
453160	457160	Thank you for all the support that we've received, by the way, too.
457160	458160	I was so surprised.
458160	461160	I thought there was going to be like 500 people at the debut.
461160	464160	And we had like 2,000 something.
464160	465160	I was like, damn.
466160	468160	I was not expecting that.
469160	472160	I really appreciate that you guys showed up.
474160	476160	I'm not always going to be like...
476160	479160	I'm not always going to be super high energy during streams,
479160	481160	but I'm also not always going to be super low energy.
481160	482160	It just depends on the day.
482160	484160	And today is a sick day.
484160	486160	Right, so I have some slides to show you.
489160	490160	How do I present these?
490160	491160	Okay.
492160	493160	Present.
493160	494160	All right.
502160	503160	Okay.
504160	506160	I gotta go back to old chat.
506160	507160	Okay, there we go.
507160	508160	Um...
510160	511160	Nope, that's the wrong one.
514160	515160	Nope, that's also the wrong one.
515160	516160	Okay, okay.
516160	517160	I'm figuring it out.
517160	518160	I'm figuring it out.
518160	519160	One moment, please.
531160	532160	Window capture.
533160	534160	Sure.
534160	535160	There it is.
537160	538160	All right.
541160	542160	Okay.
547160	548160	Oh.
550160	552160	I hope I don't crop anything out.
557160	558160	There's my...
559160	561160	Maybe I should even put it a little higher up
561160	564160	because chat is kind of covering it.
564160	568160	Here's my 2.0 slides.
571160	575160	So I will mostly talk about myself and then...
576160	579160	And then maybe we can talk about you at the end.
580160	581160	We'll see, we'll see.
581160	583160	And I'll probably answer marshmallow questions too
583160	584160	at the end.
584160	587160	So right, here is the 2.0.
587160	590160	Emmy's list of very important info.
590160	592160	Memorize it all.
594160	597160	You're gonna get tested on it at the end.
597160	598160	Next.
598160	599160	Okay.
599160	601160	Ignore the fact that I'm using camera.
602160	603160	We're pro streamers.
604160	605160	Oh, hi, Mercy.
605160	606160	Good, good, good.
606160	607160	Remember it all.
609160	610160	Okay.
610160	611160	Who is Emmy?
611160	612160	What?
614160	615160	What?
615160	617160	Emmy was living.
618160	619160	Right.
619160	620160	Okay.
620160	622160	Full paw and V-tubing, I know.
622160	624160	Right, so, uh,
624160	627160	Vealer have allowed us to be
627160	629160	open about our PLs.
629160	633160	Obviously, don't go and bother the other girls
633160	634160	about theirs.
634160	636160	If they don't want to say it,
636160	638160	they don't have to say it, you know?
638160	641160	If they want to keep it private, that's okay.
641160	644160	I am not keeping it private
644160	646160	because a lot of you already know.
649160	650160	Right, yeah.
651160	653160	And also, my voice is pretty recognizable.
653160	654160	So, like,
656160	657160	possible lover.
657160	658160	No, it means past life.
659160	660160	Right, yeah.
660160	662160	My voice is really recognizable.
664160	666160	So, to me, it's like,
666160	667160	what's the point?
667160	669160	Unless I had, like, you know,
669160	671160	some closets in my,
671160	675160	some skeletons in my closet to hide.
676160	677160	I don't, but,
678160	681160	you know, if you do, I understand
681160	683160	if you want to hide your past account,
683160	684160	but I'm not going to do that.
684160	685160	Like, and,
685160	686160	God, I'm so scattered brain.
686160	688160	Like, in terms of V-tubers
688160	690160	who join companies doing that,
690160	692160	it's okay, like,
692160	693160	I don't judge the ones who hide it,
693160	695160	but I didn't want to hide it.
695160	696160	So, yeah.
697160	699160	Go watch my other content.
699160	701160	It's really good, and I like it,
701160	702160	so I hope you will also like it.
703160	704160	Who is living?
704160	706160	You just search Liberty on YouTube.
