start	end	text
0	23680	is it cool enough for us to work it oh yeah it takes like a hot second for me to
23680	32760	even appear like what I guys guys I killed my broadcast room you what you killed
32760	37760	your broadcast room right now suddenly like stop streaming and then my my
37760	48920	power wash simulator okay I'm live I'm live I'm live I'm live I'm live I'm also
48920	58880	live my chat is laughing at us chat we're so so hello everybody oh god it's been
58880	68480	awful how many wheeler members do you need to do a collab to properly merci
68480	78080	will I make you in your room yay you might need another round I'm just eating
78080	85320	arrows college a live in life so many aritos I want to myself some tea while
85320	101400	we're waiting like I'm busy we'll keep you fuck this frame I'm gonna go make
101400	116660	some tea guys we have been at this for 26 minutes we were on power washer for one
116660	124160	hour and every time we went past four of the girls connecting the the connection
124160	130120	started timing out for some reason but if for some reason in power washer if you
130120	135160	haven't played the entire campaign it doesn't allow you to have six persons in
135160	139360	your lobby and I'm the only one with a finished save file and it was too late
139360	148880	like it's ship all the like code and send on on your stream yeah and so
148880	154040	basically she be rescued she be was like right I'll set this one out you guys just
154040	156760	do it and really know we can't do it the whole point of this is that we're all
156760	160800	together in this so then we're like right who's got g-mod right I don't have it right
160800	164240	who's got rough right I don't have it right who's got this game I don't have it
164240	169120	I was trying my best TV was like going through the list she was flicking them
169120	175400	pages like next page next page next next game okay that won't work literally okay
175400	180680	sure all right we'll do jackpawks and then wait that requires us to screen
180680	184800	record this court I'm like we can't have that we see outrageous things in the
184800	189200	discord we don't even have a HR department so we can't share so then
189200	195200	Garthik phone which I've never played before is coming in clutch right now
195200	206040	Emmys currently making a cup of tea Merci is just getting a room set up for
206040	219560	her because she accidentally nuked her vod of her the collapse dream of any
219560	227080	worse so yeah I think that's like pretty on character yeah insert that meme and
227080	231960	put all of her hairs on it oh aren't VTubers cute when they're almost hmm
231960	239240	or a little that's all I'm gonna say well you guys can finish the sentence
239240	252640	after that but that was okay the hair I remember I was like okay I'm gonna be
252640	257480	honest when they when the harem told me they were called here I read as Haram
257480	264000	and I was like that makes no sense for she be scared I did too I was like what I
264000	270560	have a harem yeah so many people that are my little you know play things and
270560	275480	clients and that they're my harem and that's hair which is a rabbit but it's
275480	278360	not a rabbit hair and rabbit are different but you know what I mean it's a
278360	283560	good fun it's a pun exactly and they're also called Harleys the individuals are
