start	end	text
0	30000	වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව
30000	60000	වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව�
60000	90000	අවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව�
90000	120000	අවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව�
120000	150000	අවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව�
150000	180000	අවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව�
180000	210000	අවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව�
210000	240000	අවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව�
240000	270000	අ඀වවවවවවව මිුවරකත හහලකුව වවව ඔතිද මකෙහуда debenවවී එකතුවරන ගතුශ් එක්වජන පින්ගණරන්ව දැරවවකතුවවවවවවවවවකත්ගණරන්වසෙවඣඦු ම්තුන්ගණවනුව�
270000	272000	uh...
272000	274000	yeah it's a monetization
274000	276000	uh celebration
276000	278000	welcome okay
278000	280000	let me explain what we're doing here
280000	282000	um thank you to anyone who's already
282000	284000	membered
284000	286000	thank you to anyone who already became a member
286000	288000	hello hello hello hello
288000	290000	thank you thank you for coming
292000	294000	thank you granite for becoming a member
294000	296000	i don't
296000	298000	i don't know why
298000	300000	oh there it is
300000	302000	feet? i will be there no matter what
302000	304000	yeah that
304000	306000	that looked kinda loud
306000	308000	i'll put that down
312000	314000	what was that
314000	316000	oh thank you for your gifting
316000	318000	oh my god so many
318000	320000	oh so many already
320000	322000	oh thank you
322000	324000	thank you eternity for gifting so many
324000	326000	memberships
326000	328000	thank you
332000	334000	that shouldn't be the normal
334000	336000	i don't know why that's the normal
338000	340000	yeah i don't know why it's going
340000	342000	boing boing boing that's not
342000	344000	the one that's not the sound that i had
344000	346000	picked for it but it's okay
348000	350000	thank you i trauma for gifting
350000	352000	oh my god thank you john zero
352000	354000	for gifting 50
354000	356000	memberships oh my god just start
356000	358000	chill out chill out chill out chill out
358000	360000	we just started
362000	364000	is that gonna go off 50 times now
366000	368000	i hope not
368000	370000	okay
370000	372000	wait is it gonna go off 50 times
372000	374000	congratulations zimi i love you so much
374000	376000	oh thank you
376000	378000	thank you broly
378000	380000	okay well
380000	382000	i'm muting that
382000	384000	that's gonna be probably really
384000	386000	annoying i'm sorry
386000	388000	alright
388000	390000	because i know people were annoyed by
390000	392000	me saying i'm gay i mean you're gay
392000	394000	over and over again
396000	398000	in my um andy and leily
398000	400000	stream oh thank you mr obby
400000	402000	for gifting
402000	404000	five um memberships
404000	406000	oh hello strani
406000	408000	oh vlog we just started i'm already
408000	410000	i'm already
410000	412000	um
412000	414000	overwhelmed
414000	416000	okay
416000	418000	right
418000	420000	um
420000	422000	thank you
422000	424000	voltage okay
424000	426000	i want to see them dogs
426000	428000	let me explain
428000	430000	first
430000	432000	okay
432000	434000	um right
434000	436000	so first
436000	438000	i have been drinking
438000	440000	before the stream started
440000	442000	um
442000	444000	and i'm gonna keep drinking this is
444000	446000	what is this
448000	450000	this is irish cream
450000	452000	oh thank you anime junk
452000	454000	and uh
454000	456000	ginsaki thank you
456000	458000	for remembering
460000	462000	oh you guys are too nice
462000	464000	it just started chill out
464000	466000	say no more
466000	468000	i'll be running and getting drinks myself
468000	470000	yeah
472000	474000	yeah if you want to
474000	476000	if you want to get drinks
476000	478000	go ahead hello reef links
478000	480000	to any reef links i join
480000	482000	thank you
486000	488000	thank you g's and fubuki
488000	490000	and silvin samurai okay
490000	492000	right
492000	494000	right i'm gonna keep the drink
494000	496000	here so you can see how much
496000	498000	i'm drinking because
498000	500000	i want you to see how much
500000	502000	i'm drinking
502000	504000	maybe you can
506000	508000	moderate me
508000	510000	i have a second bottle in case
510000	512000	i finish the first bottle um
512000	514000	thank you mc
514000	516000	mc and james
516000	518000	and sleepy phoenix hello
518000	520000	thank you for becoming a
520000	522000	a pin pal
522000	524000	do you have water
524000	526000	yes yes i do
528000	530000	right here's my dogs
532000	534000	tada
534000	536000	aren't they so cute
536000	538000	my feet are really sweaty
538000	540000	because i get really
540000	542000	i get really sweaty when i drink
546000	548000	but yeah here they are
548000	550000	the grand reveal now i know
550000	552000	don't shit on me for them being
552000	554000	like all grown out i did that on purpose
554000	556000	okay here you can get a close
556000	558000	up i grew them out on purpose
558000	560000	for this stream specifically
560000	562000	because i'm gluing fake nails onto
562000	564000	them and if
564000	566000	and if there's no nail for me to glue fake
566000	568000	nails onto then what the fuck am i supposed
568000	570000	to stream you know so i grew them out
570000	572000	just for you
572000	574000	they're pretty cute right here have a sniff
574000	576000	give them a little sniff
580000	582000	sniff
586000	588000	alright there you go
594000	596000	right yes
596000	598000	okay
598000	600000	this paper towel is gonna get really
600000	602000	sweaty
604000	606000	so we're drinking don't worry if you drink too much
606000	608000	big bro will take care of you
610000	612000	i feel like you're not gonna take care of me
612000	614000	i feel like you're gonna take advantage
614000	616000	of me if i drink too much
622000	624000	you're not hearing all those
624000	626000	bleeps right i hope not because they're annoying
626000	628000	okay
628000	630000	so
634000	636000	oh thank you
636000	638000	i love you too
640000	642000	thank you
642000	644000	oh my god
644000	646000	we're pretty honorable
646000	648000	yeah no
648000	650000	yeah that's a lie
650000	652000	so that was a fucking lie
652000	654000	right if you don't know what acrylic nails are
654000	656000	i don't know either
658000	660000	mane san made my thumbnail
660000	662000	and i think he didn't know either because he just
662000	664000	wrote um doing my
664000	666000	toenails painting my toenails
666000	668000	that's not what we're doing here today
670000	672000	oh my god
672000	674000	i did drink a little
674000	676000	before this
676000	678000	alright
678000	680000	oh my god
682000	684000	thank you bernie
684000	686000	for becoming a pin pal
686000	688000	and suble
688000	690000	happy monetization thank you
690000	692000	why don't this fucking open
692000	694000	oh
696000	698000	taking care
698000	700000	taking advantage where's the difference
700000	702000	that's fucked up don't make
702000	704000	rape jokes here
704000	706000	that's fucked up
706000	708000	right so here's what we're gonna do
708000	710000	oh i'm so sweaty
710000	712000	so because i want them to be really
712000	714000	long
716000	718000	because i want them oh hi memosa welcome
718000	720000	oh my god you guys you should go follow memosa
720000	722000	i was like texting her until 4am
722000	724000	last night she's super cool
724000	726000	i wanna leave my foot in the shot just for you
726000	728000	if you see any fucking
728000	730000	hair no you didn't
730000	732000	um
734000	736000	right okay i'm gonna glue them
736000	738000	together normally first i gotta keep
738000	740000	my foot in
740000	742000	right
744000	746000	i was there
746000	748000	for what
748000	750000	what were you there for
750000	752000	tickle tickle
752000	754000	i'm gonna glue these two together because i want
