start	end	text
0	21000	Spooky, oooky, pumpkin, he, orange, round, oh boy
21000	27000	He rollin' wobble round the patch, working for a tasty snack
27000	33000	Spooky, oooky, pumpkin, I saw for a flight
33000	39000	He'll bite your toes and then you know he's an evil boy tonight
39000	46000	World-tanned, riddle, squashy one you'll never understand
46000	52000	You think you're super spooky, but really, you're just mad
52000	58000	Spooky, oooky, pumpkin, wumbo all you make
58000	64000	Terrorized the neighborhood on this Halloweeny night
64000	83000	World-tanned, riddle, squashy one you'll never understand
83000	89000	You think you're super spooky, but really you're just mad
89000	95000	Spooky, oooky, pumpkin, he, orange, round, oh boy
95000	101000	He rollin' wobble round the patch, working for a tasty snack
101000	108000	Spooky, oooky, pumpkin, wumbo all you make
108000	118000	Terrorized the neighborhood on this Halloweeny night
119000	129000	World-tanned, riddle, squashy one you'll never understand
