start	end	text
60000	62000	Ah
180000	189000	Oh my god, my hands are there! Hi! Can you hear me good? I feel like the audio might be a little bad.
189000	193000	I don't want it to be cutting me out at all.
197000	205000	Hello, hello, hello! You sound great. Am I getting cut off? Should I make it even louder?
205000	209000	Testing, testing, testing, testing, testing, testing.
216000	218000	I know I'm not muted this time.
220000	221000	Okay.
223000	225000	I can't find the scuff. I know!
225000	231000	Last hand cam stream, it was so scuffed. The ASMR was so bad. I'm so sorry.
231000	236000	I figured out how to fix my camera so now you can actually see in good quality.
236000	241000	Also, my tracking isn't going to be as good because it was harder to set up.
242000	246000	It's not as simple as it looks. Okay, there's a lot of wires around me.
247000	251000	And there's a lot of technology around me, okay?
251000	254000	So sorry if the tracking isn't as good.
255000	261000	Hello, welcome. What happened to your pink setup? What do you mean by pink?
261000	264000	Oh, you mean like my mousepad? I'm on the floor today.
268000	273000	This is the two that I got. They're pop and cook and so basically they're just candy.
275000	280000	They're just candy. They're just candy and they look like food.
280000	286000	So this one's like the American one and then this one's like the Japanese one.
288000	289000	It's just the Japanese one.
289000	293000	So we're going to make, I don't know if we'll make both of these, but we're going to make at least one of them.
295000	299000	But yeah, we're on the floor. Floor gang. Floor wire at random? No.
300000	302000	The whole thing's going to come tumbling down.
303000	316000	Yeah, floor shim. I'm on a blanket today. Should I move my, I know you can see like my iPhone over there.
316000	319000	Sorry, sorry if it's annoying.
322000	326000	Which one do you want to, oh wait, first before we do anything.
332000	338000	The long awaited introduction. I have to introduce you to my rats now, don't I?
342000	346000	Right? Yep. It's time for you to meet the family.
347000	351000	We're getting really serious now. Oh no.
353000	358000	Is my camera getting fucked up? What are those? What are those?
362000	364000	Do you see that?
367000	370000	Bro, I thought there was going to be no scuff. This is a new camera. What the hell?
378000	383000	You do see that? Radiation?
384000	385000	Cough.
389000	390000	Hmm.
393000	394000	Hmm.
397000	398000	Dammit.
401000	402000	Sigh.
402000	403000	Sigh.
412000	423000	Okay, I'm going to switch cameras to my, um, to my phone. I'm going to use my phone as a camera.
424000	425000	Okay?
426000	427000	So I'll be right back.
432000	440000	I'll be right back. I'm going to try using my phone. I'm so pissed this is a new camera. What the fuck?
462000	463000	Okay.
492000	493000	Okay.
522000	523000	Okay.
552000	553000	Okay.
582000	583000	Okay.
612000	613000	Okay.
642000	643000	Okay.
672000	673000	Okay.
702000	703000	Okay.
732000	733000	Okay.
762000	763000	Okay.
792000	794000	Okay.
822000	823000	Okay.
852000	854000	Okay.
882000	884000	Okay.
912000	914000	Okay.
942000	944000	Okay.
972000	974000	Okay.
1002000	1004000	Okay.
1032000	1034000	Okay.
1062000	1064000	Okay.
1092000	1094000	Okay.
1122000	1124000	Okay.
1153000	1163000	Okay.
1171000	1172000	Okay.
1172000	1173000	Let me try something.
1182000	1208800	are you gay? oh my god! why are you acting so gay?
1208800	1213600	i'm sorry immy but i think the glitch wasn't the camera this and screen was glitching too
1214960	1221360	huh sorry oh my god it played on my freaking speakers i'm sorry let me change that too
1224000	1225120	it wasn't the camera
1225120	1227120	huh
1233520	1238480	this and screen was glitching too what isn't my whole isn't my whole bs
1243440	1246720	it was only glitching in the one spot bro you guys are confusing me
1247120	1259680	hey okay i used a different here's my vtube studio okay i used a different um
1263600	1268320	i use i have to change my blanket because i fucking got water all over it um
1268320	1270320	um
1273120	1274880	you can't donate you should be able to
1278480	1281920	yeah i had to change my blanket because i got water all over it um
1284080	1286640	i don't want you to see my feet though oh my god
1287360	1298240	okay well here's our new setup if you see my feet tell me so i can move move them away
1299440	1307440	okay are we safe are we safe can you see good is it glitching
1309680	1315280	this is a different camera i know my i know my tracking is bad but other than that
1317360	1324960	okay nails thank you thank you thank you no glitch no free feet looks good looks good looks good
1328160	1335040	okay okay tracking is fine it keeps uh breaking because i'm looking away from
1336000	1337920	i'm looking away from the um
1338240	1347440	from the fucking i can't i can't i can't think from the iphone looks good your
1347440	1351440	blankets don't thank you you sound like lividy i wonder why
1356000	1363440	okay okay fucking hell i'm so sorry for all this stuff let me situate i need to use
1364160	1371760	i need to use the boxes to like situate okay oh wow we have a lot more space now here okay
1372320	1380480	i'm gonna go get let me i'm gonna go get more water because i spilled all of it on my blanket
1383760	1390800	and then i'm going to show you my fucking rats and then we're gonna start cooking okay okay
1393920	1397200	lividy who's that sounds new i don't know who that is i've never heard of her
1399840	1410800	um all right i'll be right back i gotta get more water
1423440	1425600	don't
1453440	1468920	oh my god hello oh okay okay we're ready it's your birthday today cake and ice cream
1468920	1476120	is on the way what what do you mean it's my birthday are you ready to read the to meet
1476120	1495800	the rats are you ready to meet the rats yes okay okay okay let me show you the
1495800	1521280	first one well whoever I can get in my freaking hands first okay okay our first
1521280	1531880	contender is Luna all right no pixie sorry oh she's so scared this is pixie
1531880	1538560	there you go oh she's really scared oh she's scared of the light I think it's
1538560	1549520	okay pookie oh she's she's she wants underneath my legs I'm trying to like
1549520	1560920	get my my knees in shot so she'll come out come oh you can't see her she's scared
1560920	1572720	should I just turn off my model cuz it's so laggy come on there you go there you
1572720	1579040	go come on out okay I'm gonna turn off my model completely it's like really laggy
1579040	1595280	cool let's get the next one out
1609040	1630680	okay this one this one is Luna oh she's not as scared and then let me see if I
1630680	1642080	can get I can honestly say that I never expected to like your streams as much as
1642080	1647440	I do you are honestly the best and I hope to be able to enjoy your streams for years to
1647440	1674160	come hey this one's in her pod that one's Esteban okay I think the last one already
1674160	1689920	left the cage so she'll be walking around um how many rats you have I have four stop
1689920	1703840	don't look at my feet stop stop stop don't look at them okay now we can actually start
1703840	1708720	on the cooking cooking in the nook and which one do you want to do first I'll let you choose
1708720	1714360	do you want to do the the American one do you want to do McDonald's or do you want to
1714360	1725960	do um what is this what would this be called like should I do a poll wait I can't do a
1725960	1737440	poll can I how do I make a poll is there a mod here that can make a poll for me can a
1737440	1744040	mod please please make a poll for which one you can do like the colors um green or blue
1744040	1764440	this one's green and this one's blue mod check any mods in chat hello am I alone in here damn
1764440	1774240	we can't you can't make polls oh I'm the only one that can make a poll shit all right well I
1774240	1780280	want to choose this one because I want to if the mods can't do it I'll just choose let me wipe off
1780280	1787920	all the freaking lube from my camera make sure it's nice and clear there's chat yep okay great
1788480	1802800	hmm I'll move that further away we're doing work here first what's that what I didn't use it for
1802800	1809160	anything I don't know what you're talking about what I'll fucking eat scissors right right let me
1809160	1813920	go get scissors and then I have a fun update to give you guys I have a really fun update to give
1813920	1823920	you let me move my freaking phone too
1843920	1866400	okay brave to leave food and rat distance they will they will be they will be going for it trust
