start	end	text
120000	149220	oh wait did she be just raid us why is the font slave raid oh thank you for the raid
149220	158380	she be oh right welcome she's here how did she be stream go I think I think
158380	163260	I noticed she was also playing some sort of scary game right I couldn't tell it
163260	172500	was something bunny bunny something right don't say slavery but isn't that
173020	180460	your slaves are reading I'm reading the stream are they not your slaves or
180460	187300	bunny came yeah oh that's on brand for her she muted a guy that said he was a
187300	193460	diamond went mad with power why would anyone why would any Dom enter she be
193460	197880	stream that's just asking to get slapped across the face that's asking to get
197880	210920	hung by your balls hi hi welcome welcome we say read what are we what do you mean
210920	219240	what are we according to she be your hair and your hair and or her slaves
220240	231920	mods testicular torsion mods I cast a stick your torsion on you okay I'm
231920	236800	currently waiting for poppy playtime to finish downloading I thought I had it
236800	241000	installed already but apparently I didn't I think because it's a DLC it
241000	247360	didn't transfer because I'm family sharing with my other account so I guess
247360	253040	I had to have to download it again let's see now I'm playing chapter 2 because
253040	273680	I've already played chapter 1 and wait oh fuck it's on my speakers let me close
273680	281840	the game yeah I already I already played chapter 1 so yeah that's why I'm playing
281840	296720	chapter 2 chapter 1 was a fucking mess yes I'm still feeling sick for some
296720	308960	reason my my audio help put device
309400	316600	yes try that again also I want to say thank you for all the nice marshmallows
316600	322320	I've gotten I really really want to answer every single one I don't know if I'll
322320	327520	get to it but I really really want to try just give me some time okay chapter 2
327520	335040	and 3 are so much better are they oh god that's loud okay let me adjust some stuff
335040	345280	first so brightness all the way up okay mostly up music down sounds down
352320	363240	okay
364520	374520	I think that should be that should be good I prefer 2 and 3 okay okay okay well
374520	379920	then we'll see I was like when I say one was bad I mean like I fucking failed
380080	386480	at every single puzzle that's what I mean oh thank you for all the orange hearts
386480	397320	thank you as long as they make you smile that's all that counts oh okay okay
397320	420080	let me move to a different screen is that capturing good nope nope nope oh that
420080	427160	is not capturing good okay are you okay if I have like a random gap I don't know
427160	433280	why maybe I can change the resolution to be better I don't know why that gap is
433280	449600	there I see is totally more of a brat than me I am not as much of a brat as
449600	462680	she is you like cats or maybe full-screen would make it gapless oh oh but
462680	470280	now every time I click I always have trouble with this game oh there we go
470280	484800	now it's gapless wait why am I floating am I floating for anyone every time I
484800	489840	click back on to I'm so confused okay I'm just gonna make it windowed and
