start	end	text
60000	68700	Yeah.
180000	190840	I have a confession to make today, to all of you.
190840	200640	Would you still love me if I was disgusting, if I was nasty, if I was gross, dirty, stinky?
200640	201640	Yeah?
201640	202640	Yeah?
202640	203640	You would?
203640	210640	You wouldn't go back on that, right?
210640	219640	You wouldn't change your mind after you hear what I have to say, would you?
219640	221640	No?
221640	232640	Well, then I guess I can say it.
233640	236640	Pin pals?
236640	240640	I shot myself this morning!
248640	251640	I shot myself!
251640	257640	I took a big ol' boopie in my pants!
257640	260640	Okay, so you still love me, right?
260640	263640	Take it back!
263640	264640	Say it!
264640	266640	Say it!
266640	269640	Say it, say yes!
269640	274640	It doesn't matter the context, I'll tell you the context, but I need you to say yes first.
274640	281640	Okay, okay, good.
281640	283640	Okay, I'll tell you the context!
283640	287640	Oh fuck, no!
287640	289640	That's it, that's the stream.
289640	295640	That's it, I'm done, that's all I have to say for today!
295640	300640	Okay, okay.
300640	304640	I'll tell you the context.
304640	309640	So, you know how I said I was sick yesterday?
309640	318640	Well, today I was just sitting on my computer looking at TikToks to show you for the stream.
318640	321640	And I felt like I needed to fart.
321640	329640	So, you know, as one does when they feel like they need to fart, I farted.
329640	336640	Um, little did I know that it was not truly a fart.
336640	343640	It was going to be a shark.
343640	349640	Ew, ew.
349640	355640	I sharded my pants!
355640	361640	Way more than a little came out, it was so gross, it was so like...
361640	363640	Should I go into the texture?
363640	366640	I don't have a shit kink, I don't have a shit kink.
366640	375640	Don't, I don't have a shit kink, please don't start like thinking that I do, okay?
375640	379640	I'm not into poo poo poo poo, okay?
379640	384640	I'm eating sausage rolls.
384640	388640	I just thought it was a funny story to tell you.
388640	393640	And you would tell me if you shot yourself too, right?
393640	401640	I want you to tell me, I want to hear all of your embarrassing stories.
401640	408640	And I'm also drinking coke.
408640	410640	Right.
410640	414640	No, I don't want pictures of your shit!
414640	422640	No, we're not that close yet, we're not that close yet for you to send me pictures of your poop.
423640	435640	Right, before I start, thank you to the person who got me a drawing tablet because now I can do an art stream.
435640	438640	And I really want to design a 2.0.
438640	443640	Now, I think some people misunderstood me the first time when I said I wanted to make a 2.0.
443640	446640	So let me clarify myself.
446640	449640	What are sausage rolls?
449640	452640	It's sausage with bread inside.
452640	455640	Poop tributes instead of cum tributes?
455640	459640	I mean, I shot on the toilet to the thought of you today.
459640	461640	I love you.
461640	463640	Right.
463640	468640	So, um, uh, uh, uh, uh, yeah.
468640	471640	So I, it's not like I don't like this design.
471640	478640	I think it's really cute, I really like it, but also like, you know, I, as an artist, I'm very picky.
478640	480640	And I want to be emo.
480640	486640	Um, but that doesn't mean I'm going to like unlollify myself, lollify my, unlollify myself.
486640	487640	I'll still look the same.
487640	494640	I'm not going to give myself, myself like giant tits and ass and make myself like five foot seven or anything.
494640	496640	I'm going to look the same mostly.
496640	502640	I just, well, not the same, but like, uh, uh, uh, uh.
502640	506640	Like the character itself will remain the same, you know?
506640	510640	So yeah.
510640	511640	I want to do that next week.
511640	513640	I think that would be really fun.
513640	515640	Yeah, like a hot topic.
515640	517640	We're going to design it next week together.
517640	526640	I really want to.
526640	528640	Could have an opi toggle.
528640	529640	I don't think I'm going to do that.
529640	535640	I don't think people want me to do that.
535640	538640	You know, I'm the special one in this, in this group.
538640	541640	I'm the special one because I'm the only one without boobs.
541640	542640	Okay.
542640	545640	I think that's all I had to say.
545640	549640	Oh, piercings would be really fun.
549640	557640	Oh, now you got me thinking where the piercing could go.
557640	563640	So, so, so, um, no, I'm not turning myself into a furry.
563640	565640	Absolutely not.
565640	570640	So I picked out.
570640	574640	Let me make sure sound is okay.
574640	582640	Should I go to the gaming screen?
582640	583640	Yeah.
583640	586640	If you want to give me scars, that's fine.
586640	592640	Like, um, you can like make a, sorry, I am still sick.
592640	595640	I showed myself this morning.
595640	599640	If you want to do like a Pinterest board or something.
599640	604640	Um, and you can send me the link to it through marshmallow.
604640	605640	That's cool.
605640	606640	Obviously.
606640	607640	Yeah.
607640	610640	I think you can send the link.
610640	613640	Um, go ahead.
613640	616640	Okay.
616640	619640	So RGB boom tattoo.
619640	621640	Maybe I can make it glow.
621640	629640	But apparently, apparently I learned very, very, uh, recently that a womb tattoo that
629640	634640	glows is a womb tattoo that's been, or no, a womb tattoo that glows is a womb that's
634640	640640	been, um, fertilized.
640640	642640	And I didn't know that.
642640	650640	So I feel like, how long should I make by you?
650640	654640	Should I make my womb tattoo glow?
654640	658640	Is that what you want?
658640	659640	Okay.
659640	664640	Um, so how am I going to do this?
664640	666640	I downloaded a bunch of Tik Toks.
666640	673640	It's probably not enough to fill up the whole time, but basically what I want to do here,
673640	680640	well, I'm eating my sausage rolls.
680640	691640	Um, gender bench version of myself.
691640	699640	Um, I don't see why not because it's still me, but also I don't want to, I don't really
699640	701640	want to be gender bent.
701640	708640	I feel like if I'm going to put all this effort into a model, I want to be like me.
708640	712640	With two inch, shut the fuck up about my two inch cock.
712640	714640	It's way bigger than that.
714640	720640	Someone a long time ago, like, head cannon that my dick is two inches long, and now everyone's
720640	723640	just going for it and saying I have a two inch long penis.
723640	727640	It's, and they gave I see a seven inch long penis.
727640	728640	Like what the hell?
728640	729640	That's not fair.
729640	746640	I should be the one with a seven inch long dick.
746640	749640	Two inches is big.
749640	754640	Oh, I'm going to hold my, I'm going to hold your hand when I, when I tell you this, but
754640	756640	it's not.
756640	757640	Okay.
757640	759640	How am I going to do this?
759640	761640	That's not right.
761640	762640	Okay.
762640	763640	Right.
763640	764640	So.
764640	765640	All right.
765640	767640	If you see my full name and address.
767640	768640	Okay.
768640	769640	Okay.
769640	770640	Okay.
770640	771640	Okay.
771640	772640	Okay.
772640	773640	Okay.
773640	774640	Okay.
774640	775640	Okay.
775640	776640	Okay.
776640	777640	Okay.
777640	778640	Okay.
778640	779640	Okay.
779640	780640	Okay.
780640	781640	Okay.
781640	782640	Okay.
782640	783640	Okay.
783640	784640	Okay.
784640	785640	Okay.
785640	786640	Okay.
786640	787640	All right.
787640	789640	If you see my full name and address, please close your eyes.
789640	793640	Oh that's not it.
793640	794640	Okay.
794640	797640	Why does VeeTube studio work?
797640	801640	Why does it say that it's capturing VeeTube studio?
801640	803640	What?
803640	811640	I'll put it over there.
811640	813640	Okay.
813640	817120	Okay, that doesn't work wrong thing
820160	822160	Okay, let's not do that
831640	834200	Oh, there we go there we go
834360	836360	Oh
840440	843360	She's an iPhone or what makes you know what makes you say that
844360	849360	Wait, did you see that I have iPhone connected? Oh, yeah, of course. I have my oh wait now you can see everything
852080	854200	Is there nothing anything sus in there
855600	860280	No, of course I have an iPhone connected. I'm using a freaking model. All right
864800	871180	I'm using a vtuber model. Of course. I have an iPhone. There we go. There it is. Okay, and now the sound we just need sound
873240	875240	This one
880480	886640	Okay, well if I you know accidentally make it too loud, I'm sorry. Yeah, let me turn off the background music
886640	893320	Yeah, thank you for the suggestion. I found his trash. Well, it's good for tracking vtubers. Unfortunately
894960	896960	I
897280	899280	Right
900760	903840	So how this is gonna work is I'm gonna show you a
905200	907200	Tiktok and
907200	911040	I want now these are all my favorite tiktoks from like the past few weeks
911040	917800	I've curated curated my folder here of my favorites. So I want you
918600	921180	I want you to rate them. Yeah
921840	923840	You're the one doing the meme review
924200	925880	Okay
925880	929520	So, yeah, I want you to read every single one
938000	942480	I curated it just for you, right? I think they're funny
943800	945800	Okay, so
946160	951280	Guys seriously, how do I get my roommate's boyfriend to stop serenading her in my presence?
954280	958680	And then they fucking go in for a snuggle. That's okay
960960	962960	That's really all
963360	969600	This is why I'm happy that my mom never forced me to live on campus with a roommate because this is what I imagine it's like
971800	973800	Absolutely no shame
975080	977880	Absolutely no shame just in front of the roommate the poor girl
978000	983960	If I was her I'd be really pissed because I hate seeing happy cobbles in front of me
984880	990040	Okay, next one next one next one. I do work here. Yes, I do. Can I help you you work here? Yes
990040	996560	How may I help you? I'm glad somebody does I'm looking for a kentia palm. Okay, kentia palm specifically
996840	1001280	You work at a plant nursery. I'm gonna make a bold assumption that you know what that is kentia palm
1001280	1005400	Yeah, let me look at our system just so I can see if we have it in stock
1006200	1008200	Sir sir
1009480	1014000	Hello, sir, we're still looking. Okay. We're still looking for that kentia palm. We have one in the back
1014160	1019400	They're putting it in my car right now. Oh, excellent. I'm glad you found me 20 minutes to find it. Oh
1019680	1024120	20 minutes. Oh, no, I didn't know I was gonna go on a wild goose chase today
1024120	1028720	But I guess he's making it sound like it's your fault to let you know. Well, sorry about that, sir
1028720	1031520	Yeah, I just want to let you know. Yeah, really sorry, sir
1032240	1034240	Sorry you had to go through that. Oh
1034240	1037000	Hi, sir. Do you need help moving it to your car? There he is
1038800	1043240	What are you talking about? I deliberately sold me the wrong tree the biggest fucking waste of time. Come on, dad
1043240	1044600	Please calm down
1044600	1051000	My son, dad, he'd like to talk to you. Hello, my son. You said a nurse speaker. Hi, sir
1051000	1054920	I work here at the nursery. I was just trying to tell your dad that we do have a kentia palm
1054920	1060000	Oh my god, the face. You're still interested in buying it. You hear that dad. They have it. There isn't a problem
1060400	1065000	Hey, man, I'm really sorry about this. Oh, don't need to apologize. This happens all the time
1065480	1073840	He looks constipated. Okay. So the only reason I show you this is because I've worked in customer service and this felt very
1076320	1078320	Relatable to me
1078360	1080120	Five out of ten
1080120	1084400	Come on. That was the least of six. That was the least of six. Maybe sharding out
1085280	1090400	Sharding out of ten. I'm gonna shard on you next time every time I fart. I'm gonna aim it towards you
1090400	1094200	I'm gonna turn around and aim it towards you and that way if I sure it's gonna be on you
1098160	1103600	If you've worked customer service, you know how relatable this is okay old people like
1104400	1106400	They make everything your fault
1106880	1110980	Basically, oh, this was priced wrong. It was your fault and you need to fix it for me right now
1115280	1116080	I
1116080	1118080	Don't think I have any I
1119040	1124160	Do have like one guy who came in once I used to work at a grocery store. Oh
1125320	1127980	My god, I used to work at a grocery store
1130080	1135060	A long time ago as a cashier and this one guy came up to me and he was like
1135600	1140320	How much are the chicken like the roasted chickens and I was like, I don't know
1141280	1150000	Like I may be a long time ago when boomers worked that that's like the norm for cashiers to know the prices of everything
1150000	1154520	But I said, I don't know but you can go look yourself. So he comes back with a chicken. I
1155360	1161360	Scan it and he's like no no no no no no a couple weeks ago. The chicken was like 699
1161440	1166080	Why is it 899 now or something like that and I'm in my head. I'm thinking well
1166080	1168080	I didn't work here a couple weeks ago
1168560	1170560	So I don't know so I just told him like
1171520	1175360	I don't know. Do you want me to call a manager?
1176400	1181440	And he straight up said no, don't call a manager. The chicken should be 699
1183040	1187040	Anyways in the end, I think he ended up leaving out of anger because he didn't get his chicken
1188560	1190560	But
1190720	1194240	I don't I don't like boomers. It's called inflation literally
1196560	1201600	I carefully peeled off the label on my Cosmo Stanley tumbler
1202880	1206160	The packaging was so cute. I had to get it laminated
1206880	1210800	Fucking water top and I rolled it up and tied it with a scrunchie
1211440	1214000	And heated it with a blow dryer
1214640	1218640	To tie it with the scrunchie. I added some glue dots to the back
1219840	1225600	And now I can use my tumbler. I'll give you context on this one. I'm messing up the label. I'll give you context
1227040	1231280	Okay, I didn't realize this one might require context. So
1233280	1237120	Basically, do you know those Stanley cups that are really popular?
1238880	1242960	This tick tock is using the sound of a girl
1243600	1249360	Who laminated the wrap like the cardboard wrap around her new Stanley cups
1249360	1252960	So that way she could keep it on the cup like forever
1253920	1259360	It's like a weird obsession with Stanley cups people people collect like
1260000	1263360	Like hundreds of them evolve all the colors. Did you know that?
1265360	1267760	Free lead poisoning. Wait, does it have lead poisoning?
