start	end	text
0	8600	If you thought me being flat and short was rough, just wait until you see my lore.
8600	11160	Oh, wait, I can't spoil that yet.
11160	12160	Dammit!
12160	13160	Ahem.
13160	19960	I'm Imi Bizu, the smallest member of Yolor at 140cm tall, but I'm still growing, I swear.
19960	23920	Whoever has my voodoo doll out there, please stretch me out so I can be tall.
23920	26400	I don't think it would be wise to bully me.
26400	29960	No, if anything, I'm the one who bullies.
30480	34320	I suppose it'd be fair if you called me a hex maniac since I do have an inexplicable
34320	39280	connection to the dead, but that's not the only freaky sh** I get up to.
39280	41920	Why not find out more at my debut on June 1st?
41920	44600	I'll be waiting for you, Onii-chan.
