start	end	text
210000	214000	...
214000	218040	...
218040	222060	...
222060	226080	...
226080	230080	...
230080	234080	...
234080	238080	...
238080	240140	you
268080	297080	oh hello can you hear me now? is everything okay? good, good, good, hi, hi, hello, hello, hello, hello, hello, we hear you, okay, good, good, good, welcome, welcome, welcome
298080	307080	um oh I suddenly got very dizzy um okay I think everything should be good with the audio
307080	311080	let me turn on the background music because it's, it fits our theme
311080	317080	hello oh my god what an eventful day right?
317080	323080	okay well if you saw my twitter it was slightly eventful because I made my announcement
323080	328080	I'm once again eating sausage rolls
328080	336080	Strani asks if you are on RuneScape with her right now, no?
336080	340080	I don't even know how to play RuneScape, I don't have RuneScape
340080	344080	why is someone trolling her?
344080	348080	is someone trolling her as me or something?
348080	356080	I'm dipping my sausage rolls in sriracha sauce too
356080	367080	it was an imposter?
367080	374080	you have RuneScape it came free with your xbox? why do you assume I have an xbox?
374080	377080	I don't have an xbox
377080	383080	don't forget to drink your water if you're gonna read everything ah fuck is there a lot of dialogue?
383080	387080	this is gonna be rough, okay
387080	392080	how long is this game? right yeah sorry today we're playing the coffin of Andy and Lele
392080	397080	I've never played it before, apparently there's some themes that relate to me
397080	406080	um now I know the, I know the um
406080	408080	can I say it? I think I can say it
408080	415080	I know the incest route is like an optional route so you're gonna have to um
415080	418080	you're gonna have to lead me down that route
418080	423080	okay um we're gonna have to go down that route
423080	426080	you and me both are going down the incest route
426080	429080	it's 10 hours long ah shit
429080	435080	um okay well we can't finish it today then
435080	438080	of course we're intentionally doing it, what do you mean?
438080	443080	no blind run? no of course do you wanna, you're gonna watch me play this fucking game
443080	450080	and you're gonna expect me to not go through the incest route, what do you mean?
450080	461080	of course we're going down the incest route, it's not even a choice
461080	468080	I can't do a 10 hour stream, I'm sorry
468080	478080	right before we start let me test something
478080	480080	my name is Andy I don't think I should be watching this
480080	484080	well you're in luck because my name is Lele
484080	489080	today I'm Lele or is it Lele? it's not Lele is it?
489080	497080	it's Lele right?
497080	500080	it should come naturally to me? I don't know
500080	506080	I'm not really good at getting the endings I want in visual novels
506080	510080	so I don't know if I'll be able to get the right ending
510080	515080	alright so I think I fixed the super chat, not the super chat, the tip
515080	523080	so let me test it out
523080	525080	what should I say?
525080	530080	give me a sentence to test the tip alert with
530080	534080	give me a funny sentence
534080	543080	to see because I have text to speech on but I'm not sure if it's gonna work
543080	547080	Pog? come on get creative
547080	559080	just the tip
559080	564080	okay
564080	570080	it means the best little sister in the world she's the only girl I need in my life and I love her a lot
570080	572080	I'm happy I still remember that
572080	575080	are you gay? why are you acting so gay?
575080	577080	just the tip
577080	579080	it worked
579080	581080	thank you Rigo
581080	584080	thank you for the tip
584080	587080	thank you for the tip big brother
587080	590080	okay well this is what I was gonna say
590080	593080	are you gay? why are you acting so gay?
593080	598080	please just put the tip
598080	603080	can you hear it good?
603080	607080	nice tip can you hear it good?
607080	613080	is Jake around? shut up
613080	618080	do I need to send you the therapy?
618080	621080	to fix that little...
621080	624080	sorry I'm not trying to get problematic here
624080	627080	can you hear very well? okay
627080	630080	right glad you're back
630080	634080	I'm glad to be back
634080	640080	Jake is my neighbor that I rant about
640080	644080	yeah shut up about Jake
644080	650080	do you suffer from homosexual psychosis?
650080	656080	right from state fire
656080	664080	how do we send tips? it's in my description the stream elements link
664080	666080	okay
666080	676080	let me show you the game
676080	680080	are you gay? why are you acting so gay?
680080	682080	remember to kiss your sister
682080	685080	oh why is it cut off shit? let me fix that
685080	688080	let me fix that
688080	693080	thank you for the tip
693080	697080	uh uh uh uh uh
697080	702080	I gotta make it wider I guess
702080	706080	okay there now I shouldn't get cut off
706080	709080	what are you eating? I'm eating sausage rolls
709080	714080	from
714080	718080	from the drugstore?
718080	721080	next door I think
721080	723080	yeah I'm eating sausage rolls from the drugstore
723080	726080	like frozen ones
726080	733080	they say being gay isn't a choice but a competition
733080	736080	if that's the case then I'm dk
736080	740080	what's dk mean?
740080	746080	um
746080	748080	display capture
748080	756080	this one there we go
756080	758080	what the fuck
758080	761080	why is this game so strangely formatted?
761080	768080	is that good?
768080	770080	oh my god
770080	773080	why do I have so many formatting issues?
773080	776080	that should be good
776080	779080	there okay
779080	783080	disqualified oh why are you disqualified though
783080	788080	are you gay?
788080	790080	why are you acting so gay?
790080	794080	I'm happy I'm actually Andy
794080	796080	I'm happy you're actually Andy too
796080	801080	thank you for the tip 420
801080	804080	okay okay okay okay
804080	806080	let's play let's play let's play
806080	808080	um so I can't see my mouse
808080	810080	I think that's on purpose right?
810080	813080	we play we don't
813080	815080	oh okay
815080	818080	was the space to interact
818080	820080	exit shift to run
820080	824080	I have to run in this game?
825080	828080	it's an RPG maker game
828080	830080	the native resolution is a square
830080	832080	oh that's stupid they should stop doing that
832080	836080	no one's monitor is square shaped anymore
836080	838080	make them rectangle
838080	840080	like a freaking normal person
846080	848080	weed eater
848080	850080	what do you mean weed eater?
850080	853080	are you accusing me of being on drugs?
854080	859080	this isn't a horror game right?
859080	861080	right?
864080	866080	alright hold on
867080	869080	okay I finished my sausages
869080	870080	um
870080	871080	Lay Lay
871080	872080	I don't
872080	874080	want to
874080	876080	well I do
876080	879080	I don't think I should use that voice ramp
880080	882080	are you gay?
882080	885080	why are you acting so gay?
885080	888080	an eating animation is the absolute best
888080	890080	okay now it shouldn't get cut off
890080	892080	Jesus thank you for the $3 tip
892080	894080	it's not eating animation
894080	896080	it's just my mouth moving
898080	900080	I made Andy a smoker
900080	901080	I'm sorry I'm sorry I'm sorry
901080	903080	just go over and
904080	906080	are you gay?
906080	908080	why are you acting so gay?
908080	910080	I don't suffer from my psychosis
910080	912080	I have sex with her
913080	915080	I don't suffer from my psychosis
915080	918080	I have sex with her
918080	921080	are you having sex with the voices in your head?
921080	923080	what?
925080	927080	use the deco voice for Andy?
927080	929080	I can't I can't all the time
929080	930080	I don't know what she's saying there
930080	932080	something to something you
932080	934080	I thought she's your friend
934080	937080	mom said you'd help me with anything
938080	940080	are you gay?
940080	942080	why are you acting so gay?
942080	944080	snacks money for the good girl
944080	946080	thank you for snacks money
946080	948080	thank you Wolfman Dave
948080	950080	thank you
952080	954080	oh psychosis
