start	end	text
0	11040	oh big brother there's no one else like you mom and dad may call you a
11040	15480	disappointment all the kids at school call you weird and stinky and creepy
15480	23440	and stinky but they're all wrong not about being stinky though but it's my
23440	31160	favorite stench sure you're a general pervert to most women in town you dress
31160	35440	like you're homeless you went to juvie twice before the age of 12 but they're
35440	41680	all wrong about you all of them every single cop and priest and guidance
41680	47440	counselor and medical professional and fast food cashier all the funny pranks
47440	61920	we used to do our big big heists our nights together I miss them I know it's
61920	71320	been a while since I last saw you I'm sorry you might not care but mom and dad
71320	77200	stop talking about you for a while now they act like you never existed they
77200	85120	smile a lot more now as if they didn't see what I saw so I left them I don't
85120	91720	need them anyway when I have you back all we'll need is each other and they
91720	96160	don't even know I found your book so they don't know that I can bring you back
96160	104800	I don't want to mess it up like last time and the time before that but don't make
104800	112240	fun of me I was new at it so I'm gonna be a big pro before I bring back my big
112240	119560	bro oh right last time we talked you said someone was keeping you from coming
119560	127080	back well that's what I figured between all your screaming you were probably a
127080	134560	pro at this magical stuff huh big bro which means they must be real nasty to
134560	140920	be able to keep you from coming back I'm still starting out so I make lots of
140920	147800	mistakes but I'm not scared I've been practicing all over town I'm leveling up
147800	152840	so I can smash the final boss as soon as I see him and then I'll find them got
152840	160000	them bring you back and then we can everything will be perfect yeah I don't
160000	166840	care who it is ghost an angel or even the devil herself you're gonna be back
166840	178120	home again and we can finally I hope you can still hear me no I know you can I
178120	184040	know you do the same for me so never think that I'll quit I'll tear through
184040	189320	hell and earth myself if I have to I'll practice and practice and practice and
189320	197320	when I'm the perfect woman for you I will take you home wait for me I'll see
197320	200280	you later big bro
