start	end	text
0	1760	Being a VTuber must be so easy.
1760	2540	WRONG!
2540	8080	It might look fine on the surface, but I assure you, everything can, and will go wrong at one point.
8080	11460	1. Your model tracking can glitch out.
11460	17500	2. Your audio can break overnight, even though you haven't changed a single setting from the last time you stream.
17500	23000	3. Your PC can and will randomly bug you to update in the middle of an emotional scene in the video game.
23000	28880	4. Your internet provider will decide that right before you stream to die and offer you a tiddly wink of bandwidth,
28880	30880	even though you pay premium rates.
30880	34760	5. Your audience won't be notified of the things you're up to.
34760	37200	Aw, thanks to the algorithm game on social media!
37200	41960	So you constantly get people confused when you reference an older stream that they have no idea about.
41960	45600	Should I keep going because I can complain all night long, Senpai?
