start	end	text
0	2700	Senpai, should I have been blonde?
2700	5100	Now I'm serious when I ask you that, you see?
5100	6700	I didn't always look like this.
6700	8900	In development, I actually looked more like this.
8900	10700	You notice my hair drills?
10700	13600	I also was a bit more modest, wasn't I?
13600	15600	Oh, nai modist.
16400	18200	See how different I could have been?
18200	20800	Eventually, Vialor made me just like this.
20800	21900	And isn't it perfect?
21900	24300	You like my final version now, right?
24300	26200	Right, Senpai?
