start	end	text
0	3400	The only thing I'll gatekeep is my Senpai, but not V-Tubing.
3400	5500	Do you need free background songs for V-Tubing?
5500	6600	Use Dova Syndrome.
6600	8800	Do you need those funny cartoons using shorts?
8800	10200	Use Irassu Toya.
10200	12900	See an image you want to credit but can't source properly?
12900	13700	Yandex.
13700	17300	Search through free V-Tuber assets using the V-Tuber asset discord.
17300	19600	Don't worry, you don't have to say thank you.
19600	21300	I already know how great for you are.
21300	21800	Hehehe.
