start	end	text
0	8320	What are you doing?
300000	311860	Waaaaaah!
314860	318940	Waaaaaaaaaah!
322020	326240	Waaaaaah! Welcome!
326240	328580	Snipped at some pies.
328580	331340	Welcome to the stream.
332620	334420	Waaag!
334700	335660	Guess what?
337940	343300	I almost missed stream because I decided to take a nap.
346540	348380	I decided to take a nap.
348380	360380	And I slept through the three alarms that I set up.
360380	365940	So I guess everyone was just really tired.
365940	367780	Anyways, welcome to the stream.
367780	370780	Today we're playing a game called Difficult Game About Climbing.
370780	372500	Why can this man not use his legs?
372500	373500	I don't know.
374500	377500	But we're playing.
393500	395500	Which arm do I release this arm?
395500	396500	Yeah.
404500	405500	Eee!
409500	410500	Eee!
410500	411500	Oh!
411500	412500	Eee!
412500	413500	Waaag!
416500	417500	Eee!
417500	418500	Ah!
419500	420500	Eee!
420500	421500	Eee!
421500	422500	Eee!
422500	423500	Yeah!
425500	427500	Eee!
427500	429500	Eee!
430500	431500	Yeah.
439500	440500	Okay.
440500	441500	We're gaming.
441500	443500	We're...
443500	445500	We're gaming.
445500	446500	Wee.
453500	455500	Move your hand over here.
455500	456500	Thank you.
456500	457500	Wee!
457500	458500	Wee!
459500	460500	Wee game!
461500	462500	Wee game it!
462500	463500	Yeah!
466500	467500	Wee game it!
468500	469500	Game!
470500	471500	Ugh!
471500	472500	Yeah!
472500	473500	I'm so good at this!
473500	474500	Ah-ha-ha!
474500	475500	Ah-ha-ha!
475500	476500	Ah-ha-ha!
476500	477500	Ah-ha-ha!
477500	478500	Ah-ha!
479500	480500	Ah!
480500	481500	Eee!
482500	483500	Eh?
483500	484500	Eh?
485500	486500	Eh?
486500	487500	Ah...
490500	491500	Hi.
492500	493500	It's really high.
496500	497500	Do it.
497500	498500	Eee!
498500	499500	Can I?
503500	504500	Eee!
505500	506500	Okay!
510500	511500	Eh?
512500	513500	Eh?
513500	514500	Eee!
514500	515500	Eee!
517500	518500	Eee!
518500	519500	Eee!
519500	520500	Eee!
520500	521500	Eee!
526500	527500	Is this safe?
528500	530500	Is it safe over here?
532500	533500	Eee!
534500	535500	Eee!
536500	539500	It was not safe at all!
540500	541500	Okay, maybe...
542500	543500	Maybe...
546500	547500	No.
549500	551500	Maybe over here is safer.
556500	557500	Woo!
560500	561500	Eee!
563500	564500	Woo!
565500	566500	Ah-ha-ha!
566500	567500	Ah-ha-ha!
570500	571500	Okay, I got it!
571500	572500	I got it!
573500	574500	I got it!
574500	576500	I got it, Senpai!
578500	579500	Come on, Mouse.
579500	580500	Don't...
581500	582500	Don't mess with me!
582500	583500	Don't mess with me yet!
597500	598500	Yeah!
599500	600500	See?
605500	606500	Okay!
606500	607500	Mister!
608500	609500	Your hands!
609500	610500	Woo!
627500	628500	Tei!
628500	629500	Tei!
629500	630500	Tei!
636500	637500	Yeah!
