start	end	text
270000	272000	Oh
300000	308000	Hey
308000	314000	Ah, good enough for those supplies
314000	319000	Can you hear me okay? How's the volume?
319000	325000	I hope everything's okay
325000	330000	I'm gonna pamper you
330000	337000	Turn up the volume then
337000	344000	Turn up the volume then
344000	350000	Today, I'm gonna pamper you
350000	354000	Because you did such a good job
354000	356000	It's been a long day
356000	361000	And I felt like it's a nice day
361000	367000	So, don't you want to kiss me again?
367000	371000	Shhh, I'm scared
380000	386000	Okay
386000	390000	How about I whisper a little loud?
390000	395000	Is that better?
395000	400000	Okay
400000	405000	Okay
405000	409000	How about I whisper a little louder?
409000	413000	Is that better?
413000	417000	Is that better?
417000	421000	Okay
421000	425000	It's much better, okay
425000	430000	I'm so sorry
430000	434000	Today, I'm going to pamper my supplies
434000	440000	I went out and got so many things for my supplies
440000	446000	I hope you like them
446000	460000	Can you hear this?
460000	464000	Can you hear this?
464000	469000	These are the papples that you guys were talking about
483000	489000	These are the papples I cried
490000	493000	The crack pipes, they're not really crack pipes
493000	495000	They're ice rollers
495000	501000	They're ice rollers
501000	513000	They're ice rollers
513000	517000	It's not blood
531000	536000	Oh my goodness
536000	540000	Can't give you a second if it's still too quiet
540000	544000	I don't know how I can whisper even louder
544000	548000	Okay, hold on
548000	552000	I got this, okay, audio keeps cutting out
552000	556000	Okay, give me a second
556000	560000	I'm so sorry, I'm so new to this
560000	564000	Okay
564000	568000	Is this better?
568000	572000	I turned it off
572000	576000	I turned it off
576000	580000	I turned it off
580000	584000	I turned it off
584000	590000	Now, now, everything, can you hear everything?
590000	594000	Okay, so bye
594000	599000	I'm going to use the ice rollers on you and massage your face
599000	603000	I hope it feels good
614000	622000	Can you feel it on your eyes?
622000	626000	These ice rollers are great for public eyes
633000	637000	Your eyes, yes, sometimes it's really this small
637000	643000	And so, if you put these in the fridge, it has to pop in
643000	647000	And if you want more of it, good
651000	654000	It just relaxes with the supply
654000	657000	It covers
660000	664000	I'm just going to treat you
667000	671000	Okay
679000	683000	I'm going
698000	702000	Okay
713000	718000	These ones might make a little bit of a different sound
718000	725000	Because the bubbles, the head is actually shaped like moles
727000	733000	So the moons might make a little bit of a different sound
733000	737000	That would be a mistake
742000	746000	Thank you for the rate, middle
746000	749000	Middle
749000	753000	I'm glad you like it so far
753000	757000	I'm glad you like it so far
