start	end	text
390000	404940	Hi everyone. Sorry I'm a bit late. Bad news. I'm feeling a little under the weather by
404940	413360	under the weather. I mean, not sad, but like, you know, not well. So if I sound a bit funny,
413360	435760	I apologize for that. That's just me. That's just me, but it's because I do have emergency
435760	443840	stuff in here. And I will, and then I do have a BRB screen in case I need to like, you know,
443840	459040	yeah. So there we go. So forgive me, it really just happened not too long ago. I was coughing
459040	468560	up. I felt like I was coughing up the lung. So if if I if suddenly I would I start coughing in a
468560	482240	nice sound weird. That's why. Did you eat some bad color fish? No. No, I wouldn't eat. No, maybe.
483120	493360	Next question. Anyways, probably nerves. Yeah, probably nerves. But welcome everyone to my two
493360	504400	point. Oh, the debut debut debut. Sorry. debutant. We'll get right to business. I like I like getting
504400	510080	my charts out of the way. So we'll start with tags first. No, general take is not indulge. A general
510080	515280	take is a tag that I want for you guys. If you guys want to be like, Oh my gosh, I love Mercy so
515280	524560	much as you should. Oh my God, I love Mercy so much. I want I want her to see my my love letter
524560	532080	to her that I posted on Twitter. I need something like that. So I'm thinking I'm thinking I'm thinking
532080	546960	I'm thinking just mercy mode east. Which one of these would a fan song go under? I believe that'll
546960	557360	be art. I know it's like, I said art is like modellus list. But like, music is art. Anything is art.
558320	560480	Hear me out. Okay, that was pretty good.
562320	568640	Scissor mercy, scissor me, mama mercy. I'm not the mama here. I'm not the mama here. We've
568640	575600	got three mothers. We've got three mothers, which is, of course, mom, a mommy being one mother,
576400	584240	second mother being, um, Azura, who has lovingly given us a raid. Thank you so much.
584800	595760	And as well as she be she be the toilet is, uh, is our third mother.
601440	601920	Excuse me.
602560	618080	Don't die though. I'm so sorry. I like literally. I get really flummy sometimes. That just happens.
618960	625920	It just happens. Oh my gosh. Is that meadow and meadow and chat. Hi. I'm you met plus. Wow.
626560	632400	Wow. Gosh, it's not twitch. So I can't give you a shout out, but y'all follow you met plus girls.
632400	644240	They are so cute. Have mercy. Okay. I love the, I love these tags, except for one thing.
644240	650800	One thing my lovely senpai, my senpais is that, um, we gotta make them sort of unique
650800	656800	so that, you know, some rando, I don't either one take over some Randall's tag, although I can.
657840	664800	I too, I don't, uh, it doesn't get mixed in with like someone's, someone's book club, you know?
667120	671760	Shear me out is a good one. Yeah. You know what? Shear me out is a good one. Yeah. You know what?
671760	676240	Yeah. Heck yeah. Let's do that. You know, here for my general tag is
677040	681040	Shear me out. Wow. So good.
690560	696400	Modesty cuts. Modesty cuts. Shear me out. Yeah. That's pretty good, right? So if you write me
696400	702560	love letters, it's a general tag. Just be like, Oh my gosh. Oh my gosh. Mercy. Shear me out. Okay.
706560	717520	So it's good. Yeah. Uh, live. Personally, I don't know if I like
718560	727040	mm online because mm online was just like Mercy Mode East online. Mercy time.
729360	735360	Mercy time for live. That's a good one. I'm not as creative as my lovely senpais. My senpais are
735360	742320	also amazingly creative. Sounds like MMO. Yeah. That's my issue. That's my issue is that it sounds
742320	755760	like MMO and I was like, Oh, you're right. Time for mercy. Show mercy. That sounds like
755760	762400	I'm literally taking over a tag that of someone, of someone at their like little book club.
762480	765200	That's gotta do. No mercy. Mercy. No mercy.
769600	777040	Stock o'clock. Mercy lane. Snippity clippy. No. Snippity. Snippy clippy for clips. That
777040	780960	sounds good too. Big for mercy. No mercy. Sheer time. Mode East live.
782960	789920	Streaming mercy. Like screaming. Oh my god. Cosy too high. Oh my god. These are really good.
789920	795680	Mmm. I like that. I like that. I do like that. Streaming.
798560	811040	How about this guys? Okay. Stream for mercy. Huh? Huh? Anybody?
812000	825040	Stream for mercy. Do you like four as the number four or like the word four?
828240	832960	Like you can do like a stream, stream, stream, stream,
833920	844640	for mercy versus stream, stream, for mercy. What do you guys think? Four for sure? Okay.
846080	851120	We're all such a team. We're such a team. And this is why I keep you guys in my basement.
851120	864160	Four is the more I hit with the kids.
867120	873280	And in before Sheer Me Out is also an Ask Me Anything tag for people who Sheer Sheep. Oh.
873360	880640	No. We're good. We're good. We're going to take it over. We're going to take it over.
883760	888400	Okay. So clips, clips, clips, clips. Let's do some clips.
891760	895200	I like it down here, but maybe you can install it in dehumidifier. No.
896000	903680	Wait. I don't know the difference between a dehumidifier and a humidifier. The reason why
903680	910480	I'm just like a humidifier has like, it causes moding. And I don't want that. I want you to live
910480	916560	in the best situation ever, Senpai. That's why I put in like those shiny glow in the dark
916560	919840	stickers of stars. So it looks like you're laying underneath the stars in the cage.
925520	931520	Modest clips. Clips out for Mercy. Snippa Snippas is a fan name. No.
934480	938800	Modest clips, knee clips. Snips, moda snips.
941440	948960	Mercy moment's good. Thank you for about two, two, two, two.
955600	965600	Mm-hmm. Off cut, sneak in live, cut clips, Mercy snips. Snips is good. Snips is pretty good.
966160	970960	It's like, you know, like if together we work together with my snippets.
971920	979920	Mm-hmm.
982480	988000	You guys are so creative. I'm taking a bunch of your ideas and it's brewing in my little,
988000	995120	my little cavity of a mind. Where's the clip for us?
1000960	1011120	You're killing me. Stop it.
1030960	1055120	There you go. Oh my gosh, my face. My face is like so red from laughing so much.
1061280	1073120	Okay.
1073120	1099900	Okay I have someone make sure it's not being used there's no way we can get away with this
1099900	1102500	Oh yes we can you know what company I'm with
1130900	1132900	It's not used
1136980	1141140	We're there okay art art modelist you guys like that
1151980	1156380	Art of stalking okay, that's pretty good you guys like this or do you like something else?
1160580	1162580	Oh
1164220	1168020	Merciful for art, but the current one works
1169820	1176740	Actually the the current one was thought up by Azra isn't all my gen mates are so much more creative than I am
1178300	1181380	Merci merci lost Marcellus
1183700	1185700	He modi's oh
1186660	1187740	Oh
1187740	1189740	That's good
1189900	1191900	That's good
1192620	1194620	That's good you guys are so smart
1199700	1205300	Excuse me. I'm so sorry. I as I said feeling not that great. I get really flimmy sometimes
1207820	1210820	I like that I like immo
1211380	1213380	Deast
1213900	1215900	Immo Deast
1220900	1226820	Yeah, I thought molded loose it loose. I was like like for short for illustration
1226820	1228820	I thought it would be really good for
