start	end	text
510000	537680	it's always one heartbreak after another there are people who just love the
537680	542640	drama of relationship but I don't think anyone specifically pines for heartbreak
542640	550120	I mean I always give my best I try to be more than fair as a girlfriend but
550120	555800	sometimes I get nit thinking that somehow it's all my fault I just can't
555800	560160	wrap my head around how that could be possible it's times like this where I
560160	565640	try to think back to the start of my love life starting with my first love and
565640	573560	first loss maybe try to compare and see where I went wrong this time it started
573560	578040	back in early college I was studying to become a fashion designer if you can
578040	585920	believe that I wasn't as well deliciously brazen in my outfit choices as I am now
585920	591920	a quiet much too overlooked girl who never got invited to parties their loss
591920	597320	though I imagine I had more fun sewing crafting and anything else a grandma
597320	603120	would do with spare time an old soul people would call me I was content in
603120	611920	my own quiet that was until I met my first love I don't know what he saw in
611920	616720	me but he was the one to make the first move even before I had the mind
616720	621960	to dress to attract the male gaze here I was more of an all-miss chic ghost
621960	629040	whatever the reason here was a man who takes charge where he needs to he was
629040	635320	a dirty rabid-looking man who stank of booze and ooze failure and degeneracy in
635320	639920	retrospect in our first meeting it was a bit more pushy than I'm used to
639920	644800	nowadays it's best to understand that the pillar of a strong relationship is
644800	649720	setting up boundaries and it's best to do it as soon as possible putting your
649720	654520	foot down telling your partner what's what it's a risk you have to take it was
654520	660560	because of that I remember that I always keep my fabric scissors with me when
660560	665560	you interact with your partner honestly if the love is true they can feel your
665560	671920	intent that's when the honest purest part of them comes out my favorite stage
671920	677400	in all of my relationships it was like he was a completely different person
677400	682560	from his introduction he showed me his true self a part men are taught to hide
682560	689440	away the soft sweet vulnerable man inside I mean how could I not fall for him I
689440	694540	don't think I have a particular type per se but a man who expresses his
694540	699320	emotions in such a delicious way that's something I couldn't resist I just had
699360	704920	to have him I had brought him to an old shed my family owns the best I could do
704920	711040	at the time but together our love can make it all you see good relationships
711040	717840	are built on compromise and I and compromise I did I gave that man
717840	724120	everything everything you could ever want I bathed him fed him cared for him
724240	730320	gave myself to him the time we spent I gave him all I had to give that's what
730320	735360	relationships are I give and take you give your all to someone and you expect
735360	741960	them to do the same for you and you know what he does just runs away out of the
741960	748160	blue no talking no indication anything is wrong just leaves I couldn't
748160	752560	understand I was high off of my affection for him and I thought he was
752560	759000	the same but I had to hold in my sadness I for one am better than leaving
759000	765880	without a word relationships no matter what should be ended properly after all
765880	770840	sometimes relationships don't work out for reasons you don't understand but
770840	776760	where there was true love there can be a lot of fun to be had right before
776760	780600	cutting ties
783560	790200	after that it was fling after fling a new love here and there all ending the
790200	797960	same way I hate having to be the nice one in the relationship it can't be my
797960	803680	fault I guess men will take any chance to abuse your kindness now the breakup
803680	807480	songs on the radio start to make sense and the sweetest sugars are now as
807480	811760	bitter as vinegar it's times like this when I think I'm about to give up on
811760	819680	love entirely but as they say time heals all wounds after that it feels like
819680	823560	the very first time
823560	842560	wake up Senpai Senpai wake up oh you're still a bit dizzy that's okay I hit
842560	848600	you on the head pretty hard up an atom though it's a shame but we don't have
848600	857640	a lot of time together welcome Senpai I finally have you I've been waiting for
857640	863360	this moment for so long and I hear you've been waiting for me too what do
863360	870400	you think of icy and Azra's debut don't you just want to cuddle icy and Azra
870400	876640	makes you feel so protected right fortunately for you I will also keep
877360	886120	for now just be good I heard you wanted to get to know me better so I brought my
886120	890080	special love diary with all the information about me that you need to
890080	894480	know so we can be together forever and I'll have all the time in the world to
894480	908160	get to know you too so let's get started my name is mercy modeste mercy being the
908160	912320	last thing people say before they're killed and modeste meaning dressmaker
912320	922920	in French my birthday is March 15th so in Japanese that's 315 so 315 is
922920	933960	Saikou so and site Saikou means the best age oh oh sorry don't worry about
933960	942360	that that's not my blood oh where was I I am an ex student and my height is 160
942360	951120	centimeters tall meaning I'm about five three in freedom unit mm-hmm okay you got
951120	961640	that Senpai mm-hmm okay here are my likes Senpai I love you Senpai I love
961640	969960	you so much I also really love your snacks children's cartoon uh color
969960	976000	coordination so if we ever wear matching outfits together art books they make me
976000	981440	so happy because I just love to look at pretty arts and pretty things and I love
981440	988520	phrase especially from you Senpai I love phrase it makes me so happy if you say
988520	993280	you love me and if you like anything that I do it makes me really really happy
