start	end	text
450000	480000	Call Hiyoooo Allllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllll
480000	485520	too much to the right? Should I move over? I feel like I should move over.
485520	487520	Nah, maybe I'll walk too much up the screen.
496000	496960	I'll make myself bigger.
500160	502800	I'll make myself bigger. Why do I have two of these open?
504400	505680	One of these has to go.
506560	510640	One of these things is not like the other.
511920	513760	One of these things made me lose tracking.
521920	527680	Wow, I had everything so ready some pie and now I'm being a klutz.
535680	543680	It's like you can still hear my voice.
544960	550160	Okay, anyways, whoa, whoa, whoa, welcome senpai. Welcome to the screen. Welcome to Deathmark again.
550800	558000	I have good news. My rash has gone so much down, got down so much.
558560	564320	Yesterday I was like, it looks like my arm again and not some and not like him.
565680	573600	Let me grab my controller. I'm so not ready for this.
577760	583600	What happened and how? I don't know. I literally, I think it was my bed sheets.
583600	591920	I put them in the wash and then I put them back onto my bed and then like overnight it got like X,
591920	596160	like super better. I was like, thank you.
604640	611520	But I'm so happy. Oh, and thank you Griffith for the 10 members. I hope everyone enjoys the memberships.
613520	617760	Evil bed sheets, right? How long did you have those bed sheets?
618000	622320	Oh, five, half a year now.
624800	629920	Did stress play a role in your rash? Probably, 100% probably.
633920	642240	Like it's, I don't know, maybe, maybe I like went to bed with, I don't know, something or maybe
642240	648000	mama, mama or papa was cleaning up in there and they had like, I don't know, stuff on them.
648000	653200	Who knows? How often do you wash them? Washing? What does that mean?
653200	655200	I don't know.
669760	673760	Forget about it. Forget about it. You don't need to wash shades?
675760	678880	I learned my lesson. No worry. Let me move over here a little bit. Yeah, we go.
683200	692720	Oh, but like those are actually new bed sheets. I don't know what happened, but they were new and I've been like using them for
693600	702560	um, like maybe, maybe a few months, like half a year now and nothing happened. And then suddenly I was just like, oh, I'm allergic.
703520	717120	And then, oh, so today I walked around the, I walked around the neighborhood and then I had, I had a thought, the, does, does
718400	721520	senpai's play ping pong because I'm palm?
726800	728800	Question, is that the reason?
732800	734800	It is now.
744320	747760	I withhold my answer. Oh, senpai's naughty.
749760	754800	Kohai, what did you have for dinner today? I had a ham and cheese sandwich.
757600	759600	This morning I had pho.
763520	774960	I didn't see anything. You didn't play anything at all. Oh, yeah, not anything at all. Not that I see the paddles everywhere or the nets hidden under one of your beds.
774960	784240	I know everything I see. Oh, this, my, this bang hides my third eye. That hides the Gigan eye.
793520	802160	What bed? The doggie bed! The doggie bed in the haze!
807360	811920	You get doggie beds. I put a little stuffed animal in there. It's a little pillow.
823360	834000	Excuse me. It's starting to get really cold, so I'm being affected by the weather.
842160	850240	But um, as a warning though, my arm still heats up even though the rash is like pretty much like really,
851120	854720	it's still like 40% still there. Tea check?
856480	861200	Today's tea is pomegranate green tea. I wanted to stay awake for senpai's.
862080	864080	We would never lie to our precious Kohai.
864800	866800	Says a liar.
869920	878160	Word of the day, um, contingency. Like a plan. Like, what you,
878160	888080	what senpai's need? A contingency plan.
909040	912480	Okay, let's talk to the people.
917920	925040	Also, I'm sorry. I'm sorry about yesterday. I put the days wrong.
927840	931600	Do you know what mama and papa always say to me?
931600	939280	They always go, merci! You're so clumsy. Clumsy, clumsy, clumsy.
945120	947040	Mama, mama always gets mad at me.
948560	954080	Because when I have a button-up shirt or like a cardigan, I always miss one button. So the,
954080	956880	so it's like, the buttons are always wrong.
962000	974080	So I was like, oh, so when I told them like, yeah, I made the days wrong. So I have to go down and
974080	982160	tell, tell everyone that, that it's the wrong day. They're like, of course, of course you did.
982160	993440	I spent the day looking for a matching alchemy model, kid. Oh,
993440	996720	is the senpai's want to have a matching alchemy model?
999520	1003600	Yeah, it's, it's, it's a really, it's really fast. I built it in like,
1004240	1008000	maybe 10 minutes, maybe less than that, five minutes. I suffered the one time where I made a
1008000	1012720	mistake and then I had to poke, poke one in the mouth again because I forgot to put the strawberry in.
1016640	1022000	But I really like alchemy. It was like my first, when I was playing Pokemon
1022560	1027120	Sword and Shield. Oh, which one do I have? I think I have Shield. Yeah. Um,
1028640	1035680	oh, when I have Sword and, Sword and Shield, it was the first Gigantamax Pokemon I got.
1035680	1037280	So I was like, yeah.
1043440	1048320	What's your favorite alchemy variation? The original one, because that's the one I got.
1049520	1058960	My alchemy is named Milfyu after the Galaxy Angel character. If you know Galaxy Angel.
1059280	1069600	The key to the spirit's grudge. It should be within each elementary. Oh, sorry, I was supposed to do voices.
1073200	1079920	It should be within each elementary. Fate has tied him to that school. However, even I do not
1080560	1082080	know what form it will take.
1082800	1088160	My favorite Pokemon is Mimikyu.
1091280	1098080	Mimikyu is a, is a dangerous Pokemon. I really liked Galaxy Angel because it was the first
1098960	1103680	DVD I ever had for like an anime series.
1104080	1123280	Hey, wait, Mashita appears as we're getting ready to leave. Bad news.
1123600	1138560	Oh, my favorite Pokemon used to be Vaporeon until, until the copy pasta. And then I, I had a less
1138560	1142880	respect. I had a less liking to Vaporeon.
1143280	1158400	But I, I can tell you mama and papa's favorite Pokemon, mama's favorite Pokemon is a Lapras.
1158400	1165120	Which I, I don't know about you senpai, but I feel like Lapras is a very mommy Pokemon.
1165120	1171920	So when she chose that, I was like, oh, somehow this is so, this is very suitable for you,
1171920	1183040	mommy. And papa and my sister's favorite is Snorlax.
1192240	1195040	But yeah, when mama, mama picked Lapras, I was like,
1195440	1201840	ah, this is, this is like a very, this is very suitable for mama.
1210080	1216320	But like, they also really like Pikachu. I think that's the only one they actually know the name of.
1216320	1226880	It's the only one they actually know the name of. But like, if I gave them like a picture of like
1226880	1231600	Pokemons, mama picked out Lapras and she was like, yeah, this one's my favorite.
1232240	1236240	And papa picked out Snorlax and my sister also was like, I like Snorlax.
1236880	1242720	Imagine if papa chose Vaporeon.
1245760	1250320	Even if he did, I would not tell senpais. I would not tell senpais, but he did it.
1256880	1261360	That high school girl. It's Molly, it's gone.
1261360	1264800	Damn.
1270480	1272960	At least she's nowhere in the mansion.
1275920	1280080	Speaking of which, I didn't see her when we were talking to Mary in the hall either.
1283520	1287520	Maybe she ran away. That doesn't make sense.
1288400	1291280	What would she accomplish by doing that?
1293200	1296080	Running away from the mansion won't make her mark disappear.
1298800	1302960	It could be her form of escape. Many kill themselves if they know they're gonna die.
1304480	1308400	Okay, okay, Mr. Detective Guy.
1308400	1318160	I maybe something happened to her like the spirit's curse.
1321360	1326720	Molly saw Hannah Hickel in the mirror at the school. So she's the mark bearer with the strongest
1326720	1335520	connection. It's possible that he zeroed in on her just like Tsukasa said. But there's nothing we can do.
1338560	1343520	Let's get ready to go. Yeah, we really can't do anything right now.
1344480	1350080	Even if something happened to Molly, if we can get the mark to vanish, I should save her too.
1351760	1355040	Let's head out. We're going back to H Elementary.
1358720	1365520	Let's go back, senpai. Back to the beginning. Does anyone get that reference? Come on.
1368720	1382720	Yeah, yeah, this is your mom movie. You come back to H Elementary.
1387120	1390720	Senpais are so smart. I'm so proud of Senpai.
1392880	1396720	I knew for a while that in the end this place is just a school.
1396720	1402800	Well, an abandoned school with a monster in it. And you know, the security card probably just died.
1407040	1413440	Oh yeah, and there's like killer plants in there. Oh, and a bunch of poisonous snakes. So not exactly normal.
1420640	1425760	Let's go. Tsukasa nods silently and steps forward.
1427120	1429280	Wait, did I go with the kid?
1434240	1440320	Oh yeah, I went with the kid because I was like, oh well, adults, they'll fucking die, right?
1442480	1443280	Okay, let's go in.
1447440	1449120	Okay, let's see. Examine.
1450720	1455280	Anything new? What's in the shoe locker? The battered shoe rack is covered in dirt.
1456960	1463360	Okay, disintegrated stuff. Okay, okay. I want to go to the left this time.
1468560	1476480	We saw it earlier, but look at all these flowers. Roses are red, violets are blue.
1477040	1488960	We saw it. The hallway has completely transformed. Seeing them like this.
1492000	1496160	Are roses on that pretty? When you look close, they're scary.
1496160	1499840	Huh? Uh-huh. What's that?
1500960	1503360	Tsukasa suddenly speaks up. There.
1504400	1507600	By the window. Hey, over there, something's sparkling.
1509760	1513440	The window? I see her rose vines. I may as well check it out though.
1516400	1522640	Oh, there it is. Something's glinting over by the window.
1523360	1527920	Looks like something's buried in the rose vines. It's definitely something there.
1530240	1531280	Sorry, I'm coughing.
1536080	1540320	I didn't notice it before. No, maybe it wasn't there yet when we passed through here earlier.
1541440	1547360	A guard from before. Did he drop that? Maybe. He might have fallen on the floor and been
1547360	1553760	lifted up by the vines. It's only now that it's high enough to be spotted.
1554960	1558400	If it belonged to the guard, then it could come in handy while we're investigating.
1559200	1563040	He's in charge of watching this building after all. Let's check it out.
1565440	1572400	Feel it. Oh, what if I cut myself though? I pushed my fingers into the vines. Ow!
1573360	1577120	I was careful, but oddly shaped thorns still cut my skin.
1577760	1583680	Damn, this is a pain. I keep fighting with the vines. I finally reached the metal object.
1584560	1592000	Got school curing! Yeah, make sure to hydrate. Okay. It is a little cold here, Senpai.
1592480	1604880	So, I might, I might be coughing because it's cold. It's been raining a lot.
1608320	1611520	Yep, just as we thought. These definitely belong to the guards.
1613040	1615600	These would be extremely useful. You can get into places we...
1616640	1620240	The castle suddenly cuts off mid-sentence. What's wrong?
1621200	1625680	Nothing. I just forgot what I was saying. Anyway, let's keep looking around.
1627280	1631360	Need info was added to spirit file. Continued investigation of the school.
1633360	1637360	Huh.
1637520	1644720	Maybe... I know that the kid doesn't like an adult, but I feel so uncomfortable bringing your kid around.
1645360	1650480	You know? I feel so uncomfortable bringing a tiny tot.
1652080	1655920	A tiny tot around with me. Maybe I should go back and grab the guy?
1661840	1663600	I'm gonna go back and grab the guy.
1664320	1675360	Maybe he should stay with the creepy doll girl.
1678000	1680400	I don't know. I'm just like...
1681840	1689040	Also, you know, kids are very... I don't know. I feel like the detective might have a gun,
1689040	1694800	and that might come in handy. But also... Yeah, you know what? I'm gonna go back. I'm gonna go back.
1696960	1697680	I'm gonna go back.
1701920	1706320	Don't fucking do that. Don't fucking do that, gay. I hate kids.
1708480	1711680	I mean, kid's laughter. Stranny!
1719600	1724480	Eyeball. Let's take...
1727840	1731920	Stranny raid! Welcome, Stranny! Welcome to the stream! Welcome raiders! How was...
1732880	1738720	the hat game... link... the hat game? Yeah, yeah, yeah, yeah, yeah!
1740480	1743040	I was watching a bit of it, and I was like, oh, it's so cute!
1743120	1749840	Turns out, I'm MLG on Zelda and did the boss first time. Nice!
1751520	1755760	Well, welcome, everyone. Today, I am playing Deathmark.
1758480	1764800	It's a visual novel, horror-ish game with quick time events and
1767120	1771200	choices and some movements. So, if you like this,
1771520	1773280	let's play.
1776320	1781840	Okay, now we'll return to HLM entry, because I'm just like, I don't know! I don't like bringing a kid
1781840	1791440	with me! There you go. Spooky spooky. Okay, all in favor to go left? I'm going left.
1791440	1805680	Okay, I use the school key ring and open the door. Yeah! Son of a bitch!
1822160	1834640	This is why we're like, I don't like kids, generally.
1836880	1842640	Did that get a senpai's? Child jumpscare.
1845840	1849520	Did that get senpai's too? Because my heart dropped for a second.
1852000	1856160	Okay, let's, uh, look.
1865360	1869040	The aluminum chalk case has dents all over it, as if something hit it.
1870720	1872960	Eel. Something's inside the chalk case.
1874160	1879280	Found a worn-out talisman, and I pick up the worn-out talisman. I feel warmth flow through me!
1882400	1890160	My heart died for a moment. I got used to it. I was like, ah, I forgot the jump scares.
1890880	1896000	Got soap power. Yeah, the worn-out talisman crumbles silently in my hand.
1896880	1901200	Let's check out this really dirty aquarium.
1904400	1908400	Look, and glass is terribly stained, making it impossible to see inside.
1912400	1920400	I touch it. I hesitantly stick my hand in the tank. When I do, my fingers touch something cold.
1920400	1926560	There's water left inside. Just water. For some reason, Mashita looks disappointed.
1927760	1932240	Of course. There's enough water left inside that I could scoop it up if I had a container.
1932960	1934160	I do have a container!
1934320	1939680	I do have a container! I have... this plastic bottle! Yeah!
1940960	1945680	I take the plastic bottle out and put it in the tank. It gurgles as it fills with water.
1947760	1949280	Got bottle of water.
1952480	1961680	Or, as some people say, oh!
1964320	1971120	What are you gonna do with it? I don't know! I want it! Why? If I can use it, I want it!
1972720	1977920	Okay, let's look. When you open an umbrella in a typhoon, it will break because the wind's too strong.
1978560	1983840	So first, I tried to put holes in an umbrella. The way... that way, it wouldn't break a strong wind.
1990800	1992880	And who would those people be? Hmm?
1994880	1995600	The British.
2006160	2011520	Oh my gosh! Okay, I think I need to put on a sweater, Senpai.
