start	end	text
630000	647740	I'm sorry everyone I uh wouldn't stop hiccuping before stream I wouldn't stop
647740	654240	hiccuping before stream and then I drank a lot of water I wouldn't stop
654240	657120	hiccuping and then I stopped hiccuping and then my tummy started to hurt really
657120	674360	badly. But hello everyone. Serenity raided me I missed it I'm sorry. Serenity
674360	682000	still here thank you for the raid and welcome everyone to the stream welcome
682000	691120	Senpai. Today we are playing a game called Deathmark. I won't lie to you I've
691120	695520	played a bit of this game before but then I put it on a very long hiatus and
695520	700880	totally forgot about everything that happened to it and I did this twice
700880	709400	already. So if I feel like I'm starting to remember some stuff that's why and I'm
709400	717120	on a completely new account. Let's go! I mean hold on. Let's go!
717120	736800	Hey want to hit up the karaoke place? The new love and hero song is out.
736800	748800	I'm not feeling it. I'm not feeling up to it today. This story creeped me out
748800	761920	earlier. Do you want to hear it? Oh chair. You remember Miss Yamaguchi? She wears
761920	777080	those big glasses. I heard she's gone missing. What? No one knows where she is?
777800	790160	Nope she just disappeared. Just up and poofed from the library. Okay new voice
790200	796800	time. One of the student librarians said she was researching something there but
796800	803080	then she vanished. But she's super diligent right? One of the students thought
803080	812440	it was weird that she'd up and leave like that. So he checked in on her. But when he
812440	827280	did, the only thing left was her arm. Had her really weird scar on it. So it was
827280	840120	definitely her arm. A scar? Yeah. It looked like a dog bite. He showed it to me
840120	854920	once. Had no idea where it came from. Burial? There was a scar like that on
854920	872280	Miki's leg too. Huh? Miki? Wait that's the girl who went missing. Yeah. It's crazy. Maybe
872280	882840	that rumor's true. The one about the cursed scar. Cut it out. You're scaring me. I forgot
882840	896920	which Valley Girl was who now. Sorry. I hear snatches of an idiotic ghost stories. They're
896920	902640	speaking seriously. It's obvious that they don't believe a word. They're only
902640	916520	killing time. Rumors are the best way to do that. The sun's about to set. It's gotten
916520	934400	later than I planned. I shouldn't have stuck around to hear that story. I better hurry.
934400	959600	Bye tonight else. Thunder rumbles in the distance. A huge mansion is in front of me. Strange.
959600	971560	I'm sure I was just. My vision blurs. My ears are buzzing. My head's swimming. It's
971560	981280	almost like I'm drunk. What time is it? A glass at my wrist, but my watch is gone. I
981280	989600	put it in my coat pocket. And all I find is a business card. In elegant printed letters
989600	1000560	is a name. Saya Kujo, spirit healer. On the back is a photo of the mansion. I guess this
1000560	1010680	must be Kujo Mansion then? Kujo Mansion, Saya Kujo. Those names sound familiar somehow.
1010680	1018000	One way to find out, taking a deep breath, I reach out to knock. I stop when I see something
1018000	1032480	on my wrist. It's a strange scar. Wonder that. I could just be imagining this, but feel an
1032480	1049280	icy chill when I look at it. My fur, my fists pounds on the door, no reply. A light appears
1049280	1054200	in the second floor window. It's probably too far from the door for them to hear me
1054200	1065560	knocking. Don't they have doorbells in this day and age? I grafts the door knob and find
