start	end	text
300000	320040	You know, sometimes you get a little frazzled when you're on a new account and you realize
320040	328880	you don't have, you don't have your proper settings and your music and your stuff so
328880	344120	we ball is my music too loud I sent no these are not nude models
344120	353800	every every body except for my except for except for Azra is my body
353800	367440	so you're only technically looking at me I sent I sent the the the base okay so I didn't put any
367440	382760	details in the base but I sent it to management and I was like manager is this safe for YouTube
382760	400760	and you know what manager said no I rushed and just like like MS painted like the black
400760	412680	sensor bar bra and boy shorts okay she be body is mine she be body is mine I can draw in boobs
412680	434680	probably every every okay shut up about boobas they're all my they're all my body except for Azra
434680	445640	they're all my body except for Azra and Azra even then I was like it's kind of kind of
445960	454880	it's a base it's a base shut up I think back in underwear one I think I was late too late for this
454880	478080	where is it wait okay oh yeah yeah that's better give me a second actually give me a second give me a
478080	497440	second manager uh base too I literally had like no time to like do this hold on I'll do I'll do I'll open
497440	518000	where is it it isn't downloads based on yeah that's better that's better why is everyone
518000	529440	nerfed except for Azra because everyone's body is my body okay everyone's body is my body even
530400	536000	the canoes even the canoes are my body
549040	552480	yeah this is better thank you manager manager
559680	570000	so all of these all of these are my body sorry I'm laughing too hard
572800	574240	I'm a little frazzled
574480	589840	I'm a little frazzled because all this time I'm
593280	597680	I like ran up and down the stairs because I was like oh my gosh I need to go do a
597760	604400	final meeting then I ran up then I ran down so I'm a little I'm a little like uh okay
605840	612160	so yeah uh I had lots of planned didn't pan out sorry I hit I hit you my I hit you my
613040	625200	the microphone not like my cunny or something I cannot undo Azra's body is Azra's body because
625200	630960	if I put my body on Azra's body that's just I can't get away with that
634480	647840	anyways uh welcome to the stream everyone uh I was not as ill I was ill prepared for the stream
647840	657920	simply because I thought that my settings in my other account would transfer over and it didn't
657920	668000	so there's a lot of funky wonky settings uh that uh it's not it's not good okay
668960	679280	it's not good so um I'm basically playing test out the thing so the the uh
681440	687840	the program I'm using right now is a free program free program senpai called Krita
689280	697120	so Krita is free to use so anyone who wants to draw or something you may draw along with me
698640	709360	Krita K R I T A so it's called Krita
711200	716960	so it is a program that is free to use so if anyone's looking for a free drawing program
717760	723600	it's pretty good it comes with all these brushes hold on I gotta move myself you can't see these
723600	730720	brushes it comes with all these brushes you can use in the corner here did you tweet that you
730720	745680	went live no no one more thing that I forgot to do I was so frazzled did I do that now
754560	762640	okay give me a second I'm so frazzled frazzled dazzled
769520	771200	today's tea is gingerbread
774800	781280	okay let me get some stuff oh my gosh I know I know glitz and glam today
781920	792400	I will be drawing date outfits for the girls the girls uh the base is made by
793680	798480	by one of my gal pals who was like yeah I'm into graphic design let me just you know make a base for
798480	802640	you and I said okay yeah they'll save me a little bit of time
803600	813600	I'll save me a little bit of time and I said okay and yeah I wasn't that much time saved because
816400	820000	I I was like oh shit I'm forgetful today
823360	825760	I'm forgetful today so give me a second as I
826320	844640	do my tweet I forgot to tweet I'm live I'm live not lie lie live PS post script I'm live
848640	853680	stream floor mercy tag yeah
856080	864480	double whammy and I'm with the double post where's my where's my link what thank you for the raid
