start	end	text
0	5000	Oh my god.
5000	8000	Smash that bell to get notifications of when we go live.
8000	11000	Smash that bell to get smashed.
11000	13000	To get smashed?
13000	18000	Yeah.
18000	22000	Yeah, like with alcohol or something.
22000	24000	Yeah, I am.
24000	26000	Not literally.
26000	28000	I can't help myself.
28000	31000	She loves smashing.
31000	33000	No Nigel Thornberry.
33000	35000	She just says smashing.
35000	38000	Are we here?
38000	41000	Are we here?
41000	43000	Okay, finally.
43000	46000	We're here. I'm sorry for the mess.
46000	48000	Yeah, we're here.
48000	51000	I'm live now. Finally, dead game.
51000	53000	Okay.
53000	57000	We, a viewer, have done the holistic approach where none of us will mute.
57000	61000	So, you're just going to hear everything all at once.
61000	64000	Yeah, that's how we're all.
64000	67000	It just as a reminder, all donations,
67000	71000	more memberships or super chats will be addressed at the end of the stream
71000	75000	when it's not an absolute cluster buck of all six of us together.
75000	80000	But yes, the whole premise of the power washer was I was going to do a gag
80000	83000	and be like, oh, Viola isn't doing so well.
83000	85000	We might go bust.
85000	88000	We might go and put a bikini on and get clean in.
88000	91000	Well, that idea is out the window now.
91000	93000	So instead we're playing Gartik phone.
93000	95000	I've never played it personally.
95000	99000	She be suggested it and I, her word is law.
99000	102000	So let's just take it away.
102000	104000	I'm taking over the company.
104000	107000	Shadow CEO.
107000	110000	Okay. Do you guys want to start? You ready?
110000	112000	Yeah.
112000	115000	We can finally do it.
115000	117000	I know cheating.
117000	118000	The guy is so chat.
118000	120000	Don't fucking cheat.
120000	121000	Don't fucking do it.
121000	123000	I swear it off.
123000	127000	How long do I have to do the sentence?
127000	129000	I don't know.
129000	130000	Help me out.
130000	131000	Help me out.
136000	138000	Senpai.
138000	141000	Don't give away until it's over.
141000	144000	This is our secret.
144000	146000	Senpai.
146000	148000	Senpai.
148000	150000	This is funny.
150000	152000	Peek comedy.
152000	155000	Peek comedy.
155000	157000	I don't think so actually.
157000	158000	I know what that is.
158000	159000	So let me change it.
159000	160000	Hello?
160000	161000	Hello?
161000	162000	What's wrong?
162000	164000	Moshi Moshi.
164000	166000	Moshi Moshi.
167000	169000	Okay.
169000	171000	We have to draw these now.
171000	174000	We have to draw these now.
174000	176000	Oh my god.
176000	177000	Oh my god.
177000	181000	I'm drawing this with a mouse.
181000	183000	You broke that.
186000	187000	I can't see.
187000	189000	Don't cheat.
189000	191000	This is so bad.
191000	193000	Oh no.
193000	196000	I've never done this before.
196000	198000	Wait.
198000	201000	Can I make my pen smaller or is she?
201000	202000	Oh no.
202000	204000	Why is he getting drunk?
204000	206000	Why am I drunk?
206000	208000	I don't even know what's happening.
208000	210000	Why are you guys screaming?
210000	212000	Oh my god.
212000	214000	Holy fuck.
214000	216000	How much time is left in my god?
216000	219000	The top right corner is the indicator.
219000	221000	Not the shading.
221000	223000	I'm an artist.
225000	228000	I'm such an artist.
228000	229000	Oh yeah.
229000	230000	Wait.
230000	232000	All you can fucking draw is me.
232000	233000	You're all done.
233000	234000	No.
234000	235000	Wait.
235000	237000	I can look up with a mouse.
240000	242000	We need to get a witness pen.
242000	243000	Hold on.
248000	250000	I can't spell.
251000	253000	What the fuck am I doing?
253000	255000	What am I doing with that line?
259000	262000	I should whip out my drawing tablet.
262000	264000	It's beautiful.
264000	266000	Better with a mouse.
266000	267000	No.
267000	270000	It's better with a mouse if it looks like hot garbage.
270000	272000	It looks great.
274000	275000	Hey.
275000	276000	Hey.
276000	277000	Hey.
277000	279000	Would you?
279000	280000	I'm done.
280000	281000	I'm done.
281000	282000	I'm done.
282000	284000	What's Tech say?
284000	286000	I can't tell you.
286000	288000	Oh, where are you going?
288000	290000	These are your items.
290000	291000	Okay.
291000	292000	I'm sorry.
292000	293000	I'm sorry.
293000	294000	100% Wood.
294000	295000	Wood.
295000	296000	Why not?
296000	298000	Well, this is the chat logs.
298000	299000	Oh my god.
299000	301000	We need to put the chat logs in quick.
301000	302000	Oh my god.
302000	304000	Oh, good answer.
304000	305000	Chat logs?
305000	306000	Little person.
306000	307000	Why?
307000	309000	You guys aren't ready for mine?
309000	311000	Let's put a bit of detail.
311000	313000	We need some wood detail.
313000	315000	Americans always have an eagle.
319000	320000	Okay.
320000	322000	What the fuck?
323000	324000	Oh shit.
324000	325000	What's his name?
336000	337000	There we go.
340000	341000	There you go.
341000	342000	What do you think?
345000	347000	Wait, is that an art?
348000	349000	Tilly.
349000	350000	Tilly.
357000	360000	My gen mates are wild.
363000	364000	Oh my god.
364000	366000	I don't know what he looks like.
366000	367000	Oh no.
368000	369000	Oh god.
369000	370000	Hold on.
370000	372000	Wait, is she decent so far away?
375000	376000	All right.
377000	379000	I don't know what Thorne Berry looks like.
380000	382000	I had to look it up.
382000	383000	I'm just guessing.
383000	385000	I'm just going for it.
387000	388000	Why is?
388000	390000	I'll look like this.
390000	392000	Wait, I don't look like that.
393000	394000	Sugar.
394000	396000	Don't question this.
403000	405000	Don't question this.
407000	409000	Don't question this.
417000	418000	How do you draw?
418000	419000	I hate you.
420000	421000	Oh my god.
421000	422000	I can't.
424000	425000	I can't see on you.
425000	427000	I can't see on you.
430000	431000	I don't know.
431000	432000	I don't know how to draw.
432000	434000	I don't know how to draw anymore.
436000	438000	That's pretty good, right?
438000	439000	I don't know.
439000	440000	I don't know.
440000	441000	Oh my god.
442000	443000	This is something.
443000	444000	Wait, hold on.
448000	450000	Ginger in it and there you go.
450000	451000	That's me.
451000	452000	I don't know what.
455000	459000	This is awful.
459000	460000	I'm sorry.
464000	465000	I don't know.
467000	469000	Let's draw some hair.
469000	470000	Yeah.
470000	471000	Oh my god.
471000	472000	Yeah.
475000	476000	Oh my goodness.
476000	478000	Draw his horn.
479000	481000	Don't ask questions so far.
481000	483000	Don't ask questions so far.
490000	492000	That is very nice.
492000	494000	I don't know.
494000	496000	My little leaflings are saying I'm a tree.
496000	497000	Wait, wait, no.
497000	499000	Emi's hair is not orange.
499000	500000	Is it?
500000	501000	Emi's ginger.
501000	502000	Oh my god.
502000	504000	Wait, I'm ginger?
504000	505000	You're not.
505000	506000	Really?
507000	508000	Really?
509000	511000	I'm a strawberry blonde.
517000	519000	Is this the right OG sign?
519000	520000	I had my image.
525000	527000	What does that even say?
531000	532000	Oh, meow.
532000	535000	Oh my god.
537000	539000	Which one of you speaks Spanish?
539000	541000	I'm 100% sure this is an OG sign.
544000	545000	Oh lord.
545000	546000	Atashi?
546000	547000	What?
547000	550000	Oh, how am I supposed to draw that?
552000	553000	Did we even have one?
553000	555000	What do I look like?
556000	558000	Oh wait, I can't even draw the fucking toilet.
560000	562000	What do I even look like?
563000	566000	This is terrible, Unmouse.
570000	572000	Wait, pits is not feet.
572000	574000	Pits is armpits.
576000	578000	We're grabbing onto the ground for dear life.
578000	580000	Right, armpits.
583000	584000	I don't know.
585000	587000	Oh my god.
590000	593000	Because none of you guys know some English phrases
593000	595000	or some joking phrases.
595000	598000	What I'm hearing is that a lot of you guys are misinterpreting
598000	600000	whatever it is that's very funny.
600000	602000	It's going all over his back.
602000	604000	It's not looking good.
608000	610000	How do you draw an angry mouth?
610000	612000	Oh, there we go.
615000	617000	Pits is feet.
617000	619000	No, I'm pretty sure it's armpits.
619000	621000	We need to draw.
621000	623000	Pits is sweat.
623000	624000	This is amazing.
624000	626000	What does the Walmart logo look like?
628000	631000	Your armpits has become sentience.
632000	633000	Walmart.
633000	636000	I'm not even going to explain to Mercy.
639000	642000	Oh wait, don't you toilet stuff like that?
644000	645000	Oh wait.
656000	657000	Hold on.
657000	658000	I don't know.
658000	659000	It does make it better.
659000	660000	It makes it worse.
660000	661000	It makes it worse.
661000	662000	It makes it worse.
670000	673000	I thought pits is like pits.
675000	678000	This is so fucking funny.
682000	684000	I think that works out.
684000	685000	There we go.
685000	687000	The radiation.
687000	689000	I can't wait to see everything.
689000	690000	Radiation.
690000	693000	Oh no, wait, no, we'll get to see everything.
693000	695000	No, we'll get to see everything.
695000	696000	Oh my god.
696000	698000	I'll do manual.
698000	700000	There's going to be no voiceover.
700000	704000	And then we'll be beginning from the end.
704000	709000	Okay, let's see.
709000	713000	So I said, I see with Nidals Thornberry's face saying smashing.
714000	715000	Immigrant.
722000	723000	Immigrant.
732000	733000	What's going on?
740000	741000	No!
743000	747420	You look awesome!
747420	748860	No!
748860	751260	What's going on?
751260	756040	Is that Aisey누h reputation?
756040	759300	Is that Aisey Galaxyần revolutionary?
759300	760700	It was!
760700	762700	Oh no!
762700	768760	Why does he look all handsome?
768760	770760	Oh boy.
770760	772760	Oh.
772760	773760	You're on there.
773760	774760	She wanted it.
774760	776760	And then there's Chris Hansen.
776760	777760	Oh my gosh.
777760	780760	And I said, she said it's going to kill me with a crash.
780760	782760	You know, date luck.
782760	784760	Oh no.
786760	788760	It's great to deal.
790760	792760	Oh my god.
792760	794760	Oh my god.
796760	798760	Oh my god.
798760	800760	Oh my god.
800760	802760	I love it.
802760	803760	I love it.
803760	804760	It actually worked out.
804760	806760	Why is it trying my best?
806760	808760	Why does it always sound such a fat talk?
808760	810760	There's a pee pee.
810760	812760	Because he loves me and he's big.
812760	814760	They grew up together.
814760	816760	They grew six times that day.
816760	818760	I'm sorry.
818760	820760	Oh my god.
820760	822760	I'm sorry.
822760	824760	Oh my god.
824760	826760	Oh my gosh.
826760	828760	It is feet.
828760	830760	Oh my gosh.
830760	832760	It is feet.
832760	834760	I don't like how her feet is actual teeth.
834760	836760	I know.
840760	842760	I like that.
842760	844760	I like that.
844760	846760	I never wrote stinky peats.
846760	848760	Which is feet.
848760	850760	But like.
850760	852760	And then she drew pits.
852760	854760	I drew myself in an armpit.
854760	856760	Because I thought it was.
856760	858760	So it was feet.
858760	860760	And not armpits.
864760	866760	She's screaming so loud.
866760	868760	Sorry.
870760	872760	The spot is over.
872760	874760	Okay.
874760	876760	I got it from AC.
876760	878760	Very good artist.
878760	880760	I got it from AC.
880760	882760	Don't ask me what this is.
882760	884760	What does that even mean?
884760	886760	When your job is a poo.
886760	888760	So when your poo hits your prostate on the way out.
888760	890760	Oh I thought it was Javi.
890760	892760	Javi's a poo.
892760	894760	I draw this.
898760	900760	You see me sucking?
900760	902760	I mean suckers don't live hot too.
902760	904760	Oh wait.
904760	906760	Is she giving a blow job?
906760	908760	That's what it looks like.
908760	910760	That's what it looks like to me.
916760	918760	Oh my gosh.
918760	920760	I love the drill.
920760	922760	This is so fucking good.
922760	924760	Oh boy.
924760	926760	It's over.
926760	928760	It's over.
928760	930760	Oh my gosh.
930760	932760	Okay.
932760	934760	That's cute.
934760	936760	I love that.
936760	938760	Oh it's not a cat.
938760	940760	It's not a cat.
944760	946760	It's a winky face.
946760	948760	Okay it's a winky face.
948760	950760	I was like what is miawa?
950760	952760	So I was like who is this guy?
954760	956760	We are so good.
956760	958760	This is a cat.
960760	962760	That's good.
962760	964760	That's good.
964760	966760	I love that.
970760	972760	Okay this makes sense.
972760	974760	This makes sense of what on earth we were drawing.
974760	976760	Because I just chucked out
976760	978760	and like that's items on the shelves.
978760	980760	I worked around.
982760	984760	Oh this is a good diaper.
986760	988760	I see understood me.
990760	992760	Oh my god.
994760	996760	I snored in my teeth or my nose.
998760	1000760	I snored in my teeth or my nose.
1006760	1008760	It's painful it hurts.
1008760	1010760	I can't.
1010760	1012760	I can't.
1012760	1014760	I had to do the toilet stall gap.
1014760	1016760	Because that's all I see about
1016760	1018760	when I see American memes.
1018760	1020760	Oh the toilet stall.
1020760	1022760	The toilet gap is so big.
1022760	1024760	You can literally look at people's eyes through it.
1024760	1026760	It went the wrong way.
1026760	1028760	Oh no.
1028760	1030760	We have them closed because you know it's a private time
1030760	1032760	and you're very vulnerable taking a big job.
1032760	1034760	So yeah it's actually closed everywhere else in the planet.
1034760	1036760	Oh you're so lucky.
1036760	1038760	Yeah.
1038760	1040760	I had people peeking at me in high school
1040760	1042760	through the stalls and I'm like
1042760	1044760	me too.
1044760	1046760	Oh no.
1046760	1048760	Is there a DC?
