start	end	text
330000	350000	Oops, let me turn this off.
350000	354000	My music off.
354000	357000	Senpais!
357000	362000	Don't spoil the game!
362000	367000	Oh shit, you can see my steam library, fuck.
367000	382000	Ahhhh.
382000	388000	Give us a second.
388000	391000	Why aren't you doing DOS?
391000	398000	Why aren't you doing the DOS box?
398000	403000	There it is.
403000	406000	Let's make this a little bit smaller.
406000	411000	I set you up to be
411000	413000	1920 by 1080.
413000	420000	You stupid game.
420000	422000	You stupid game.
422000	424000	It's okay.
424000	436000	Welcome Senpais to the stream!
436000	439000	I've literally, literally
439000	442000	set this up so hard.
442000	444000	I've saved it.
444000	447000	I went into the like configuration settings,
447000	449000	changed everything,
449000	454000	and it's still being a little whole.
454000	457000	Anyways, for those who don't know
457000	460000	anything about Harvest Starter,
460000	467000	it is a game made basically as a
467000	471000	protest against censorship.
471000	474000	So what you're going to see is, of course,
474000	478000	a lot of maybe edgier stuff.
478000	490000	You might see me canceled in like a day or two, who knows.
490000	501000	It's very famous for being quite out there.
501000	503000	I still hear the background.
503000	504000	Oh shit.
504000	509000	I was so caught up on seeing,
509000	514000	on making this work that I didn't realize.
514000	517000	There you go.
517000	519000	Wrong one.
519000	521000	Wrong one.
521000	523000	There we go.
530000	532000	You just missed a little bit of the opening.
532000	534000	We can watch it again.
534000	536000	Just kidding.
548000	551000	So this is the hatred of past generations.
551000	554000	There's a lot of games and movies
554000	557000	and even animes back in the 90s
557000	562000	that were protest against censorship.
562000	565000	A famous one, a famous anime,
565000	568000	that some of my senpais might know,
568000	570000	it's called General Cyber,
570000	572000	which is, which dubs itself
572000	576000	as the most violent anime ever made.
576000	583000	It's also a protest against censorship as well.
583000	585000	So make sure.
585000	590000	So games of this time,
590000	592000	the censorship was, of course,
592000	597000	due to the...
597000	603000	I think basically the scare where every...
603000	607000	Oh gosh, it's been a while since I did this study.
607000	610000	But at this point, it'll be games that are evil
610000	614000	and makes your kids satanists
614000	618000	and makes your kids all bad and stuff.
618000	623000	And so here, you can just say moral panic.
623000	625000	Mercy, thank you.
625000	630000	Everyone is up in arms about video games.
630000	633000	So what do they do?
633000	635000	They go,
635000	638000	what if we can make it worse?
646000	648000	What if we can make it worse?
651000	655000	So here we are with Arvester.
660000	663000	Oh come on, there we go.
663000	669000	Actually, let me move my screen a little bit for me.
669000	677000	I've set you up to be like the perfect ratio,
677000	679000	and now it's still windowed.
679000	681000	Can you believe it?
685000	688000	So pretty much,
688000	692000	I think this was the time when people saw...
692000	695000	I need to remember, mind you,
695000	700000	I did this study a couple, a few years ago.
700000	704000	So this was a long time ago, so my memory is still shot.
704000	710000	But this is probably like...
710000	713000	Was it Nightcrawler?
713000	718000	Nightcrawler, kind of like scare moral panic there.
718000	721000	Where, you know, Nightcrawler is like a bunch of creeper,
721000	725000	like ninja things.
725000	727000	Night trap, yes.
727000	729000	Not Nightcrawler.
729000	731000	Yeah, Nighttrap, where a bunch of ninja things
731000	736000	are coming in for these girls' sleepovers.
736000	740000	Did you tweet you are alive?
740000	742000	No?
742000	745000	I guess I'll go do that now, Senpai.
752000	755000	I guess I'll do that now, Senpai.
762000	765000	I can't believe.
765000	768000	I always forget.
768000	773000	I think I'm still in the mindset of...
777000	781000	Hold on, I need to get the...
781000	782000	What do you call it?
782000	785000	The thumbnail, and then I gotta...
