start	end	text
330000	350000	and
350000	379120	Hello everyone, hello Senpai, welcome to the stream.
380120	391120	We're back at it again with Harvesturder.
391120	399120	Sorry, I'm a slightly bit late, I'm slightly bit late, I had an idle meeting.
399120	411120	Thank you for Griffin, for the 10 gifted, and welcome to member, member, and Iago.
411120	418120	Welcome to member, lord, yeah, yeah, yeah, yeah Rock.
418120	424120	Well, I can't read. How are you feeling? My arm is still itchy.
424120	432120	So we're going to be playing kind of, not aggressively.
432120	435120	Now we're going to play not that aggressively.
435120	440120	Are you doing better? Let me check my arm.
440120	447120	There's some patches that are cleared up, but there's some parts that are still pretty bumpy and gross.
447120	465120	And it's, yeah, I have an appointment, I have an appointment with my doctor on Monday, that's the earliest she can see me, I think.
465120	477120	And so we're going to check that out, but watch as like my rash goes away by Monday.
477120	490120	It's LB really, it's always like that, right? It's always like that, it always, it always goes away by the time you get to the appointment.
490120	495120	But yeah, it's been a couple of days now. This morning it was flaring up really badly.
495120	503120	So I had to push, put my like bedsheets and stuff to the wash, so I have no blanket today.
503120	519120	So I've turned on, I've turned on my streaming lights, because sometimes I don't turn them on, but today I'm turning them on, so it's extra warm in the cages and in the basement.
519120	542120	So we're going to continue playing, playing, I don't remember if I have anything else to say, other than I want to just double check the instructions to see if I remember it.
542120	558120	Oh, and I got in the new mouse, the new mouse that Senpai gifted, so now I have a mouse that actually works, and not a mouse that disconnects every moment.
558120	570120	So now I can like move it nice. It fits my hand too.
570120	579120	It fits my hand, so now I've got a nice mouse to play my point and click games.
579120	583120	Okay, let's see, left button to move.
583120	596120	I'm going to start on a puzzle, avoid cliches, crazy logical.
596120	599120	Okay, I think we're good.
599120	602120	Yeah, that was punch.
602120	605120	Double click to open stuff.
605120	609120	Okay, yeah, we're good, we're good, we're good Senpai.
609120	614120	So now we just have to load our last save file.
614120	621120	Which is Senpai, I love you, I think that's the one.
621120	626120	Now you can play a difficult game about climbing.
626120	629120	I think I was too frustrated with that.
629120	633120	Okay, nothing else in here.
633120	636120	Look at my stinking brother.
636120	639120	Give me the paper.
639120	644120	I don't want to talk to him, but he gives so much hints.
644120	647120	He gives so much hints.
663120	666120	And twitched and drew up.
666120	669120	I guess I got my answer.
669120	671120	This is why I hate you.
671120	676120	Hate! Hate!
676120	677120	Hate!
677120	678120	Say what?
678120	681120	Yeah, yeah, I said I hate you.
681120	685120	Yeah, my little brother.
685120	687120	Little brother, hate.
687120	689120	Little sister.
689120	696120	Okay, little brother, hate.
696120	698120	Hate, Trid.
698120	704120	I'm in Sparky's super foamy fire extinguisher.
704120	707120	A new boy in his sleeping soundly.
707120	710120	Hello, mother.
710120	712120	Hello dear, how are you today?
712120	715120	You know those firemen, the funny ones with the color sense.
715120	718120	Looks like they misplaced a bolt of expensive fabric.
718120	721120	Of course, each one of them suspects the other.
721120	723120	Looks like a cat fight is brewing.
723120	725120	Congratulations, hero.
725120	727120	You found Karen after all.
727120	728120	You don't seem proud, mother.
728120	730120	You don't seem proud, yeah.
730120	732120	I warned you not to waste time looking for her.
732120	734120	Am I running out of time?
734120	736120	The blood drive is coming soon.
736120	738120	What does that have to do with anything?
738120	740120	Yeah, why does that have to do with anything?
740120	743120	Thank you, Vincent, for remembering.
743120	746120	Still, I'm glad you found the poor baby.
746120	752120	She says Mr. Potsdam was responsible for what happened to her.
752120	754120	Yeah, I knew it.
758120	760120	I can't believe Potsdam would do something.
760120	761120	I believe her.
761120	762120	Shame on you.
762120	763120	Fuck you.
763120	766120	Imagine accusing your future father-in-law of a thing like that.
766120	768120	Is that how a rain-dryer would behave?
768120	770120	I don't think so.
770120	772120	Why would she lie?
772120	773120	Why would she lie?
773120	776120	Mr. Eisenheimer, even if he is a child,
776120	778120	molester, a kidnapper, and an attempted murderer
778120	780120	Molester, a kidnapper, and an attempted murderer?
780120	782120	What kind of father-in-law he'll be?
782120	783120	What?!
783120	785120	I just can't wait for the wedding.
785120	786120	What?!
786120	787120	Wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait,
787120	788120	wait, wait, wait, wait, wait, wait, wait, wait, wait.
788120	792120	What do you mean that does not affect the way he's seen as a father-in-law?
799120	801120	Also, Amy's not related.
803120	816780	I honestly should should should mod serenity, but I don't know how and I'm kind of lazy
816780	824340	I'll do it next time I'll do it next time next time I'll give her the power
824340	838040	I like being able to be sneaky and chat yeah yeah I know now hush hush we're
838040	843140	gaming right now right now love letter
845660	849860	don't forget to put the papers out for Jimmy you know how he gets yeah I know
849860	861260	how he gets cookies my why is my baby sister always asleep anyways let's get
861260	868180	out of here not get out of here I need to save save save save always save a game
868180	883580	remember to save scum Senpai I love you I was good that man I said man I said
883580	894260	you can you can add you can add serenity thank you finish for a gifting 10
894660	900420	oh no it's doing the thing it's doing the thing where it's going through
900420	922660	everyone I tried to fix it I tried to fix it and it didn't fix it at all I tried
922660	932380	to fix it and it didn't fix it at all I'm sorry at least you didn't make it
932380	938700	worse not yet I didn't make it worse yet
938700	958580	you have no idea how hard it is to do variations in like these in these
958580	968660	alerts it's hard it's hard I might force manager to do it for me man I
968660	989780	think you transfer for remembering it sounds cute yeah I because I recorded it
989780	995020	I always sound cute do you not think I sound cute Senpai inventory there we go
995020	1011740	where's my paper there it is here you go kid man I want to beat this kid up I
1011740	1017300	want to beat this kid up I could take on this kid right did you tweet that you're
1017300	1019300	like
1031300	1041460	hold on I had my mind on other things Senpai
1041460	1051860	I had my mind on other things like my arm like icing my arm for example huh okay
1051860	1066740	just a minute give us a second it's probably I'm gonna confuse about where
1066740	1074140	everything is there it is
1074140	1086100	okay okay we're live tweeting this we're live tweeting this Senpai
1087060	1103220	I'm live have Senpai thank you for the super chat Lord Yaro Yaro that's my
1103220	1114020	ko ha ko ko ahi thank you for the super sticker it's a rose thank you I want to
1114140	1128620	have maracas and be like tuxedo mask and bites bites the the rose seductively is
1128620	1134860	this a horror game yes sure is minor spelling mistake minor smelling mistake
1134860	1149420	points it out or like almost 20 minutes now oops please join me
1149420	1160780	ah ha ha stream or mercy and then I gotta add in the room the room give me a
1160780	1168540	second give me a second I'm I'm a big dummy I'm a big dummy when it comes to
1168540	1173620	this I always forget I feel like managers should should be mad mad at me a
1173620	1183640	little more but I think I think mistakes happen I saw some some Senpais call me
1183640	1190480	Pawn and then I had to look up what Pawn meant because for a while I was like
1190480	1205760	pom pom way way way pom pom way pom pom and then I had to look at it at that's
1205760	1212440	pomp isn't it that's not pomp I know what pomp is it's fine strutting every
1212440	1226320	tweet she's live is that not it no it means like you know you're a little
1226320	1239120	clumsy apparently means you're you're clumsy so I was like what do you mean
1239120	1255280	Pawn okay I'm posting it yeah we did it we did yet hey out of here serenity
1255280	1265280	can't blend anymore I know nope it's it's good so I I it took me a long time to
1265280	1269920	understand what that was the same thing for like wait wait wait did no one notice
1269920	1274000	this the security bars fast into the windows are with Philo have flipped
1274000	1285040	head screws wait okay let's check out our fiance our girlfriend listen here you
1285040	1291360	little punk did you say hello to your father for me now yes I did thank God
1291360	1295200	for that at least now I hate you
1307520	1313640	yeah I know what that crazy little bit said but it's not true I was at home
1313640	1320240	that night Mrs. Potsdam will that's for me isn't that right Mrs. Potsdam that's
1320320	1325480	right mr. Potsdam hello Steve care to stay for some pot roast
1325480	1331960	why me little bitch pot roast mother pot roast isn't for backstabbers for
1331960	1345680	persecutors I won't share my meat with him why are you covering up for him
1345760	1353360	Mrs. Potsdam it's the truth that's why and I think you better be going young man
1353360	1358880	before I call your mother and tell on you those silly willies down at the fire
1358880	1363840	station are just incensed about losing some decorating
1363840	1369600	stuff some people yeah maybe they should be more concerned with fire
1369600	1373520	and less with flame
