start	end	text
480000	509820	Hello everyone give me a second.
509820	513100	I gotta, I gotta, I gotta get rid of,
513100	515640	get rid of the, my mercy theme.
515640	517900	Silence, silence.
517900	520380	You guys want to hear the game, right?
522340	523580	I'm a mama mama mama.
523580	525900	Oh no, wait, you can't even hear the game.
525900	529380	Ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha.
529380	532580	Oh, I'm kind of dumb.
532580	536940	Ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha.
536940	539180	Oh, my bad.
540580	542860	How do I do this again?
545500	547140	Oh my gosh.
548460	551740	It's so funny, I'm like, yeah, I have everything ready.
551740	553460	I set up my controller.
553460	555340	I made sure everything's fine.
555340	557660	Of course I forget one thing.
557660	558780	Tee hee, pet up.
558780	563780	Oh, let's call this, uh, monitor sound.
579980	584220	I got so nervous I had to run to the bathroom.
584220	586580	I mean, I ran to my idle meeting.
587580	588580	Uh-huh.
594860	596220	Is this the one?
601860	603460	No, I set my idle meeting.
603460	604500	Shut up.
604500	605340	Did you wash your hands?
605340	606780	Of course I washed my hands.
608740	610540	Is this the right one?
610540	615540	Oh, that's bad, that's bad that I can't do this.
616900	619220	Where is my sounds?
619220	621100	Where's my monitor sounds?
621100	621940	Thank you.
624180	626020	Is this dumb?
627300	628900	Okay.
628900	630540	Hello?
630540	631580	Hello, hello?
639620	641700	You guys can hear it now, right?
641700	642700	Ha ha ha ha ha.
646580	647420	Yay.
649540	650940	Yay, yay, yay, yay, yay.
650940	652340	Okay, cool, cool, cool, cool.
653580	654780	How's the volume for everyone?
654780	657220	I'm gonna adjust my own volume
657220	658860	just so I can hear some more,
658860	663620	but the volume for a bit, a bit, it's a little different.
663620	664940	Some five?
664940	665780	Let me know, okay?
668860	669820	Okay, okay, okay.
669820	671380	It's all good, a little bit loud.
671380	674380	I can pull it down a little bit for, for,
675020	680140	for, for, for, for, for, for, for, for, for, for, for, for, for,
680140	685540	for, for, for, for, for, for, for, for, for, for, for, for, for,
686500	690180	for, for, for, for, for, for, for, for, for, for, for, for,
690180	691020	for, for for, for, for.
691020	692380	For, for for, for, for, for, for, for, for, for, for for.
692380	693580	For, for, for, for, for, for, for, for, for, for.
693580	694580	For, for, for, for, for, for, for, for, for, for, for so good,
694580	695580	for, for, for, for, for.
695580	697300	For, for, for, for, for, for, for, for, for, for for, for, for,
697300	709540	I want to play on normal.
709540	714780	You guys are not going to complain about normal, right?
714780	720500	My senpais aren't going to complain about normal, right?
720500	721500	Normal is fine.
721500	730100	I'm an auntie nausea pill, about 15 minutes before spring, so it should, it should kick in, yes.
738100	739100	Wait.
741500	744100	I forgot I'm using an Xbox controller!
744100	746100	Wow, dumbass!
752100	754100	Ahahaha!
762100	765100	Target Angel!
765100	770100	January 20th, 2010 winter.
770100	772100	Huh?
772100	774900	Look at him in his low wiggly fingers!
774900	776100	What is he wiggling at?
776100	778500	Is he going to tickle you?
778500	781100	Huh?
781100	782700	I can't read this.
782700	784700	Hahaha!
789300	792300	Oh, by the way, I am playing on the Xbox controller.
792300	797700	Um, I read that there's like mixed reviews on the controls, so I'm going to try my best.
801700	804700	Garcian Smith.
804700	806700	Did I totally butcher that name?
806700	808700	Hahaha!
811100	821700	Oh yeah, I set up dynamic lighting and everything, so we can have feels.
821700	823700	Oh, they're passing each other.
823700	824700	What are they passing?
824700	825700	Christopher Mills.
825700	826700	What are they passing?
826700	827700	Is it drugs?
827700	830700	Is it a video game?
833700	835700	Kenchi Angel, thank you.
841700	845700	Is that, uh, what case is that for?
845700	847700	A violin?
851700	853700	Haha, passing the mixtape?
853700	856700	Yeah, check out my mixtape.
856700	857700	It's me.
857700	858700	So you there yet?
858700	859700	It's me!
