start	end	text
540000	563240	all
563240	567640	Sorry.
567640	572740	Sorry!
572740	581060	Sorry!
581060	587720	Sorry, senpai!
587720	591520	Sorry, supplies!
591520	597720	It's okay, supplies!
597720	610420	Yeah, I'm fine, I'm fine, I'm fine, sorry, supplies!
610420	617420	I had my, I had my, I had my weekly breakdown just before stream!
640920	645420	Ugh, I tried my best.
645420	651420	I like, I like, did it, uh, I didn't cry.
651420	656420	Or like, oh shit, I don't remember which slot I saved in.
656420	669420	Uh, I like, uh, I didn't cry.
669420	674420	And then the moment I hit live, I like, transition, I was like, ah, fuck.
674420	682420	Just wait till I'm on my 19th, 19th nervous breakdown.
682420	689420	Oh yeah, oh yeah.
689420	690420	Oh yeah.
690420	694420	Or I gotta keep like, which one is the one that I saved in?
694420	699420	Oh, no data, okay, okay, yeah, okay.
699420	702420	I think I know which one, we're in, we're in this one.
702420	709420	So, yeah, let's load this file.
709420	716420	Look at those weekly hands!
716420	718420	I took my Walsh's sickness meds, yeah.
718420	724420	About half an hour before stream started.
724420	728420	I'm looking at a moon.
728420	733420	Ugh, okay.
733420	738420	Do I remember how this works?
738420	743420	Okay, that's movements.
743420	747420	Yes, okay.
747420	750420	Press A, hold A to continue.
750420	752420	Yes, yes, yes, I forgot!
752420	754420	Has your rash been feeling better?
754420	762420	Yeah, except for my doctor was like, except for now I'm starting at my rashes.
762420	768420	On my legs and my other arm.
768420	776420	And now I have an appointment with a dermatologist.
776420	781420	Yeah.
781420	783420	Wait, which way was I supposed to go?
783420	788420	I can't remember.
788420	794420	Oh, shit.
794420	796420	I can have your skin.
796420	804420	Here, I'll peel it off gently with a carving knife.
804420	809420	Oh, shit, was it this?
809420	811420	No, it was the other way.
811420	818420	It was the other way, tee-hee.
818420	820420	Boiler room.
820420	824420	Okay, let's see if I remember.
824420	827420	You happen to have any items from this level so far?
827420	829420	I don't remember.
829420	832420	Let's check.
832420	834420	Oh, items.
834420	837420	I have the firing equipeted.
837420	840420	I have some bloods.
840420	843420	And here's all the smiths.
843420	848420	I like using Dan the most because he's, he shoots fast.
848420	857420	He shoots at fast.
857420	869420	What the fuck is this?
869420	873420	F.
873420	877420	U.
877420	879420	Okay.
879420	880420	Input error.
880420	884420	Wait, was there a hint somewhere?
884420	885420	Was there a hint?
885420	894420	Oh, shit, reload.
894420	896420	Bit rude.
896420	898420	Was there a hint somewhere?
898420	903420	I like hints.
903420	909420	Whoa.
909420	911420	Yeah.
911420	912420	Wait, where is it?
912420	914420	Oh, yeah, there we go.
914420	916420	Oh, mommy.
916420	926420	Mommy, welcome to the stream Raiders.
926420	929420	There's an A.
929420	930420	Got drunk.
930420	932420	Good night, Mercy.
932420	936420	I love you, dear child.
936420	938420	She's so fucking drunk.
938420	940420	Oh, no.
940420	942420	Sampai.
942420	947420	Sampai.
947420	951420	Thank you for the 420, sending ton of love your way, Mercy.
951420	954420	You've continually been making my last few weeks better.
954420	955420	So thanks for that.
955420	960420	I also happen to be a resident of Manto, Illinois,
960420	963420	but you've helped bring me some stability
963420	966420	and something to look forward to more days.
966420	967420	Thank you.
967420	968420	Sampai's too.
968420	970420	Sampai's too.
970420	971420	Oh, my gosh.
971420	972420	Thank you for the five gifted.
972420	979420	Bui.
979420	984420	I was like, I was like,
984420	991420	oh, here's my like,
991420	995420	here's my like breakdown again.
995420	997420	Is there, is there something to do with these lights
997420	1000420	or are they just there?
1000420	1002420	We can do okay.
1002420	1007420	Oh.
1007420	1013420	I don't know where K is in the alphabet.
1014420	1015420	Okay.
1015420	1020420	No.
1020420	1025420	Wait.
1025420	1030420	It's not ZK, is it?
1030420	1031420	It's not in ZK.
1031420	1033420	That would be so funny.
1033420	1037420	You see where the text says ISZK?
1037420	1043420	That would be so funny.
1043420	1045420	Oh, thank goodness it's not.
1045420	1049420	It would be so funny, but thank goodness it's not.
1049420	1054420	I know it's like, oh, we can totally,
1054420	1055420	we can totally brute force this,
1055420	1062420	but I want to solve it.
1062420	1078420	I want to solve it, Sampai.
1078420	1081420	Oh, well, I'm so stupid.
1081420	1082420	I remember.
1082420	1083420	I remember.
1083420	1084420	Okay.
1084420	1085420	Yeah, we were, we were here.
1085420	1086420	I understand.
1086420	1088420	It was no understood.
1088420	1091420	It was no.
1091420	1092420	There you go.
1092420	1093420	Wow.
1093420	1094420	I for gore.
1094420	1095420	I for gore, Sampai.
1095420	1099420	I for gore.
1099420	1108420	It's been, what, like since last week?
1108420	1109420	Nampai.
1109420	1110420	Nampai.
1110420	1112420	Thank you for the super chat.
1112420	1113420	Chrono time.
1113420	1114420	Thank you.
1114420	1116420	You make the long days better.
1116420	1119420	Thank you, Mercy.
1119420	1122420	I for gore.
1122420	1123420	Correct input.
1123420	1127420	Lock deactivated.
1127420	1129420	This is my fault for like,
1129420	1141420	what's the word?
1141420	1156420	Oh, hey.
1156420	1162420	Oh, wait, it's different than a duplicate.
1162420	1168420	It's an evolved heaven smile with boosted explosive power.
1168420	1172420	You got to take it out before it gets too close.
1172420	1173420	They're crazy.
1173420	1174420	I'm telling you.
1174420	1178420	They'll be on top of you the moment you open the damn door.
1178420	1180420	Wait, can you say that again?
1180420	1193420	With this time, like more, more sash, sashual?
1193420	1194420	Okay.
1194420	1195420	This is where the queen is.
1195420	1198420	It's different than a duplicate.
1198420	1204420	An evolved heaven smile with boosted explosive power.
1204420	1209420	You got to take it out before it gets too close.
1209420	1210420	They're crazy.
1210420	1211420	I'm telling you.
1211420	1216420	They'll be on top of you the moment you open the door.
1216420	1237420	Well, shit, stairs.
1237420	1242420	Senpai, I might be fucking stupid.
1242420	1248420	I might be fucking stupid.
1248420	1249420	He said a door.
1249420	1260420	As soon as you get through the door, there was no fucking door.
1260420	1263420	I was like, what fucking door?
1263420	1265420	I'm going back.
1266420	1276420	I forgot how to heal.
1276420	1285420	Blood recovery.
1285420	1289420	Okay, there we go.
1289420	1298420	Okay.
1298420	1300420	Door equals stairs.
1300420	1315420	When he said door, I was like, oh, door, door, not stairs, corridor.
1315420	1325420	Fuck.
1325420	1330420	Fuck.
1330420	1332420	Am I kind of stupid?
1332420	1334420	Yes.
1334420	1344420	I didn't realize there was another corridor.
1344420	1345420	Which?
1345420	1347420	Which one?
1347420	1352420	There you are.
1352420	1357420	Okay, we're good.
1357420	1362420	I'm baffled by angles.
1362420	1366420	Can I go into Hyraman's room?
1366420	1368420	Oh.
1368420	1369420	Hi.
1369420	1373420	I'm on a go to the television now.
1373420	1385420	And please take the blood.
1385420	1388420	I can't save here, but I have some serum.
1388420	1393420	So I can...
1393420	1398420	I want to use my skills.
1398420	1400420	Let's do some...
1400420	1404420	I think I should put in criticals now.
1404420	1407420	Yeah, yeah, fuck you.
1407420	1409420	Yeah, I can do counter attacks.
1409420	1412420	Yeah, yeah, yeah, yeah.
1412420	1423420	And speed or waver or power.
1423420	1438420	Waver is the wiggliness.
1438420	1451420	No, no, I don't have enough to have more power.
1451420	1457420	Maybe less wiggly, so we'll do the waver.
