start	end	text
300000	311100	to
311100	329280	.
330160	332160	Holy crap
333000	335000	Holy carps
336800	338800	Whoa, oh
340960	346740	My snippets my senpai, thank you so much for I
347960	354640	I went on and I looked I was like there's so many people here already with the hecky
355560	357120	Thank you
357120	359120	Everyone
366800	368800	For all
373920	377840	Thank you, thank you, thank you eat be a little bit, okay?
377840	384520	I'll tell you guys why I'm super eat be right now at first. I was gonna do a hand camp stream, but
385400	387400	Um
388000	390000	Yesterday if you saw my twitters, uh
393040	395040	You saw my Twitter I
395640	404000	Yeah, I got a pretty bad rash on my arm my dominant. What's what's worse is it's my dominant arm right now, and I've
405800	409360	But for a stream I've iced it for like one hour and
409960	416080	Basically, it's kind of like it's if it doesn't go away by
417280	419760	If it doesn't go away by by by by
420640	423160	Saturday, I'm gonna go to the doctor
424520	428680	What happened? I don't know it's just an allergic reaction. It just happens sometimes
431760	437200	Which one is your dominant hand my right so it's my right arm that's got
439360	445400	That got so it's like super. It's red. It's as red as like a lobster
447360	452280	It's as red as a lobster and really really itchy and
452800	455600	I accidentally scratched it and it started bleeding
455600	462040	So we're not gonna do that and so I'm going to spare my senpai's worry by not
463200	465200	Doing a hand camp stream
466800	468800	Yeah
469360	475480	Did you smear eggs all over your arm? I don't think so, but I might have touched something that had eggs on it
475480	477480	And then I just like flared up real bad
481120	483120	That just happens
485000	487880	That just happens like it was so red
488760	494080	It was so red like I was like oh dear. That's probably not good
495040	499280	Your allergy is that bad? I have to go to the hospital if it's super severe
500040	502040	especially
503120	505120	Especially if I ingest it
505680	508280	Anyways, so for today's stream instead
508280	514840	We're going to do things one-handed or at least it's possible to play with one hand and that is for today
515200	521640	For my membership. I am so happy to announce that memberships have opened as well as
524880	526880	As well as
530360	535160	As super chats and stuff. I think yes. Yes. Those are all open. Okay, but
536480	539480	Thank you so much senpai. It's always been my dream to
539840	546980	Make it this far as well. I have lots of goals and we're gonna we're gonna just just smash right through them. I
548880	551400	Think everyone can send super chest. I think yeah
553520	555520	Yeah, yeah, yeah
555560	557560	so um
559960	561960	I
562440	566400	Got a smash right through them. So today we are going to play a game. I
567880	569880	Might regret this I
571760	577000	Might regret this not seeing it available. Dang. Maybe it's just memberships only. Okay. I
577800	580520	Might regret this. Are you ready? I
582600	588280	Have tripled up on medication. I have senpai's gift to me for this
588920	596600	Anti-nausea bracelet thing that's sending electric waves and it kind of kind of feels funky. I have that I have ginger tea
598720	606720	Thank you, you know for with the 420 congratulations to our kohai Mercy truly lights up our lives here in this lovingly furnished
606720	609640	Basement greater than any celestial body can manage
610320	614360	Let her smile warm your soul and hey, it's a super chat
619120	626520	Um, oh, thank you for the congratulations rain. Uh, I have ginger tea. I
629560	636880	Took an anti-nausea pill and we are going to play don't scream
637960	639960	No, no, no, no, no, no
640000	642280	Now we're gonna add some caveats to this
643640	647440	We're gonna add some caveats to the don't scream for membership
648280	655840	If you gift to or more memberships, there is going to be a jump scare sound that will probably scare me
659160	666280	One memberships or if you just joined membership will also play a sound which might scare me if you donate or tip
666680	672320	$10 or more you can do text-to-speech, which will also scare the living bhajibra's out of me
676040	678040	So
679280	681280	And
683480	685240	And
685240	687240	So today
687320	689240	We're gonna see
689240	694760	How that works and I don't know why I I don't know why I'm freezing so much. Hold on. I think I know why hold on
694760	699200	Let me adjust some stuff. Okay. There there we go. There we go
702320	704320	Let me just tell you
705000	707000	Senpai I
707520	713040	Suck at horror. I hate jump scares
714920	719240	If I had flight or fight I would have fight and fight usually involves screaming
723080	724840	If
724840	729960	We're gonna try it out if by some chance I cannot do it
730920	733360	Please understand. Oh, thank you, Charlie
734240	738920	Charlie spur for the 10 Mary Seacal high. Can I leave the cage? I promise I won't run
738920	743960	I just want to stretch my legs, please. I promise. I love you. You can move to the bigger cage
748000	750520	If ice for some reason cannot do it
