start	end	text
0	18400	Tenpai, I saw you at school today I took your picture, man, I snuck away
18400	24320	I want you to notice me But I'm just someone you don't notice
24320	30080	Well, I think I've got a rival I have to kill
30080	35840	Please notice me, senpai Please notice me, senpai
35840	41680	Please notice me, senpai I am, there's no hope to die
41680	47200	Please notice me, senpai Please notice me, senpai
47200	53040	Please notice me, senpai I am, there's no hope to die
54560	65600	My heart beats faster when I'm near you I get so nervous, I don't know what to do
65600	71280	I don't mean to seem aloof I've got to push another student off the roof
71280	77360	And I drag the body to the furnace To destroy all the proof, why won't you
77520	83280	Please notice me, senpai Please notice me, senpai
83280	88720	Please notice me, senpai I am, there's no hope to die
88720	94640	Please notice me, senpai Please notice me, senpai
94640	100480	Please notice me, senpai I am, there's no hope to die
100480	105480	If anyone else will die, only you and I will be left standing
105480	108480	This one on my mind might not know why
108480	113480	Please, why won't you notice me, Senpai?
114480	117480	Please notice me, Senpai
117480	120480	Please notice me, Senpai
120480	123480	Please notice me, Senpai
123480	126480	I promise we'll have to die
126480	129480	Please notice me, Senpai
129480	132480	Please notice me, Senpai
132480	135480	I promise we'll have to die
