start	end	text
270000	272000	I
279000	281000	Wow
285000	287000	Oh
289520	292280	I'm sorry, I just woke up
293000	297820	Well, not really just woke up. I woke up not too long ago, and then I scarfed down
298580	301500	Mama's food and then ran down here
312500	314820	But today we're playing Omari
317940	321660	Looking kind of pale there, so does this guy on screen
322100	324100	I
326820	331020	Ain't on controller. What did mama cook? Um
335380	340220	Banh-hi a Vietnamese food called banh-hi
345900	347900	It was very delicious
352260	354260	I
362540	364540	Was very delicious
370420	374620	Have you played Omori before I have a little bit oh shoot hold on
375580	379040	It's capturing my cursor. Let's fix that
380040	382040	Don't worry
382320	384320	Everything is going to be okay
388160	392640	Only you're sobbing no matter what happens
396480	398480	Promise me that will always be there
399480	401480	I
408640	410640	Miss me
424560	426560	Welcome to white space
428600	430600	You
432120	434120	Can I go into the game yet?
434240	439760	Is you are used to it? You have been living here for so for as long as you can remember
447400	449400	Tonight is
458480	460480	I
469640	471640	Think I'm in the gameplay zone
471640	477520	So give me a second as I fix the capture a bit so it doesn't capture the cursor
478920	482800	Because sometimes I need my cursor on my screen, but I don't want you guys to see it
483520	485520	My I don't want to see my senpai see it
489000	491000	I
492760	496080	Totally I played up to some bears and that was it
502800	505760	A tissue box for wiping your sorrows away I
506560	510420	Have one right here beside me too and a big
511480	512640	big
512640	514960	industrial amount for senpai's I
518480	520480	Don't
522040	524040	You booted up your laptop
528080	531680	What would you like to do stare at your screen
534040	538760	You stared at the screen, what would you like to do open your journal?
540840	547520	Today I spent time in white space everything was okay today. I spent time in white space everything was okay
549240	551240	Everything, okay
552240	555760	Yay, what would you like to do log off a
560560	564160	Heat from the laptop warmed your lap felt nice
567240	569560	Your sketchbook take a look inside
572200	574200	Huh
574560	578400	All right, all right
583080	585080	All right
593880	595880	How artistic of them
605200	607200	Oh
614120	618560	What is that it's not a piece of meat or a flat night ball
624280	626120	Oh
626120	628120	assistant
628720	632840	Meal me wall meal meal
635160	637160	Waiting for something to happen
641560	647280	Something fell nearby oh a knife. What is this thing? Oh
651760	654960	A knife you got a shiny knife
658120	661360	Those things all right
666280	668280	Waiting for something to happen
668280	670280	Oh
684720	687120	Why door cast a hate chattel
692840	696760	What would you like to do open the door
697400	699400	Stop having it be closed
714040	716040	Oh so colorful
716040	718040	Oh
723920	732200	Hi Amore you're hoping that you come by soon and play cards with us. We're just about to start another game. Oh
735080	737320	Whoops never mind. Oh
738920	743840	Man what the heck Aubrey you messed up all the cards. I was winning too
746200	750640	Hey there, Kel. There's no need to get angry. It's just a game after all
752440	757200	Don't give me that hero you only say that cuz you were losing
763680	766440	I look at other stuff disgusting. I hate eggs
769480	771480	Tentacles poking out of the ground
