start	end	text
300000	323680	It's like oh you want to stream you're allowed to pick your stream but when you hit go live
323680	334240	you have to wait oh hi y'all everyone welcome to the stream it's me and my favorite scots
336640	340400	there are many scottish people in the world i'm her favorite thank you very much
341600	345920	morning good evening good afternoon you know how the drill you know the drill boys you know the
345920	352720	drill i wrote reeflings behave reeflings and snippet snippets we we exchanged little hands today
352720	358720	a tentacle and a hand has been exchanged for mersey and strawney are together so hello snippets
358720	368720	and hello reeflings today we're gonna play untitled goose game yeah um we are obviously
368720	373440	expo we're mlg xbox players so we're playing on controller have no idea if that makes a difference
373440	382800	to this game but that's not going to stop us at all like so um we can jump right into it
384800	391840	thank you barrels for the five i'm a barrel thank you for the five for mersey that's going
391840	399120	in or moving out fun thank you for fun we were trolling i was like you do not have to mute
399120	403280	whenever you want to say like thank you to someone who like tips you on stream or anything like that
403280	407440	you don't have to mute if anything i'll join in and say thanks because it's funny like that i find
407440	416000	it entertaining yeah i'll thank you for the 10 10 gifted members as well thank you 10 gifted members
416000	426960	thank you you did it okay okay are we jumping in are you ready yeah i'm ready i'm ready i'm ready
427760	436880	okay let's make sure which one's me which one's you i am i'm the orange one you're the red one
437840	444080	wait oh thank you why you thought automatically is that lag wait we're moving together i think
444080	451040	we're moving together whoa we are i'm not doing that wait but i am doing 360s on the spot thank you
451680	459680	eternity for the for the 20 super chat on moving out fun say less less at 30
462160	467280	wait left trigger is this because of is this because we're so mersey
468480	474640	a beautiful uh did they know you're canadian yeah yeah they know okay mersey's canadian
475600	482480	connecting to the internet but left trigger left trigger oh my god this game is lagging out
482480	487680	this game is lagging out it's not working user peaks
490480	497440	oh my god wrinkle bell jingle bell give me the boot i will take this way
498080	505040	okay oh my god wait i see you're controlling me right now when you do that oh my gosh bend down
505040	510400	to pick things up off the ground hold bend down to toes and just slide to the rhythm of the dance
510400	517520	go wow i got a can oh you're picking up later can i jump oh my god hold a it makes you zoom
518400	527840	oh my god the lag is so bad but that's not gonna stop me we are we are monsters
528640	538720	oh my god i can't get it oh my god i'm so smart right drop it oh my god oh we're so smart
540320	544000	i don't think the farmer's gonna appreciate that to be honest i'm glad oh we can oh my god
544240	550800	wings press right trigger to spread oh my god we're like little babies
553920	557840	oh my god do you hear that music too i do not hear the music what the heck
558560	565760	you don't have any game sound wait why don't i have any game sound oh no is it because i'm
566080	577040	um no no no is it give me a second okay i think you should hear ambience i can stream it to you
577040	583200	via discord so you have any game sound i think my volume for the game is just low because i can hear
583200	594720	it but it's very shiny someone's asking a goose for goose girl for gen two absolutely no no um i
594720	602560	will reject your suggestions for gen two live don't think i won't i why don't i have sounds
603440	612560	i don't i i can share on this guild if you want and then i think i'll be like behind them possibly
612560	618560	i mean we can try and see what happens this is a terrible idea if i share no goose girl no slime
618560	625600	girl wow they're so sad i don't everyone wants slain girl am i missing some also share application
625600	632480	audio yes go live right check out discord and see if you can hear okay okay okay
637360	644240	oh on mouse is actually a lot easier oh i can't believe it i won't use mouse i'm an xbox gamer
645200	653440	you know hold on let me hear me honking why can't i hear it is it my is it me
654400	662400	that's come by the problem hold on hold on i got this i got this maybe my god there's
662400	667040	i'm good it's a scottish game can't believe we're in scotland there's tartan down in the bottom corner
668400	673840	okay i think mercy's controller is registering as both players if you're using remote play
673920	680000	that's hilarious because i can still control me but mercy can control both of us how in
680000	686880	lore friendly is that yes mercy you can control me at any time oh my gosh oh wait no i'm siren
686880	691040	wait a minute yeah apparently your controller input is changing into mine i'm the one that's
691040	697120	supposed to be hypnotizing you here what the heck the lore the lore i've been i have no idea why it's
697120	706560	not what is the shade on dish cold stream paused swap your application to continue strumming
712000	716560	oh hold on i need to go into my steam settings
716560	724400	oh no it's me mercy it's me sniff snifflings snifflings
726320	732080	the snifflings must wait as we are we are we are doing make it double prepare for
732080	735680	trouble someone says prepare everyone says prepare for trouble and make it double
736480	741280	strongy thank you iron reaper for the 25 dollar tippy with
741280	749200	did you see that yeah 25 as well yeah like a oh my god protect the wearer from devastation
754800	761200	i'm so sorry right hold on it's me it's me it's me i'm fucking up the game
761200	772880	i'm done it's okay enable advanced host options i play audio okay and if i wait how about now
774000	780960	you hear something now or don't you isn't going through my freaking i'm worried it's going through my
780960	789840	my um my your headset my my controller your controller can talk
791600	799280	bye strongy thank you for the super chat 20 super chat moving out fun towel but i
799280	808000	move these funds over to my darling kohai thank you wow i think oh my gosh i'm so i'm so
808880	817440	what's what's the words they used to say in the day pega oh pega yes i don't know where you're
817440	821360	going with that right okay i can close that because that doesn't look right okay it says i
821360	827120	am streaming the remote play audio to you now whether or not that's true or not maybe a fib or
827120	837920	you know that you're senpai senpai i'm a little goosling short thank you peonish for the i don't
837920	848400	know what this currency is id r id r id r i don't know what the dominican republic
850400	856240	wait what i don't know don't forget that's when you move to kibak at tabernac
856960	861760	oh tabernac kubacos kubacos kubac
862480	867920	mersey and emi were making fun of me for the way i say kubac and i'm like i say kubac kubac
867920	874240	sweet yeah when i say how it spell i say kubac okay for some reason the volume's just not working
874240	885600	on my end it's kind of weird okay and the and the stream i mean i was going to say we can play
885600	891760	power washer but mersey gets first person motion sick so we actually can't quite play power washer
891760	903840	the way others might this danie reset reset are we lobby i have no idea i have streamed the game
903840	908400	audio to you so i don't know why your discord discord can't hear the audio as well my discord
908400	917600	can't hear the audio and oh i the monitor sound is as high as it can and if it if i make it any higher
917600	925440	you're going to you're going to sound a lot i'm going to be a bit too much now don't get me wrong
927200	934640	i do appreciate stop streaming simply turn turn on webcam i said turn on webcam i don't think mersey
934640	941280	wants to see that first thing in the morning i'm going to be honest um if i can move this up maybe
941280	947440	you know i wish there was a way to like separate audio between like this i actually like the voice
947440	953440	caller you totally didn't notice that oh i totally didn't notice that's actually because i fucked up
954160	961520	right untill this game also share application audio yes at mersey right go live and then go on
961520	965680	discord and open up that stream that i've just given you if that does not give you the audio i
965680	978560	am stumped for what we're supposed to do okay oh i can hear it can senpai's hear that it might be a
978560	992720	little low i heard it it's such a quiet honk oh boy you can hear moe quonk okay hold on let me
993680	997360	wait if it's too quiet i wonder why it's too quiet
1001040	1005840	how about that how about that it's still quiet but it's here they said it's a little low
1009520	1017440	the tiniest honk oh no i can't move my volume any any higher either that's the problem
1017440	1019760	um maybe if i can move the monitor sound up
1022400	1030640	i mean i could do it one more time one more time needs to celebrate i can
1031280	1042000	okay do you hear that bell i heard a bell the tolling bell is coming for us
1045200	1052320	okay yeah input for some reason mersey can also control me in the game i don't i don't know how
1052400	1054400	you've managed that but we have
1056480	1062800	bike i took control i can literally i can retake control of myself if i want but every
1062800	1070240	time you move i'm fighting against you in your pool yandere like holy crap you've literally
1070240	1075600	main broken me to do thy bidding and i'm not supposed to be the hypnosis here everywhere
1075600	1081520	we're supposed to play under these conditions quick let's make a heart with our with our beats i
1081520	1084240	don't know uh i can face you like this
1090880	1094560	i forgot about the honk again x oh wait
1099840	1105040	right we've completely forgotten wait there is a picnic down here it looked like uh scotland
1105680	1111520	look it's scotland oh oh wait our wings are up because the things were going to war but we're not
1112320	1118560	oh i don't know what your your your anthem is oh my god let's give it a huggy little hug huggy
1120720	1124080	i can't really hug you because every time you move towards me it pushes me away from you
1125120	1131280	because of the controls her powers of attraction with our wings out we literally look like wait
1131280	1139440	you control my wings as well my i copy everything how have we done this i have no idea i don't
1139440	1143840	think i've ever seen this girl work it is this what is supposed to happen
1145920	1151280	i'm playing with an extra challenge oh this i have no idea what this game is about by the way
1152000	1160880	so this will be interesting b is to open stuff so oh my gosh nate thank you for the gift of 10
1160880	1166240	holy crap thank you oh mercy is discovering i appreciate that ned but you're supposed to
1166240	1170560	give it to mercy because she's moving out stuff stuff oh my god we're doing gardening
1171440	1180640	gardening hold left one for as amount oh there's a man across the wall do you see him yeah yeah yeah
1180640	1188960	can i can i jump can we are you gonna you want to put the water on yeah wait why is he coming out
1188960	1198000	to us we're getting jumped we're getting jumped right can we open up this fence ah shit no is logged
1198000	1208560	from the other side wait can geese no fly what's going on here oh i keep mo you push me into the
1208560	1215360	secret you push me into the hedge secret i don't know how you did that but i'm so good i didn't know
1215360	1221200	i could do it i'm literally i'm not good control this is amazing
1224080	1227760	i'm i'm gonna jump them i'm jumping them
1230080	1236000	why no no no no leave leave mercy alone she's discovering a box she's not
1236160	1238640	playable
1249680	1254480	okay okay but where are we supposed to put the keys i don't know oh i guess we just run with the keys
1255600	1259600	i mean wait how do we know what that checklist is i saw stuff oh my god i'm fighting against
1259600	1265920	mercy so much right now trying to control myself again oh this is a problem on purpose
1267360	1271120	be be be oh i'm getting jumped he's jumping me he's jumping us
1271920	1277040	we got it we got it you got it okay let's run i'm going i'm going i don't know i'm gonna go back to
1277040	1285520	the fence yeah get through the fence right is this oh get to the fence oh okay success
1286400	1291520	how or what do we do with the is my question oh we cause problems on purpose
1294640	1303360	okay now we take it uh where oh make the groundskeeper wear his sun hat okay
1304240	1310960	right where did i say rake in the lake all right have a picnic okay we can do that rake in a lake
1310960	1316480	yeah okay we can do that right uh i is there a rake in the garden yeah there is
