start	end	text
0	14000	Shh, sweetie. I know you need to sleep, but don't you?
14000	22000	Mmm, it's so annoying when you get those nights of insomnia.
22000	28000	Why don't I just tinkle you until you do fall asleep?
28000	35000	You always say to me that you tingle the most when you're on the cusp of sleep.
35000	42000	Shh, I love you very much.
42000	46000	Don't worry if I'm doing it for a while either.
46000	51000	I know how subconscious you can be.
51000	57000	Just let me show my love for you by doing this, okay?
57000	61000	We all start slow together.
61000	66000	Shh, just listen in.
81000	86000	Shh, just listen in.
86000	91000	Shh, just listen in.
91000	96000	Shh, just listen in.
96000	101000	Shh, just listen in.
101000	106000	Shh, just listen in.
106000	111000	Shh, just listen in.
111000	116000	Shh, just listen in.
116000	121000	Shh, just listen in.
121000	126000	Shh, just listen in.
126000	131000	Shh, just listen in.
131000	136000	Shh, just listen in.
136000	141000	Shh, just listen in.
141000	146000	Shh, just listen in.
146000	151000	Shh, just listen in.
151000	156000	Shh, just listen in.
156000	161000	Shh, just listen in.
161000	166000	Shh, just listen in.
166000	171000	Shh, just listen in.
171000	176000	Shh, just listen in.
176000	181000	Shh, just listen in.
181000	186000	Shh, just listen in.
186000	191000	Shh, just listen in.
191000	196000	Shh, just listen in.
196000	201000	Shh, just listen in.
201000	206000	Shh, just listen in.
206000	211000	Shh, just listen in.
211000	216000	Shh, just listen in.
216000	221000	Shh, just listen in.
221000	226000	Shh, just listen in.
226000	231000	Shh, just listen in.
231000	236000	Shh, just listen in.
236000	241000	Shh, just listen in.
241000	246000	Shh, just listen in.
246000	251000	Shh, just listen in.
251000	256000	Shh, just listen in.
256000	261000	Shh, just listen in.
261000	266000	Shh, just listen in.
266000	271000	Shh, just listen in.
271000	276000	Shh, just listen in.
276000	281000	Shh, just listen in.
281000	286000	Shh, just listen in.
286000	291000	Shh, just listen in.
291000	296000	Shh, just listen in.
296000	301000	Shh, just listen in.
301000	306000	Shh, just listen in.
306000	311000	Shh, just listen in.
311000	316000	Shh, just listen in.
316000	321000	Shh, just listen in.
321000	326000	Shh, just listen in.
326000	331000	Shh, just listen in.
331000	336000	Shh, just listen in.
336000	341000	Shh, just listen in.
341000	346000	Shh, just listen in.
346000	351000	Shh, just listen in.
351000	356000	Shh, just listen in.
356000	361000	Shh, just listen in.
361000	366000	Shh, just listen in.
366000	371000	Shh, just listen in.
371000	376000	Shh, just listen in.
376000	381000	Shh, just listen in.
381000	386000	Shh, just listen in.
386000	391000	Shh, just listen in.
391000	396000	Shh, just listen in.
396000	401000	Shh, just listen in.
401000	406000	Shh, just listen in.
406000	411000	Shh, just listen in.
411000	416000	Shh, just listen in.
416000	421000	Shh, just listen in.
421000	426000	Shh, just listen in.
426000	431000	Shh, just listen in.
431000	436000	Shh, just listen in.
436000	441000	Shh, just listen in.
441000	446000	Shh, just listen in.
446000	451000	Shh, just listen in.
451000	456000	Shh, just listen in.
456000	461000	Shh, just listen in.
461000	466000	Shh, just listen in.
466000	471000	Shh, just listen in.
471000	476000	Shh, just listen in.
476000	481000	Shh, just listen in.
481000	486000	Shh, just listen in.
486000	491000	Shh, just listen in.
491000	496000	Shh, just listen in.
496000	501000	Shh, just listen in.
501000	506000	Shh, just listen in.
506000	511000	Shh, just listen in.
511000	516000	Shh, just listen in.
516000	521000	Shh, just listen in.
521000	526000	Shh, just listen in.
526000	531000	Shh, just listen in.
531000	536000	Shh, just listen in.
536000	541000	Shh, just listen in.
541000	546000	Shh, just listen in.
546000	551000	Shh, just listen in.
551000	556000	Shh, just listen in.
556000	561000	Shh, just listen in.
561000	566000	Shh, just listen in.
566000	571000	Shh, just listen in.
571000	576000	Shh, just listen in.
576000	581000	Shh, just listen in.
581000	586000	Shh, just listen in.
586000	591000	Shh, just listen in.
591000	596000	Shh, just listen in.
596000	601000	Shh, just listen in.
601000	606000	Shh, just listen in.
606000	611000	Shh, just listen in.
611000	616000	Shh, just listen in.
616000	621000	Shh, just listen in.
621000	626000	Shh, just listen in.
626000	631000	Shh, just listen in.
631000	636000	Shh, just listen in.
636000	641000	Shh, just listen in.
641000	646000	Shh, just listen in.
646000	651000	Shh, just listen in.
651000	656000	Shh, just listen in.
656000	661000	Shh, just listen in.
661000	666000	Shh, just listen in.
666000	671000	Shh, just listen in.
671000	676000	Shh, just listen in.
676000	681000	Shh, just listen in.
681000	686000	Shh, just listen in.
686000	691000	Shh, just listen in.
691000	696000	Shh, just listen in.
696000	701000	Shh, just listen in.
701000	706000	Shh, just listen in.
706000	711000	Shh, just listen in.
711000	716000	Shh, just listen in.
716000	721000	Shh, just listen in.
721000	726000	Shh, just listen in.
726000	731000	Shh, just listen in.
731000	736000	Shh, just listen in.
736000	741000	Shh, just listen in.
741000	746000	Shh, just listen in.
746000	751000	Shh, just listen in.
751000	756000	Shh, just listen in.
756000	761000	Shh, just listen in.
761000	766000	Shh, just listen in.
766000	771000	Shh, just listen in.
771000	776000	Shh, just listen in.
776000	781000	Shh, just listen in.
781000	786000	Shh, just listen in.
786000	791000	Shh, just listen in.
791000	796000	Shh, just listen in.
796000	801000	Shh, just listen in.
801000	806000	Shh, just listen in.
806000	811000	Shh, just listen in.
811000	816000	Shh, just listen in.
816000	821000	Shh, just listen in.
821000	826000	Shh, just listen in.
826000	831000	Shh, just listen in.
831000	836000	Shh, just listen in.
836000	841000	Shh, just listen in.
841000	846000	Shh, just listen in.
846000	851000	Shh, just listen in.
851000	856000	Shh, just listen in.
856000	861000	Shh, just listen in.
861000	866000	Shh, just listen in.
866000	871000	Shh, just listen in.
871000	876000	Shh, just listen in.
876000	881000	Shh, just listen in.
881000	886000	Shh, just listen in.
886000	891000	Shh, just listen in.
891000	896000	Shh, just listen in.
896000	901000	Shh, just listen in.
901000	906000	Shh, just listen in.
906000	911000	Shh, just listen in.
911000	916000	Shh, just listen in.
916000	921000	Shh, just listen in.
921000	926000	Shh, just listen in.
926000	931000	Shh, just listen in.
931000	936000	Shh, just listen in.
936000	941000	Shh, just listen in.
941000	946000	Shh, just listen in.
946000	951000	Shh, just listen in.
951000	956000	Shh, just listen in.
956000	961000	Shh, just listen in.
961000	966000	Shh, just listen in.
966000	971000	Shh, just listen in.
971000	976000	Shh, just listen in.
976000	981000	Shh, just listen in.
981000	986000	Shh, just listen in.
986000	991000	Shh, just listen in.
991000	996000	Shh, just listen in.
996000	1001000	Shh, just listen in.
1001000	1006000	Shh, just listen in.
1006000	1011000	Shh, just listen in.
1011000	1016000	Shh, just listen in.
1016000	1021000	Shh, just listen in.
1021000	1026000	Shh, just listen in.
1026000	1031000	Shh, just listen in.
1031000	1036000	Shh, just listen in.
1036000	1041000	Shh, just listen in.
1041000	1046000	Shh, just listen in.
1046000	1051000	Shh, just listen in.
1051000	1056000	Shh, just listen in.
1056000	1061000	Shh, just listen in.
1061000	1066000	Shh, just listen in.
1066000	1071000	Shh, just listen in.
1071000	1076000	Shh, just listen in.
1076000	1081000	Shh, just listen in.
1081000	1086000	Shh, just listen in.
1086000	1091000	Shh, just listen in.
1091000	1096000	Shh, just listen in.
1096000	1101000	Shh, just listen in.
1101000	1106000	Shh, just listen in.
1106000	1111000	Shh, just listen in.
1111000	1116000	Shh, just listen in.
1116000	1121000	Shh, just listen in.
1121000	1126000	Shh, just listen in.
1126000	1131000	Shh, just listen in.
1131000	1136000	Shh, just listen in.
1136000	1141000	Shh, just listen in.
1141000	1146000	Shh, just listen in.
1146000	1151000	Shh, just listen in.
1151000	1156000	Shh, just listen in.
1156000	1161000	Shh, just listen in.
1161000	1166000	Shh, just listen in.
1166000	1171000	Shh, just listen in.
1171000	1176000	Shh, just listen in.
1176000	1181000	Shh, just listen in.
1181000	1186000	Shh, just listen in.
1186000	1191000	Shh, just listen in.
