Shh, sweetie. I know you need to sleep, but don't you?
Mmm, it's so annoying when you get those nights of insomnia.
Why don't I just tinkle you until you do fall asleep?
You always say to me that you tingle the most when you're on the cusp of sleep.
Shh, I love you very much.
Don't worry if I'm doing it for a while either.
I know how subconscious you can be.
Just let me show my love for you by doing this, okay?
We all start slow together.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
Shh, just listen in.
